r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
-0.4204829879810264,-0.42049301934869004,-0.42049301934869004,1.746322521468015,0.9262381522301893,3.3580021757789305,-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,-0.4048039603227585,-0.4146547633684521,-0.4080942489164321,-0.4204528938780355,-0.4204829879810264,-0.41955007078830797,-0.42049301934869004,-0.42049301934869004
-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,1.5917993339773178,0.9123547393837128,3.3515821004742015,-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,-0.4136917520727427,-0.4083450331080231,-0.42046292524569917,-0.4204729566133628,-0.4195300080529807,-0.42049301934869004,-0.42049301934869004
-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,1.5917993339773178,0.9113114771466944,3.3515018495328923,-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,-0.4202923919954173,-0.41503595533967036,-0.41003030287551445,-0.42046292524569917,-0.42049301934869004,-0.4195300080529807,-0.42049301934869004,-0.42049301934869004
-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,1.2667428962047558,1.1086084163551486,3.4080386376851624,-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,-0.417242856225671,-0.4147049202067703,-0.4081143116517594,-0.42046292524569917,-0.4204829879810264,-0.4195300080529807,-0.42049301934869004,-0.42049301934869004
-0.42049301934869004,-0.42049301934869004,-0.4178046128148348,1.2999667859067285,1.1597282659690535,3.26579384421476,-0.42049301934869004,-0.42049301934869004,-0.4204528938780355,-0.42005163917148997,-0.4127788976153516,-0.4063487909429589,-0.4204227997750446,-0.42049301934869004,-0.4195601021559716,-0.42049301934869004,-0.42049301934869004
-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,1.6214119313203805,0.9839385790314417,3.373931987628789,-0.42049301934869004,-0.42049301934869004,-0.4204528938780355,-0.41186604315796044,-0.411294255201133,-0.4030484709816216,-0.42023220378943543,-0.42046292524569917,-0.41977076087690807,-0.42049301934869004,-0.42049301934869004
-0.42049301934869004,-0.42049301934869004,-0.4178046128148348,1.3910114788219172,1.1249796083822077,3.243684709884099,-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,-0.4180854911094167,-0.41469488883910666,-0.4081845312254049,-0.4204729566133628,-0.4204729566133628,-0.4195300080529807,-0.4204829879810264,-0.42049301934869004
-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,1.8496857338741524,0.7556647764776697,3.308407094049899,-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,-0.41551746098752507,-0.40944848355102337,-0.4204729566133628,-0.4204829879810264,-0.4195199766853171,-0.42049301934869004,-0.42049301934869004
-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,1.7018233745121116,0.8524072862258054,3.3350102810938695,-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,-0.4202923919954173,-0.41495570439836127,-0.41008045971383267,-0.42046292524569917,-0.4204829879810264,-0.41954003942064433,-0.42049301934869004,-0.42049301934869004
-0.42049301934869004,-0.42049301934869004,-0.4178046128148348,1.287527890003816,1.1671514780401466,3.266395726274578,-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,-0.4200115137008354,-0.4151964572222886,-0.40963907953663253,-0.4204729566133628,-0.4204829879810264,-0.41950994531765345,-0.42049301934869004,-0.42049301934869004
-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,1.7015023707468753,0.8522467843431872,3.3350102810938695,-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,-0.41989113728887173,-0.4153068022665886,-0.41057199672935096,-0.42046292524569917,-0.4204829879810264,-0.4195199766853171,-0.42049301934869004,-0.42049301934869004
-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,2.1227395616784093,0.7798604352823674,3.3149475457665916,-0.42049301934869004,-0.42049301934869004,-0.42049301934869004,-0.4188880005225078,-0.4129393994979698,-0.4061381322220225,-0.42043283114270824,-0.4204729566133628,-0.4195801648912989,-0.42049301934869004,-0.42049301934869004
