r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
-0.5529598457231251,-0.5529598457231251,1.7476567433465793,1.8459372393390656,1.485387951942691,2.0843037641925637,-0.5529598457231251,-0.5529598457231251,-0.5529598457231251,-0.5501478143642556,-0.5458008825553367,-0.537810026777216,-0.5529129785338105,-0.5529481289257964,-0.5518584667742344,-0.5529598457231251,-0.5529598457231251
-0.5529598457231251,-0.5529598457231251,1.7476567433465793,2.3334497425883947,1.4137280194808353,2.0364523639024688,-0.5529598457231251,-0.5529598457231251,-0.5529129785338105,-0.550288415932199,-0.537997495534474,-0.5184538775903315,-0.5523505722620367,-0.5527840937631957,-0.5525731914112805,-0.5529598457231251,-0.5529598457231251
-0.5529598457231251,-0.5529598457231251,1.6636707400950124,1.8741512873063888,1.4664067402703225,2.0039265345182127,-0.5529598457231251,-0.5529598457231251,-0.5529598457231251,-0.5529598457231251,-0.5473826501947007,-0.5409501284612869,-0.5529246953311392,-0.5529364121284678,-0.5518350331795773,-0.5529598457231251,-0.5529598457231251
-0.5529598457231251,-0.5529598457231251,1.7476567433465793,1.9058335072829842,1.4447540988070278,2.0598859585597142,-0.5529598457231251,-0.5529598457231251,-0.5529129785338105,-0.550850822203973,-0.5461406696778667,-0.5406103413387569,-0.5529129785338105,-0.5529481289257964,-0.5518467499769059,-0.5529598457231251,-0.5529598457231251
-0.5529598457231251,-0.5529598457231251,1.6636707400950124,1.9152538123351968,1.5015571322561903,2.033593465354285,-0.5529598457231251,-0.5529598457231251,-0.5529598457231251,-0.5521162363154641,-0.5463398552324532,-0.541196181205188,-0.5529246953311392,-0.5529598457231251,-0.5518350331795773,-0.5529598457231251,-0.5529598457231251
-0.5529598457231251,-0.5529598457231251,1.7476567433465793,1.9076613276662493,1.4419889346374728,2.059557888234513,-0.5529598457231251,-0.5529598457231251,-0.5529598457231251,-0.5529598457231251,-0.5457422985686935,-0.5381849642917319,-0.5529129785338105,-0.5529481289257964,-0.5518350331795773,-0.5529598457231251,-0.5529598457231251
-0.5529598457231251,-0.5529598457231251,1.6636707400950124,1.769918658270962,1.5134145311527563,2.042357629756095,-0.5529598457231251,-0.5529598457231251,-0.5529598457231251,-0.5522568378834076,-0.5458477497446511,-0.5405283237574564,-0.5529129785338105,-0.5529598457231251,-0.5518467499769059,-0.5529598457231251,-0.5529598457231251
-0.5529246953311392,-0.5529598457231251,1.7476567433465793,2.158025852984257,1.5031037495035684,2.0976609131471933,-0.5529598457231251,-0.5529364121284678,-0.5528895449391533,-0.5517764491929341,-0.5528309609525102,-0.5493042049565948,-0.5528426777498388,-0.5529364121284678,-0.5519287675582062,-0.5529598457231251,-0.5529598457231251
-0.5529598457231251,-0.5529598457231251,1.7476567433465793,1.8804314906745305,1.4588611227906894,2.067993982311121,-0.5529598457231251,-0.5529598457231251,-0.5529598457231251,-0.5527255097765525,-0.5461875368671811,-0.5404697397708134,-0.5529129785338105,-0.5529598457231251,-0.5518350331795773,-0.5529481289257964,-0.5529598457231251
-0.5529598457231251,-0.5529598457231251,1.7476567433465793,1.907333257341048,1.4433012159382785,2.059792224181085,-0.5529598457231251,-0.5529598457231251,-0.5529598457231251,-0.5529598457231251,-0.5470897302614851,-0.5411610308132021,-0.5529246953311392,-0.5529481289257964,-0.5518233163822486,-0.5529598457231251,-0.5529598457231251
-0.5529598457231251,-0.5529598457231251,1.6636707400950124,1.916706695203946,1.5015571322561903,2.033593465354285,-0.5529598457231251,-0.5529598457231251,-0.5529598457231251,-0.5525380410192946,-0.5458477497446511,-0.5387590873608344,-0.5529246953311392,-0.5529364121284678,-0.5518467499769059,-0.5529598457231251,-0.5529598457231251
-0.5529481289257964,-0.5529598457231251,1.7476567433465793,1.9777277756914124,1.4083851598989834,2.029750355830497,-0.5529598457231251,-0.5529598457231251,-0.5529598457231251,-0.5527255097765525,-0.5459649177179373,-0.5392511928486365,-0.5529012617364819,-0.5529481289257964,-0.5518467499769059,-0.5529598457231251,-0.5529598457231251
-0.5529364121284678,-0.5529598457231251,1.7476567433465793,2.0216891992684043,1.3851859011883105,2.0107691441581284,-0.5529598457231251,-0.5529598457231251,-0.5529598457231251,-0.5529598457231251,-0.5465507575843684,-0.5405986245414282,-0.5529129785338105,-0.5529481289257964,-0.5518467499769059,-0.5529598457231251,-0.5529598457231251
