r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
-0.5310001713537188,-0.5310001713537188,1.9803431589800973,0.9286358182709172,1.385326017645324,2.577665292007922,-0.5310001713537188,-0.5310001713537188,-0.5310001713537188,-0.5308629694672277,-0.5270007363625021,-0.5234129070307588,-0.5309795910707451,-0.5309933112593943,-0.5303416022985613,-0.5310001713537188,-0.5310001713537188
-0.5310001713537188,-0.5310001713537188,1.9803431589800973,0.9250411288448493,1.3859845867004814,2.592153811221386,-0.5310001713537188,-0.5310001713537188,-0.5310001713537188,-0.5310001713537188,-0.5273368809844055,-0.5237421915583376,-0.5309795910707451,-0.5309933112593943,-0.5303416022985613,-0.5310001713537188,-0.5310001713537188
-0.5310001713537188,-0.5310001713537188,1.9803431589800973,0.9867545373885639,1.3829935855749744,2.5260773826872533,-0.5310001713537188,-0.5310001713537188,-0.5310001713537188,-0.5310001713537188,-0.5271585185319669,-0.5235775492945481,-0.5309727309764206,-0.5309933112593943,-0.5303484623928859,-0.5310001713537188,-0.5310001713537188
-0.5310001713537188,-0.5310001713537188,1.9803431589800973,1.0309609852160089,1.380414190108941,2.4842856880620525,-0.5310001713537188,-0.5310001713537188,-0.5310001713537188,-0.5293537487158252,-0.5269595757965547,-0.5229532807110135,-0.5309864511650697,-0.5309933112593943,-0.5303416022985613,-0.5310001713537188,-0.5310001713537188
-0.5309933112593943,-0.5310001713537188,1.9803431589800973,1.049867405174488,1.3792891346397138,2.4691111594161326,-0.5310001713537188,-0.5310001713537188,-0.5310001713537188,-0.5299299966390879,-0.5268086537214145,-0.5228023586358732,-0.530965870882096,-0.5309933112593943,-0.5303553224872105,-0.5310001713537188,-0.5310001713537188
-0.5310001713537188,-0.5310001713537188,1.9136081613908071,0.8476592648638466,1.3955338380002646,2.6875091223327283,-0.5310001713537188,-0.5310001713537188,-0.5310001713537188,-0.5308080887126312,-0.5270281767398003,-0.523316865710215,-0.5309727309764206,-0.5309933112593943,-0.5303484623928859,-0.5310001713537188,-0.5310001713537188
-0.5309864511650697,-0.5310001713537188,1.9803431589800973,1.052035194981048,1.3791244923759245,2.4688367556431503,-0.5310001713537188,-0.5310001713537188,-0.5310001713537188,-0.5292714275839304,-0.5268086537214145,-0.5237216112753639,-0.5309727309764206,-0.5309933112593943,-0.5303553224872105,-0.5310001713537188,-0.5310001713537188
-0.5310001713537188,-0.5310001713537188,1.9803431589800973,1.0030815618810094,1.381841089728449,2.5052226959406005,-0.5310001713537188,-0.5310001713537188,-0.5310001713537188,-0.5310001713537188,-0.5267194724951952,-0.5225279548628909,-0.5309727309764206,-0.5309933112593943,-0.5303416022985613,-0.5310001713537188,-0.5310001713537188
-0.5310001713537188,-0.5310001713537188,1.9136081613908071,0.8553151301300522,1.3944636632856338,2.677740348014559,-0.5310001713537188,-0.5310001713537188,-0.5310001713537188,-0.5310001713537188,-0.5257933597613801,-0.5207992110931026,-0.5308561093729032,-0.5309864511650697,-0.5304650839964034,-0.5310001713537188,-0.5310001713537188
-0.5310001713537188,-0.5310001713537188,1.9803431589800973,0.9299255160039339,1.3852985772680257,2.5774732093668344,-0.5310001713537188,-0.5310001713537188,-0.5310001713537188,-0.5304513638077543,-0.5275769842857649,-0.5239411342937497,-0.5309795910707451,-0.5309933112593943,-0.5303347422042368,-0.5310001713537188,-0.5310001713537188
