r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
-0.38661483813807007,-0.3866226381788669,-0.3866226381788669,3.58331732593583,-0.009631066386772505,2.2974026001714365,-0.3866226381788669,-0.3866226381788669,-0.3846960281020514,-0.3859908348743242,-0.38347922173774684,-0.3803670054598141,-0.38651343760771134,-0.38660703809727326,-0.38595963471113687,-0.3866226381788669,-0.3866226381788669
-0.38661483813807007,-0.3866226381788669,-0.3866226381788669,3.5668748399361254,-0.009131863775775772,2.2981514040879314,-0.3866226381788669,-0.3866226381788669,-0.3864666373629304,-0.3845322272453181,-0.3739085716800439,-0.3640961203576394,-0.3862170360574321,-0.38660703809727326,-0.386263836302213,-0.38661483813807007,-0.3866226381788669
-0.38660703809727326,-0.3866226381788669,-0.3866226381788669,3.5574211904903748,-0.0076966562691601695,2.2984946058829916,-0.3866226381788669,-0.3866226381788669,-0.38637303687336855,-0.38172421255846145,-0.37560898057375147,-0.3655079277418645,-0.3862560362614162,-0.3865914380156796,-0.3862482362206193,-0.38661483813807007,-0.3866226381788669
-0.38659923805647645,-0.3866226381788669,-0.3866226381788669,3.4992640863092555,-0.007010252679039663,2.298837807678052,-0.3866226381788669,-0.3866226381788669,-0.386529037689305,-0.38259781712770574,-0.3739865720880121,-0.3608435033453638,-0.385998634915121,-0.3865212376485082,-0.38656803789328914,-0.3866226381788669,-0.3866226381788669
-0.38661483813807007,-0.3866226381788669,-0.3866226381788669,3.5212914015194863,-0.006823051699915888,2.2992122096362992,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.38456342740850535,-0.37496937722841195,-0.36135050599715735,-0.38617803585344795,-0.3865212376485082,-0.386396436995759,-0.3866226381788669,-0.3866226381788669
-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,3.518452186669442,-0.006698251047166705,2.2990874089835502,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.38521863083543856,-0.3798756028896142,-0.37493817706522464,-0.386529037689305,-0.38661483813807007,-0.3859440346295432,-0.3866226381788669,-0.3866226381788669
-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,3.512836157295729,-0.006573450394417523,2.2992122096362992,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.38540583181456234,-0.38128741027383933,-0.37649818522458944,-0.38654463777089865,-0.38660703809727326,-0.38592843454794956,-0.3866226381788669,-0.3866226381788669
-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,3.512836157295729,-0.006386249415293748,2.2992122096362992,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.38549943230412426,-0.38149021133455674,-0.37709098832514804,-0.38658363797488277,-0.38661483813807007,-0.38588943434396544,-0.3866226381788669,-0.3866226381788669
-0.38661483813807007,-0.3866226381788669,-0.3866226381788669,3.5109017471781168,-0.006136648109795383,2.2990250086571757,-0.3866226381788669,-0.3866226381788669,-0.3865914380156796,-0.3609137037125352,-0.38176321276244557,-0.37579618155287525,-0.38658363797488277,-0.38661483813807007,-0.38588943434396544,-0.38661483813807007,-0.3866226381788669
-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,3.5092169383660026,-0.005824646477922425,2.2993058101258614,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.35832409016798966,-0.3791579991363064,-0.37213016237836805,-0.3864354371997431,-0.38660703809727326,-0.3860454351599019,-0.38661483813807007,-0.3866226381788669
-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,3.5092169383660026,-0.005699845825173242,2.299181009473112,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.3730817673555805,-0.3822234151694582,-0.3765917857141513,-0.3865914380156796,-0.38661483813807007,-0.3858738342623718,-0.38661483813807007,-0.3866226381788669
-0.38661483813807007,-0.3866226381788669,-0.3866226381788669,3.508499334612695,-0.00563744549879865,2.2993370102890487,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.3864666373629304,-0.3820830144351154,-0.3778865924864241,-0.38656803789328914,-0.38661483813807007,-0.38590503442555907,-0.3866226381788669,-0.3866226381788669
-0.38661483813807007,-0.3866226381788669,-0.3866226381788669,3.438018165972594,-0.005450244519674876,2.2993370102890487,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.3862170360574321,-0.37757459085455114,-0.3698759505880859,-0.3862092360166352,-0.38659923805647645,-0.38627943638380663,-0.3866226381788669,-0.3866226381788669
-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,3.3968651507285506,-0.00520064321417651,2.299368210452236,-0.3866226381788669,-0.3866226381788669,-0.3865602378524923,-0.3853122313250005,-0.3804918061125633,-0.374922576983631,-0.3864978375261177,-0.38660703809727326,-0.3859830348335273,-0.3866226381788669,-0.38661483813807007
-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,3.3958979456697445,-0.005075842561427327,2.2994306107786104,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.376607385795745,-0.38200501402714715,-0.37794119277200183,-0.38659923805647645,-0.3866226381788669,-0.3858738342623718,-0.38661483813807007,-0.3866226381788669
-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,3.3958979456697445,-0.005013442235052736,2.2994306107786104,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.3864666373629304,-0.3816306120688996,-0.3776525912625194,-0.38659923805647645,-0.38661483813807007,-0.3858738342623718,-0.3866226381788669,-0.3866226381788669
-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,3.3958979456697445,-0.005013442235052736,2.2994306107786104,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.3823170156590201,-0.3783467948934367,-0.38659923805647645,-0.38661483813807007,-0.3858738342623718,-0.3866226381788669,-0.3866226381788669
-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,3.3958979456697445,-0.004951041908678145,2.299368210452236,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.3864666373629304,-0.3821064145575058,-0.3776915914665035,-0.38658363797488277,-0.38661483813807007,-0.38588163430316863,-0.3866226381788669,-0.3866226381788669
-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,3.395180341916437,-0.004639040276805187,2.299181009473112,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.38487542904037836,-0.3818256130888202,-0.37672438640769734,-0.38657583793408595,-0.3866226381788669,-0.38589723438476226,-0.38661483813807007,-0.3866226381788669
-0.38661483813807007,-0.3866226381788669,-0.3866226381788669,3.3257599788247036,-0.004576639950430596,2.2994306107786104,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.3862170360574321,-0.37693498750921156,-0.3691895469979654,-0.3862404361798225,-0.38659923805647645,-0.3862482362206193,-0.3866226381788669,-0.3866226381788669
-0.38661483813807007,-0.3866226381788669,-0.3866226381788669,3.2568388183439674,-0.004576639950430596,2.2994306107786104,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.3866226381788669,-0.37784759228243997,-0.37233296343908545,-0.3862404361798225,-0.38659923805647645,-0.3862482362206193,-0.3866226381788669,-0.3866226381788669
