r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
-0.41885127036078723,-0.4188611566109976,-0.4188611566109976,2.1497843730521504,0.73094928785803,3.2544344265601226,-0.4188611566109976,-0.4188611566109976,-0.418564569104686,-0.417852759089538,-0.415460286538624,-0.4124054352236139,-0.418742521608473,-0.41884138411057686,-0.4180109390929042,-0.4188611566109976,-0.4188611566109976
-0.41884138411057686,-0.4188611566109976,-0.4188611566109976,2.1470162229932415,0.7328474478984246,3.25538350658032,-0.4188611566109976,-0.4188611566109976,-0.4183075265992159,-0.41190123646288407,-0.40138226623903067,-0.38528745089651817,-0.41839650285110935,-0.4188216116101561,-0.41837673035068856,-0.41885127036078723,-0.4188611566109976
-0.41884138411057686,-0.4188611566109976,-0.4188611566109976,2.079750176561758,0.7344292479320867,3.255818501589577,-0.4188611566109976,-0.4188611566109976,-0.4186238866059483,-0.4128107714822398,-0.4035473550351058,-0.38697799968249463,-0.41817900534648084,-0.41875240785868334,-0.41867331785700024,-0.4188611566109976,-0.4188611566109976
-0.41885127036078723,-0.4188611566109976,-0.4188611566109976,2.0306748305173894,0.7347456079388192,3.2556207765853693,-0.4188611566109976,-0.4188611566109976,-0.4188216116101561,-0.4153416515360993,-0.4039428050435213,-0.38399235211895727,-0.41815923284606005,-0.4186832041072106,-0.418742521608473,-0.4188611566109976,-0.4188611566109976
-0.41885127036078723,-0.4188611566109976,-0.4188611566109976,2.0331266205695657,0.7348246979405023,3.2556207765853693,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4175957165840679,-0.4106951139372167,-0.40385382879162784,-0.4187029766076314,-0.41885127036078723,-0.41805048409374573,-0.4188611566109976,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,2.033363890574615,0.7352201479489179,3.2556998665870522,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.41720026657565235,-0.4101019389245934,-0.4035473550351058,-0.4187227491080522,-0.41885127036078723,-0.4180208253431146,-0.41885127036078723,-0.4188611566109976
-0.41883149786036644,-0.4188611566109976,-0.4188611566109976,2.0309121005224386,0.7354574179539671,3.255739411587894,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.41779344158827564,-0.41178260146035944,-0.4075710588707339,-0.4188216116101561,-0.41884138411057686,-0.4179219628410107,-0.4188611566109976,-0.4188611566109976
-0.41885127036078723,-0.4188611566109976,-0.4188611566109976,2.031228460529171,0.7356946879590165,3.255739411587894,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.41779344158827564,-0.40978557891786094,-0.403349630030898,-0.41866343160678987,-0.41885127036078723,-0.4180900290945873,-0.41885127036078723,-0.4188611566109976
-0.41885127036078723,-0.4188611566109976,-0.4188611566109976,2.0315448205359035,0.7359319579640659,3.2556603215862108,-0.4188611566109976,-0.4188611566109976,-0.4188216116101561,-0.417674806585751,-0.41084340769037253,-0.40528733507213416,-0.418742521608473,-0.41884138411057686,-0.4180109390929042,-0.4188611566109976,-0.4188611566109976
-0.41885127036078723,-0.4188611566109976,-0.4188611566109976,2.019602230281754,0.7362483179707983,3.255818501589577,-0.4188611566109976,-0.4188611566109976,-0.4188216116101561,-0.4178329865891172,-0.4095186501621805,-0.40099670248082553,-0.4186041141055275,-0.41884138411057686,-0.4181493465958496,-0.4188611566109976,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,2.008529630046119,0.7367228579808969,3.2558580465904186,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.41648845656050437,-0.40968671641575705,-0.400779204976197,-0.4184657066025821,-0.41884138411057686,-0.41829764034900546,-0.4188611566109976,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,2.009162350059584,0.7371183079893124,3.2558580465904186,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.35392826522916576,-0.4115156727046789,-0.40273668251785394,-0.4188216116101561,-0.41885127036078723,-0.4179318490912211,-0.41885127036078723,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,2.009162350059584,0.7372764879926786,3.2558580465904186,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4185052516034236,-0.41317656274002423,-0.4077588976247313,-0.41881172535994565,-0.4188611566109976,-0.4179219628410107,-0.41885127036078723,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,2.009162350059584,0.7372764879926786,3.2558580465904186,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.41355224024801895,-0.40960762641407394,-0.41883149786036644,-0.41885127036078723,-0.41790219034058995,-0.4188611566109976,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,2.009162350059584,0.737513757997728,3.2558580465904186,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.40367587628784085,-0.41289974773413335,-0.4068691351057963,-0.4188216116101561,-0.41885127036078723,-0.4179219628410107,-0.4188611566109976,-0.4188611566109976
-0.4188216116101561,-0.4188611566109976,-0.4188611566109976,2.006631470005724,0.737513757997728,3.2558580465904186,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4132655389919177,-0.40754140012010276,-0.41883149786036644,-0.41884138411057686,-0.4179318490912211,-0.4188611566109976,-0.4188611566109976
-0.41885127036078723,-0.4188611566109976,-0.4188611566109976,1.9239428732460346,0.7376719380010942,3.25589759159126,-0.4188611566109976,-0.4188611566109976,-0.4188216116101561,-0.4181098015950081,-0.410220573927118,-0.40381428379078627,-0.41863377285615866,-0.41885127036078723,-0.4180999153447977,-0.4188611566109976,-0.4188611566109976
-0.41885127036078723,-0.4188611566109976,-0.4188611566109976,1.8359552463735767,0.7376719380010942,3.25589759159126,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4074326513677885,-0.39769469491055576,-0.41837673035068856,-0.41883149786036644,-0.418386616600899,-0.4188611566109976,-0.4188611566109976
-0.41885127036078723,-0.4188611566109976,-0.4188611566109976,1.8264644461716038,0.7377510280027774,3.255937136592102,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4181888915966912,-0.4040515537958356,-0.3949562036022782,-0.418386616600899,-0.41885127036078723,-0.41835695785026783,-0.41885127036078723,-0.4188611566109976
-0.41885127036078723,-0.4188611566109976,-0.4188611566109976,1.8249617361396246,0.7379092080061436,3.2559766815929434,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4183075265992159,-0.406098007589386,-0.39676538739077927,-0.41839650285110935,-0.41883149786036644,-0.4183668441004782,-0.4188611566109976,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,1.8233799361059626,0.7379092080061436,3.2559766815929434,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.41084340769037253,-0.403221108778163,-0.41873263535826255,-0.41883149786036644,-0.418030711593325,-0.4188611566109976,-0.4188611566109976
-0.41885127036078723,-0.4188611566109976,-0.4188611566109976,1.8233799361059626,0.7381464780111928,3.2559766815929434,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4149857465285253,-0.41347315024633585,-0.4080455988808326,-0.4188216116101561,-0.41885127036078723,-0.4179219628410107,-0.4188611566109976,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,1.8233799361059626,0.7383837480162422,3.256016226593785,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4183470716000574,-0.4124153214738243,-0.40746231011841966,-0.4188216116101561,-0.41884138411057686,-0.4179318490912211,-0.4188611566109976,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,1.8233799361059626,0.7383837480162422,3.256016226593785,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4136115577492813,-0.4088068401470325,-0.41884138411057686,-0.41885127036078723,-0.41790219034058995,-0.4188611566109976,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,1.8233799361059626,0.7386210180212915,3.256016226593785,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4158557365470395,-0.41401689400790725,-0.40841139013861694,-0.41883149786036644,-0.41885127036078723,-0.4179219628410107,-0.4188611566109976,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,1.8195440710243318,0.7386210180212915,3.256016226593785,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4143035952640085,-0.408539911391352,-0.41884138411057686,-0.41885127036078723,-0.41790219034058995,-0.4188611566109976,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,1.8195440710243318,0.7387001080229746,3.255937136592102,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4160930065520888,-0.4132259939910762,-0.40829275513609226,-0.4188216116101561,-0.41885127036078723,-0.4179120765908003,-0.4188611566109976,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,1.8197022510276981,0.738937378028024,3.256016226593785,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.41652800156134595,-0.4134039464948632,-0.4086387738934559,-0.41883149786036644,-0.41884138411057686,-0.4179120765908003,-0.4188611566109976,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,1.8197022510276981,0.7390955580313902,3.2560557715946263,-0.4188611566109976,-0.4188611566109976,-0.4188216116101561,-0.4184657066025821,-0.41365110275012285,-0.4079665088791495,-0.41881172535994565,-0.4188611566109976,-0.4179219628410107,-0.41885127036078723,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,1.8197022510276981,0.7390955580313902,3.2560557715946263,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.4132655389919177,-0.40805548513104295,-0.41883149786036644,-0.41885127036078723,-0.4179120765908003,-0.4188611566109976,-0.4188611566109976
-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,1.8197022510276981,0.7393328280364395,3.2560557715946263,-0.4188611566109976,-0.4188611566109976,-0.4188611566109976,-0.41648845656050437,-0.4131271314889723,-0.40783798762641443,-0.41883149786036644,-0.41885127036078723,-0.41790219034058995,-0.4188611566109976,-0.4188611566109976
