r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
-0.5540827546142405,-0.5540943643647991,1.7760290117253188,2.1639804363876443,1.5118375280164404,2.05169092898598,-0.5540943643647991,-0.554071144863682,-0.5540247058614481,-0.5529217795583921,-0.5538969986053048,-0.5540827546142405,-0.5539782668592141,-0.554071144863682,-0.5530727063156524,-0.5540943643647991,-0.5540943643647991
-0.5540943643647991,-0.5540943643647991,1.7760290117253188,2.1703890186959276,1.5133700150901603,2.0515051729770444,-0.5537228523469275,-0.5540943643647991,-0.55339777933129,-0.5452245149381167,-0.535147251453352,-0.5170360405821158,-0.5534674378346408,-0.5540595351131236,-0.5535951450907842,-0.5540827546142405,-0.5540943643647991
-0.5540479253625651,-0.5540943643647991,1.7760290117253188,2.1320304028506945,1.5140666001236696,2.0528983430440624,-0.5540943643647991,-0.5540943643647991,-0.5538157303513954,-0.5485216840967264,-0.5379103720862713,-0.5219817943200303,-0.5533861695807315,-0.5539898766097727,-0.553757681598603,-0.5540943643647991,-0.5540943643647991
-0.5540827546142405,-0.5540943643647991,1.7760290117253188,2.0770930632079447,1.514438112141541,2.054616586126718,-0.5540943643647991,-0.5540943643647991,-0.5528869503067166,-0.5494969031436391,-0.5361108607497062,-0.5152249194949922,-0.5533049013268221,-0.5538505596030708,-0.5539666571086557,-0.5540943643647991,-0.5540943643647991
-0.5540943643647991,-0.5540943643647991,1.7760290117253188,2.140482301257271,1.5145774291482428,2.0543379521133147,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.5516795362486342,-0.5436688083632798,-0.5315714482813386,-0.5539086083558633,-0.5540247058614481,-0.5532004135717957,-0.5540827546142405,-0.5540943643647991
-0.5540827546142405,-0.5540943643647991,1.7760290117253188,2.1408538132751427,1.5147167461549447,2.0544308301177825,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.5520510482665058,-0.5451084174325319,-0.5386766156231313,-0.5539202181064218,-0.5540827546142405,-0.5531191453178863,-0.5540943643647991,-0.5540943643647991
-0.554071144863682,-0.5540943643647991,1.7760290117253188,2.1412253252930142,1.5147631851571786,2.0543843911155486,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.552654755295547,-0.54496910042583,-0.5380148598412977,-0.5539898766097727,-0.5540827546142405,-0.5530494868145354,-0.5540943643647991,-0.5540943643647991
-0.5540943643647991,-0.5540943643647991,1.7760290117253188,2.1412253252930142,1.5148096241594124,2.0544308301177825,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.5525618772910791,-0.5466641240073689,-0.5413352485010243,-0.5540479253625651,-0.554071144863682,-0.552991438061743,-0.5540943643647991,-0.5540943643647991
-0.5540827546142405,-0.5540943643647991,1.7760290117253188,2.1412253252930142,1.5149953801683482,2.0542450741088465,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.4783523517212447,-0.5449807101763885,-0.5354142757161972,-0.5539782668592141,-0.554071144863682,-0.5530727063156524,-0.5540827546142405,-0.5540943643647991
-0.5540943643647991,-0.5540943643647991,1.7760290117253188,2.1419683493287573,1.5149953801683482,2.054802342135654,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.5538621693536293,-0.5456308562076637,-0.5385837376186634,-0.5538737791041878,-0.5540827546142405,-0.5531655843201203,-0.5540943643647991,-0.5540943643647991
-0.5540943643647991,-0.5540943643647991,1.7760290117253188,2.1419683493287573,1.515088258172816,2.054709464131186,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.5314785702768708,-0.5474419772947873,-0.5390597373915613,-0.5540595351131236,-0.554071144863682,-0.552991438061743,-0.5540827546142405,-0.5540943643647991
-0.5540943643647991,-0.5540943643647991,1.7760290117253188,2.001536806573326,1.5154597701906876,2.0552202931557595,-0.5540943643647991,-0.5540943643647991,-0.5540479253625651,-0.5519117312598039,-0.5414049070043753,-0.5314669605263123,-0.5536764133446935,-0.554071144863682,-0.553374559830173,-0.5540943643647991,-0.5540943643647991
-0.5540827546142405,-0.5540943643647991,1.7760290117253188,2.001536806573326,1.5155062091929217,2.0551738541535256,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.5435991498599289,-0.5470472457757988,-0.5392571031510556,-0.5540595351131236,-0.5540827546142405,-0.552991438061743,-0.5540943643647991,-0.5540943643647991
-0.5540943643647991,-0.5540943643647991,1.7760290117253188,2.001536806573326,1.5155526481951556,2.0552667321579934,-0.5540943643647991,-0.5540943643647991,-0.5540479253625651,-0.5537228523469275,-0.547987635571036,-0.5413816875032582,-0.5540479253625651,-0.5540827546142405,-0.5529798283111845,-0.5540943643647991,-0.5540943643647991
-0.5540943643647991,-0.5540943643647991,1.7760290117253188,1.9986575884348219,1.5156455261996233,2.0553131711602273,-0.5540943643647991,-0.5540943643647991,-0.5540479253625651,-0.5538157303513954,-0.5470008067735649,-0.5405457854630473,-0.5540479253625651,-0.5540827546142405,-0.552991438061743,-0.5540943643647991,-0.5540943643647991
-0.5540943643647991,-0.5540943643647991,1.7760290117253188,1.9986575884348219,1.5157848432063252,2.0552667321579934,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.5536764133446935,-0.5474884162970213,-0.5403716392046701,-0.5540479253625651,-0.5540943643647991,-0.5529798283111845,-0.5540943643647991,-0.5540943643647991
-0.5540943643647991,-0.5540943643647991,1.7760290117253188,1.9986575884348219,1.5159241602130271,2.0553131711602273,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.548103733076621,-0.5470936847780328,-0.5398956394317722,-0.554071144863682,-0.554071144863682,-0.5529798283111845,-0.5540827546142405,-0.5540943643647991
-0.5540827546142405,-0.5540943643647991,1.7760290117253188,1.8985815386206835,1.516017038217495,2.0552667321579934,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.5533049013268221,-0.5444466616506982,-0.5357393487318347,-0.5538969986053048,-0.5540595351131236,-0.5531655843201203,-0.5540943643647991,-0.5540943643647991
-0.5540827546142405,-0.5540943643647991,1.7760290117253188,1.8038924130656822,1.516017038217495,2.055359610162461,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.5389436398859765,-0.5259987680132661,-0.5535370963379918,-0.5540595351131236,-0.5535254865874333,-0.5540943643647991,-0.5540943643647991
-0.5540827546142405,-0.5540943643647991,1.7760290117253188,1.7927470525295368,1.5160634772197288,2.0553131711602273,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.5532584623245881,-0.538932030135418,-0.5282278401204951,-0.5535603158391087,-0.5540595351131236,-0.5535138768368748,-0.5540943643647991,-0.5540943643647991
-0.5540943643647991,-0.5540943643647991,1.7760290117253188,1.7908894924401793,1.5160634772197288,2.055452488166929,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.5540943643647991,-0.5388275423803917,-0.5269159383073863,-0.5535835353402258,-0.5540479253625651,-0.5535022670863163,-0.5540943643647991,-0.5540943643647991
