prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
MCEFL,resultados3m_10,0,resultados3m_10,0,0,0.0
MCEFL,resultados3m_10,0,resultados3m_10,0,1,0.0
MCEFL,resultados3m_10,0,resultados3m_10,1,0,0.34081219585022765
MCEFL,resultados3m_10,0,resultados3m_10,1,1,0.042176037846242916
MCEFL,resultados3m_10,0,resultados3m_10,2,0,0.15555740025783374
MCEFL,resultados3m_10,0,resultados3m_10,2,1,0.004069760734888027
MCEFL,resultados3m_10,0,resultados3m_10,3,0,0.17567448725619444
MCEFL,resultados3m_10,0,resultados3m_10,3,1,0.03355984004181794
MCEFL,resultados3m_10,1,resultados3m_10,0,0,0.3408121958502276
MCEFL,resultados3m_10,1,resultados3m_10,0,1,0.042176037846242916
MCEFL,resultados3m_10,1,resultados3m_10,1,0,0.0
MCEFL,resultados3m_10,1,resultados3m_10,1,1,0.0
MCEFL,resultados3m_10,1,resultados3m_10,1,2,0.0
MCEFL,resultados3m_10,1,resultados3m_10,2,0,0.2569774628176938
MCEFL,resultados3m_10,1,resultados3m_10,2,1,0.0421331205393589
MCEFL,resultados3m_10,1,resultados3m_10,3,0,0.2475139756254384
MCEFL,resultados3m_10,1,resultados3m_10,3,1,0.04174503996576024
MCEFL,resultados3m_10,2,resultados3m_10,0,0,0.15555740025783374
MCEFL,resultados3m_10,2,resultados3m_10,0,1,0.004069760734888026
MCEFL,resultados3m_10,2,resultados3m_10,1,0,0.2569774628176939
MCEFL,resultados3m_10,2,resultados3m_10,1,1,0.0421331205393589
MCEFL,resultados3m_10,2,resultados3m_10,2,0,0.0
MCEFL,resultados3m_10,2,resultados3m_10,2,1,0.0
MCEFL,resultados3m_10,2,resultados3m_10,3,0,0.05121544571776289
MCEFL,resultados3m_10,2,resultados3m_10,3,1,0.03379929514971506
MCEFL,resultados3m_10,3,resultados3m_10,0,0,0.17567448725619447
MCEFL,resultados3m_10,3,resultados3m_10,0,1,0.03355984004181794
MCEFL,resultados3m_10,3,resultados3m_10,1,0,0.2475139756254383
MCEFL,resultados3m_10,3,resultados3m_10,1,1,0.04174503996576025
MCEFL,resultados3m_10,3,resultados3m_10,2,0,0.05121544571776289
MCEFL,resultados3m_10,3,resultados3m_10,2,1,0.03379929514971506
MCEFL,resultados3m_10,3,resultados3m_10,3,0,0.0
MCEFL,resultados3m_10,3,resultados3m_10,3,1,0.0
MCEFL,resultados3m_10,0,resultados3m_60,0,0,0.44241552459613476
MCEFL,resultados3m_10,0,resultados3m_60,0,1,0.08794863277889405
MCEFL,resultados3m_10,0,resultados3m_60,1,0,0.16210357585796928
MCEFL,resultados3m_10,0,resultados3m_60,1,1,0.011023776644468759
MCEFL,resultados3m_10,0,resultados3m_60,2,0,0.21222331064136327
MCEFL,resultados3m_10,0,resultados3m_60,2,1,0.02045568039556799
MCEFL,resultados3m_10,0,resultados3m_60,3,0,0.23805548771349588
MCEFL,resultados3m_10,0,resultados3m_60,3,1,0.046049712381573474
MCEFL,resultados3m_10,1,resultados3m_60,0,0,0.33655020747345943
MCEFL,resultados3m_10,1,resultados3m_60,0,1,0.08389154797783817
MCEFL,resultados3m_10,1,resultados3m_60,0,2,0.0036660479007445527
MCEFL,resultados3m_10,1,resultados3m_60,1,0,0.25546398778818885
MCEFL,resultados3m_10,1,resultados3m_60,1,1,0.04086149789084346
MCEFL,resultados3m_10,1,resultados3m_60,2,0,0.187197139031334
MCEFL,resultados3m_10,1,resultados3m_60,2,1,0.04264441461612124
MCEFL,resultados3m_10,1,resultados3m_60,2,2,0.002649209563976055
MCEFL,resultados3m_10,1,resultados3m_60,3,0,0.20925824596513298
MCEFL,resultados3m_10,1,resultados3m_60,3,1,0.052907736559729975
MCEFL,resultados3m_10,1,resultados3m_60,3,2,0.0013817737986167322
MCEFL,resultados3m_10,2,resultados3m_60,0,0,0.39780862022575336
MCEFL,resultados3m_10,2,resultados3m_60,0,1,0.08675464145816529
MCEFL,resultados3m_10,2,resultados3m_60,1,0,0.022374548860844747
MCEFL,resultados3m_10,2,resultados3m_60,1,1,0.011673597408265558
MCEFL,resultados3m_10,2,resultados3m_60,2,0,0.1310497918572954
MCEFL,resultados3m_10,2,resultados3m_60,2,1,0.019580528806947026
MCEFL,resultados3m_10,2,resultados3m_60,3,0,0.18380503749633978
MCEFL,resultados3m_10,2,resultados3m_60,3,1,0.0450808549971805
MCEFL,resultados3m_10,3,resultados3m_60,0,0,0.40291405541354236
MCEFL,resultados3m_10,3,resultados3m_60,0,1,0.0875218780289878
MCEFL,resultados3m_10,3,resultados3m_60,1,0,0.047137617260360254
MCEFL,resultados3m_10,3,resultados3m_60,1,1,0.03531427135623634
MCEFL,resultados3m_10,3,resultados3m_60,2,0,0.1485092344826878
MCEFL,resultados3m_10,3,resultados3m_60,2,1,0.03469952703832032
MCEFL,resultados3m_10,3,resultados3m_60,3,0,0.20321346804587548
MCEFL,resultados3m_10,3,resultados3m_60,3,1,0.05670777898299484
MCEFL,resultados3m_10,0,resultados3m_70,0,0,0.44466566735520435
MCEFL,resultados3m_10,0,resultados3m_70,0,1,0.08943687908050288
MCEFL,resultados3m_10,0,resultados3m_70,1,0,0.16150446158099066
MCEFL,resultados3m_10,0,resultados3m_70,1,1,0.01108830138561473
MCEFL,resultados3m_10,0,resultados3m_70,2,0,0.15894941550050223
MCEFL,resultados3m_10,0,resultados3m_70,2,1,0.01588509293460435
MCEFL,resultados3m_10,0,resultados3m_70,3,0,0.23929973077297448
MCEFL,resultados3m_10,0,resultados3m_70,3,1,0.04799013205923732
MCEFL,resultados3m_10,0,resultados3m_70,4,0,0.09239582164984053
MCEFL,resultados3m_10,0,resultados3m_70,4,1,0.0028406408050740844
MCEFL,resultados3m_10,1,resultados3m_70,0,0,0.33776417074231113
MCEFL,resultados3m_10,1,resultados3m_70,0,1,0.08608195307302524
MCEFL,resultados3m_10,1,resultados3m_70,0,2,0.004097418157734723
MCEFL,resultados3m_10,1,resultados3m_70,1,0,0.2576874828848802
MCEFL,resultados3m_10,1,resultados3m_70,1,1,0.040313257034431955
MCEFL,resultados3m_10,1,resultados3m_70,2,0,0.24751384872582852
MCEFL,resultados3m_10,1,resultados3m_70,2,1,0.04288664067407139
MCEFL,resultados3m_10,1,resultados3m_70,2,2,0.002686370961502797
MCEFL,resultados3m_10,1,resultados3m_70,3,0,0.2094885929035223
MCEFL,resultados3m_10,1,resultados3m_70,3,1,0.05383954516774157
MCEFL,resultados3m_10,1,resultados3m_70,3,2,0.0013982914605110922
MCEFL,resultados3m_10,1,resultados3m_70,4,0,0.3109114455746983
MCEFL,resultados3m_10,1,resultados3m_70,4,1,0.04225753168395415
MCEFL,resultados3m_10,1,resultados3m_70,4,2,0.0013122163622301195
MCEFL,resultados3m_10,2,resultados3m_70,0,0,0.4000965181531157
