prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_10,persistencia_MSFC_componente_1.csv,0,0.0
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_10,persistencia_MSFC_componente_1.csv,1,0.0
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_10,persistencia_MSFC_componente_1.csv,2,0.0
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_20,persistencia_MSFC_componente_1.csv,0,0.02820973768045352
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_20,persistencia_MSFC_componente_1.csv,1,0.012926840294518996
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_20,persistencia_MSFC_componente_1.csv,2,0.0016210644650969308
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_30,persistencia_MSFC_componente_1.csv,0,0.04818749682230859
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_30,persistencia_MSFC_componente_1.csv,1,0.009962585005910863
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_30,persistencia_MSFC_componente_1.csv,2,0.0016935318125148975
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_30,persistencia_MSFC_componente_2.csv,0,0.07152084276628738
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_30,persistencia_MSFC_componente_2.csv,1,0.010304850799502144
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_30,persistencia_MSFC_componente_2.csv,2,0.0015923881436383524
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_40,persistencia_MSFC_componente_1.csv,0,0.03815743308976634
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_40,persistencia_MSFC_componente_1.csv,1,0.014235957993756513
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_40,persistencia_MSFC_componente_1.csv,2,0.0029061744613838978
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_50,persistencia_MSFC_componente_1.csv,0,0.14119341379823616
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_50,persistencia_MSFC_componente_1.csv,1,0.02818922666551887
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_50,persistencia_MSFC_componente_1.csv,2,0.0024877801349797737
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_60,persistencia_MSFC_componente_1.csv,0,0.13854259507458314
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_60,persistencia_MSFC_componente_1.csv,1,0.02670939160669894
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_60,persistencia_MSFC_componente_1.csv,2,0.0038928010480886385
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_70,persistencia_MSFC_componente_1.csv,0,0.1404267736224111
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_70,persistencia_MSFC_componente_1.csv,1,0.031046222797628694
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_70,persistencia_MSFC_componente_1.csv,2,0.006745765338343752
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_80,persistencia_MSFC_componente_1.csv,0,0.14638910427350776
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_80,persistencia_MSFC_componente_1.csv,1,0.03214735681203043
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_80,persistencia_MSFC_componente_1.csv,2,0.003934094559107598
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_90,persistencia_MSFC_componente_1.csv,0,0.1194654320295205
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_90,persistencia_MSFC_componente_1.csv,1,0.02137969246738595
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_90,persistencia_MSFC_componente_1.csv,2,0.003012557053401649
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_100,persistencia_MSFC_componente_1.csv,0,0.16936256921173545
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_100,persistencia_MSFC_componente_1.csv,1,0.02200368264632082
MSFC,resultados10m1_10,persistencia_MSFC_componente_1.csv,resultados10m1_100,persistencia_MSFC_componente_1.csv,2,0.0023407904647789386
MSFC,resultados10m1_20,persistencia_MSFC_componente_1.csv,resultados10m1_20,persistencia_MSFC_componente_1.csv,0,0.0
MSFC,resultados10m1_20,persistencia_MSFC_componente_1.csv,resultados10m1_20,persistencia_MSFC_componente_1.csv,1,0.0
MSFC,resultados10m1_20,persistencia_MSFC_componente_1.csv,resultados10m1_20,persistencia_MSFC_componente_1.csv,2,0.0
MSFC,resultados10m1_20,persistencia_MSFC_componente_1.csv,resultados10m1_30,persistencia_MSFC_componente_1.csv,0,0.05866484978247197
MSFC,resultados10m1_20,persistencia_MSFC_componente_1.csv,resultados10m1_30,persistencia_MSFC_componente_1.csv,1,0.011488085131996537
MSFC,resultados10m1_20,persistencia_MSFC_componente_1.csv,resultados10m1_30,persistencia_MSFC_componente_1.csv,2,0.0006305949571634681
MSFC,resultados10m1_20,persistencia_MSFC_componente_1.csv,resultados10m1_30,persistencia_MSFC_componente_2.csv,0,0.07910539520159166
MSFC,resultados10m1_20,persistencia_MSFC_componente_1.csv,resultados10m1_30,persistencia_MSFC_componente_2.csv,1,0.013303257119968777
MSFC,resultados10m1_20,persistencia_MSFC_componente_1.csv,resultados10m1_30,persistencia_MSFC_componente_2.csv,2,0.0003452535300326417
MSFC,resultados10m1_20,persistencia_MSFC_componente_1.csv,resultados10m1_40,persistencia_MSFC_componente_1.csv,0,0.017351776566104322
MSFC,resultados10m1_20,persistencia_MSFC_componente_1.csv,resultados10m1_40,persistencia_MSFC_componente_1.csv,1,0.008790221840204025
