prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_50,persistencia_WSUT_componente_4.csv,0,0.0
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_50,persistencia_WSUT_componente_4.csv,1,0.0
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_50,persistencia_WSUT_componente_4.csv,2,0.0
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_50,persistencia_WSUT_componente_6.csv,0,0.03418820922481896
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_50,persistencia_WSUT_componente_6.csv,1,0.004438670972261854
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_50,persistencia_WSUT_componente_6.csv,2,0.0003539774004085576
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_50,persistencia_WSUT_componente_4.csv,0,0.034188209224819015
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_50,persistencia_WSUT_componente_4.csv,1,0.004438670972261855
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_50,persistencia_WSUT_componente_4.csv,2,0.00035397740040855766
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_50,persistencia_WSUT_componente_6.csv,0,0.0
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_50,persistencia_WSUT_componente_6.csv,1,0.0
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_50,persistencia_WSUT_componente_6.csv,2,0.0
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_60,persistencia_WSUT_componente_1.csv,0,0.019748159407904326
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_60,persistencia_WSUT_componente_1.csv,1,0.003998530980247623
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_60,persistencia_WSUT_componente_1.csv,2,0.00034365680554879213
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_60,persistencia_WSUT_componente_3.csv,0,0.0034132828772312396
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_60,persistencia_WSUT_componente_3.csv,1,0.004584037521661444
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_60,persistencia_WSUT_componente_3.csv,2,0.0006888758959348189
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_60,persistencia_WSUT_componente_4.csv,0,0.03253905192226719
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_60,persistencia_WSUT_componente_4.csv,1,0.005638701091563552
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_60,persistencia_WSUT_componente_4.csv,2,0.00037516662964608236
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_60,persistencia_WSUT_componente_5.csv,0,0.02451065482601393
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_60,persistencia_WSUT_componente_5.csv,1,0.005551616881594045
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_60,persistencia_WSUT_componente_5.csv,2,0.0003478505426185222
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_60,persistencia_WSUT_componente_1.csv,0,0.0409703087613457
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_60,persistencia_WSUT_componente_1.csv,1,0.0049638593855990745
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_60,persistencia_WSUT_componente_1.csv,2,9.823441352194254e-05
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_60,persistencia_WSUT_componente_3.csv,0,0.03485693833370911
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_60,persistencia_WSUT_componente_3.csv,1,0.004595116973483917
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_60,persistencia_WSUT_componente_3.csv,2,0.0009246621004453463
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_60,persistencia_WSUT_componente_4.csv,0,0.014638574042576687
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_60,persistencia_WSUT_componente_4.csv,1,0.007276362415383115
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_60,persistencia_WSUT_componente_4.csv,2,0.00017478558292948647
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_60,persistencia_WSUT_componente_5.csv,0,0.01899382662867069
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_60,persistencia_WSUT_componente_5.csv,1,0.005752160463686665
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_60,persistencia_WSUT_componente_5.csv,2,8.66025403784439e-05
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_70,persistencia_WSUT_componente_1.csv,0,0.04325615505335599
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_70,persistencia_WSUT_componente_1.csv,1,0.006070687769931842
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_70,persistencia_WSUT_componente_1.csv,2,0.0006206851053473107
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_70,persistencia_WSUT_componente_2.csv,0,0.011392433892720209
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_70,persistencia_WSUT_componente_2.csv,1,0.008606561450428393
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_70,persistencia_WSUT_componente_2.csv,2,0.000935841866983947
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_70,persistencia_WSUT_componente_3.csv,0,0.019650748077363372
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_70,persistencia_WSUT_componente_3.csv,1,0.0026612027356065883
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_70,persistencia_WSUT_componente_1.csv,0,0.021331286881011186
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_70,persistencia_WSUT_componente_1.csv,1,0.006192204776975647
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_70,persistencia_WSUT_componente_1.csv,2,0.0005251190341246466
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_70,persistencia_WSUT_componente_2.csv,0,0.028113784875039505
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_70,persistencia_WSUT_componente_2.csv,1,0.009247031956254939
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_70,persistencia_WSUT_componente_2.csv,2,0.0009161331780914826
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_70,persistencia_WSUT_componente_3.csv,0,0.042639004444287865
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_70,persistencia_WSUT_componente_3.csv,1,0.0040159245510840965
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_80,persistencia_WSUT_componente_1.csv,0,0.036878799465275565
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_80,persistencia_WSUT_componente_1.csv,1,0.005828125770777433
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_80,persistencia_WSUT_componente_1.csv,2,0.0006236986451805066
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_80,persistencia_WSUT_componente_2.csv,0,0.02464525309263429
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_80,persistencia_WSUT_componente_2.csv,1,0.0038551459116355127
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_80,persistencia_WSUT_componente_2.csv,2,0.00035825968235345763
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_80,persistencia_WSUT_componente_3.csv,0,0.007851448910869904
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_80,persistencia_WSUT_componente_3.csv,1,0.0032400540118954838
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_80,persistencia_WSUT_componente_3.csv,2,0.0003685783498796428
WSUT,resultados10m1_50,persistencia_WSUT_componente_4.csv,resultados10m1_80,persistencia_WSUT_componente_6.csv,0,0.01883087889611104
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_80,persistencia_WSUT_componente_1.csv,0,0.008543608722314007
WSUT,resultados10m1_50,persistencia_WSUT_componente_6.csv,resultados10m1_80,persistencia_WSUT_componente_1.csv,1,0.006419727408543138
