prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_10,persistencia_WLEC_componente_1.csv,0,0.0
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_10,persistencia_WLEC_componente_1.csv,1,0.0
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_10,persistencia_WLEC_componente_1.csv,2,0.0
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_20,persistencia_WLEC_componente_1.csv,0,0.057687813271088205
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_20,persistencia_WLEC_componente_1.csv,1,0.024901918600782596
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_20,persistencia_WLEC_componente_1.csv,2,0.006236613664481711
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_30,persistencia_WLEC_componente_1.csv,0,0.07044231824691771
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_30,persistencia_WLEC_componente_1.csv,1,0.030893048570835486
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_30,persistencia_WLEC_componente_1.csv,2,0.007734704260668275
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_40,persistencia_WLEC_componente_1.csv,0,0.07746731020243133
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_40,persistencia_WLEC_componente_1.csv,1,0.034771682444195796
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_40,persistencia_WLEC_componente_1.csv,2,0.008076227460887911
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_50,persistencia_WLEC_componente_1.csv,0,0.30720510444977794
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_50,persistencia_WLEC_componente_1.csv,1,0.07248490049658624
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_50,persistencia_WLEC_componente_1.csv,2,0.01819115581814416
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_60,persistencia_WLEC_componente_1.csv,0,0.353502787683491
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_60,persistencia_WLEC_componente_1.csv,1,0.07375548894828102
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_60,persistencia_WLEC_componente_1.csv,2,0.019650656477583645
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_70,persistencia_WLEC_componente_1.csv,0,0.43876232746215094
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_70,persistencia_WLEC_componente_1.csv,1,0.07331010469232728
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_70,persistencia_WLEC_componente_1.csv,2,0.01839711390408833
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_80,persistencia_WLEC_componente_1.csv,0,0.30634268711689444
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_80,persistencia_WLEC_componente_1.csv,1,0.07362642256690179
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_80,persistencia_WLEC_componente_1.csv,2,0.01764769956679907
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_90,persistencia_WLEC_componente_1.csv,0,0.3052977922455366
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_90,persistencia_WLEC_componente_1.csv,1,0.06352381364496311
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_90,persistencia_WLEC_componente_1.csv,2,0.016115804354732036
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_100,persistencia_WLEC_componente_1.csv,0,0.4452742755313902
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_100,persistencia_WLEC_componente_1.csv,1,0.06865519317575325
WLEC,resultados10m2_10,persistencia_WLEC_componente_1.csv,resultados10m2_100,persistencia_WLEC_componente_1.csv,2,0.013338695588399941
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_20,persistencia_WLEC_componente_1.csv,0,0.0
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_20,persistencia_WLEC_componente_1.csv,1,0.0
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_20,persistencia_WLEC_componente_1.csv,2,0.0
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_30,persistencia_WLEC_componente_1.csv,0,0.027300590652950978
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_30,persistencia_WLEC_componente_1.csv,1,0.014215568929874035
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_30,persistencia_WLEC_componente_1.csv,2,0.006308989617997476
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_40,persistencia_WLEC_componente_1.csv,0,0.03529222152259974
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_40,persistencia_WLEC_componente_1.csv,1,0.01713624083630954
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_40,persistencia_WLEC_componente_1.csv,2,0.00611002045823089
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_50,persistencia_WLEC_componente_1.csv,0,0.12078997288683248
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_50,persistencia_WLEC_componente_1.csv,1,0.05974331385184477
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_50,persistencia_WLEC_componente_1.csv,2,0.015565349337551016
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_60,persistencia_WLEC_componente_1.csv,0,0.31993052831825913
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_60,persistencia_WLEC_componente_1.csv,1,0.060960599570542236
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_60,persistencia_WLEC_componente_1.csv,2,0.017074734258547036
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_70,persistencia_WLEC_componente_1.csv,0,0.46246606199806467
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_70,persistencia_WLEC_componente_1.csv,1,0.06027667500783415
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_70,persistencia_WLEC_componente_1.csv,2,0.015362695076060065
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_80,persistencia_WLEC_componente_1.csv,0,0.29148306674660873
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_80,persistencia_WLEC_componente_1.csv,1,0.06024594260197147
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_80,persistencia_WLEC_componente_1.csv,2,0.015345803986758087
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_90,persistencia_WLEC_componente_1.csv,0,0.14596360796444513
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_90,persistencia_WLEC_componente_1.csv,1,0.05010387260482023
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_90,persistencia_WLEC_componente_1.csv,2,0.013612103070429624
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_100,persistencia_WLEC_componente_1.csv,0,0.44943999888751807
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_100,persistencia_WLEC_componente_1.csv,1,0.05529361310314281
WLEC,resultados10m2_20,persistencia_WLEC_componente_1.csv,resultados10m2_100,persistencia_WLEC_componente_1.csv,2,0.011243578167113867
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_30,persistencia_WLEC_componente_1.csv,0,0.0
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_30,persistencia_WLEC_componente_1.csv,1,0.0
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_30,persistencia_WLEC_componente_1.csv,2,0.0
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_40,persistencia_WLEC_componente_1.csv,0,0.018312912111396618
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_40,persistencia_WLEC_componente_1.csv,1,0.013438342531726254
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_40,persistencia_WLEC_componente_1.csv,2,0.006291160465287789
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_50,persistencia_WLEC_componente_1.csv,0,0.05049994257422699
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_50,persistencia_WLEC_componente_1.csv,1,0.0566219255236001
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_50,persistencia_WLEC_componente_1.csv,2,0.014827639731258639
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_60,persistencia_WLEC_componente_1.csv,0,0.17823063485270033
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_60,persistencia_WLEC_componente_1.csv,1,0.057966502827064705
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_60,persistencia_WLEC_componente_1.csv,2,0.01662446390113073
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_70,persistencia_WLEC_componente_1.csv,0,0.3805473906098624
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_70,persistencia_WLEC_componente_1.csv,1,0.05672981667518491
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_70,persistencia_WLEC_componente_1.csv,2,0.014994268905151705
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_80,persistencia_WLEC_componente_1.csv,0,0.05733148262516186
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_80,persistencia_WLEC_componente_1.csv,1,0.05704758277087699
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_80,persistencia_WLEC_componente_1.csv,2,0.01474503475750395
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_90,persistencia_WLEC_componente_1.csv,0,0.15073785307612
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_90,persistencia_WLEC_componente_1.csv,1,0.047080481093547906
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_90,persistencia_WLEC_componente_1.csv,2,0.014067291850246045
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_100,persistencia_WLEC_componente_1.csv,0,0.3501016623782597
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_100,persistencia_WLEC_componente_1.csv,1,0.05226488304779864
WLEC,resultados10m2_30,persistencia_WLEC_componente_1.csv,resultados10m2_100,persistencia_WLEC_componente_1.csv,2,0.011354435256761962
WLEC,resultados10m2_40,persistencia_WLEC_componente_1.csv,resultados10m2_40,persistencia_WLEC_componente_1.csv,0,0.0
WLEC,resultados10m2_40,persistencia_WLEC_componente_1.csv,resultados10m2_40,persistencia_WLEC_componente_1.csv,1,0.0
WLEC,resultados10m2_40,persistencia_WLEC_componente_1.csv,resultados10m2_40,persistencia_WLEC_componente_1.csv,2,0.0
WLEC,resultados10m2_40,persistencia_WLEC_componente_1.csv,resultados10m2_50,persistencia_WLEC_componente_1.csv,0,0.16251521928730112
WLEC,resultados10m2_40,persistencia_WLEC_componente_1.csv,resultados10m2_50,persistencia_WLEC_componente_1.csv,1,0.053613899317249795
WLEC,resultados10m2_40,persistencia_WLEC_componente_1.csv,resultados10m2_50,persistencia_WLEC_componente_1.csv,2,0.014508156326701221
WLEC,resultados10m2_40,persistencia_WLEC_componente_1.csv,resultados10m2_60,persistencia_WLEC_componente_1.csv,0,0.1775441856271173
WLEC,resultados10m2_40,persistencia_WLEC_componente_1.csv,resultados10m2_60,persistencia_WLEC_componente_1.csv,1,0.05469744875220672
WLEC,resultados10m2_40,persistencia_WLEC_componente_1.csv,resultados10m2_60,persistencia_WLEC_componente_1.csv,2,0.015926131043037365
