prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_20,persistencia_WVAE_componente_8.csv,0,0.0
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_20,persistencia_WVAE_componente_8.csv,1,0.0
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_20,persistencia_WVAE_componente_8.csv,2,0.0
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_40,persistencia_WVAE_componente_6.csv,0,0.011222820501103993
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_40,persistencia_WVAE_componente_6.csv,1,0.004679070420500208
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_40,persistencia_WVAE_componente_6.csv,2,8.154753215150045e-05
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_50,persistencia_WVAE_componente_1.csv,0,0.12331222790137243
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_50,persistencia_WVAE_componente_1.csv,1,0.021686873910271166
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_50,persistencia_WVAE_componente_1.csv,2,0.0020567814662720003
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_60,persistencia_WVAE_componente_1.csv,0,0.12002942285123265
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_60,persistencia_WVAE_componente_1.csv,1,0.020148446590246113
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_60,persistencia_WVAE_componente_1.csv,2,0.0023681321753652165
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_70,persistencia_WVAE_componente_3.csv,0,0.099491236297475
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_70,persistencia_WVAE_componente_3.csv,1,0.01577112392951118
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_70,persistencia_WVAE_componente_3.csv,2,0.0038417834400184528
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_70,persistencia_WVAE_componente_4.csv,0,0.05587668118276171
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_70,persistencia_WVAE_componente_4.csv,1,0.006792083627282573
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_70,persistencia_WVAE_componente_4.csv,2,0.0002952117883825105
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_80,persistencia_WVAE_componente_1.csv,0,0.11961146224338207
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_80,persistencia_WVAE_componente_1.csv,1,0.022531267163655038
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_80,persistencia_WVAE_componente_1.csv,2,0.0015019320890106843
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_90,persistencia_WVAE_componente_1.csv,0,0.07052819578012753
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_90,persistencia_WVAE_componente_1.csv,1,0.011497147472308077
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_90,persistencia_WVAE_componente_1.csv,2,0.002392268797606155
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_90,persistencia_WVAE_componente_2.csv,0,0.06745460362347402
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_90,persistencia_WVAE_componente_2.csv,1,0.005950999915980505
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_90,persistencia_WVAE_componente_2.csv,2,2.6457513110645933e-05
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_90,persistencia_WVAE_componente_4.csv,0,0.03774864567107012
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_90,persistencia_WVAE_componente_4.csv,1,0.004673285781973964
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_90,persistencia_WVAE_componente_4.csv,2,0.00025169425897306435
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_100,persistencia_WVAE_componente_1.csv,0,0.057652545910826886
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_100,persistencia_WVAE_componente_1.csv,1,0.007545448959472194
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_100,persistencia_WVAE_componente_1.csv,2,0.00040416580755922544
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_100,persistencia_WVAE_componente_3.csv,0,0.07211994765666425
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_100,persistencia_WVAE_componente_3.csv,1,0.007271688249643269
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_100,persistencia_WVAE_componente_3.csv,2,6.324555320336769e-05
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_100,persistencia_WVAE_componente_4.csv,0,0.046202009696548904
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_100,persistencia_WVAE_componente_4.csv,1,0.006483482860315127
WVAE,resultados10m2_20,persistencia_WVAE_componente_8.csv,resultados10m2_100,persistencia_WVAE_componente_4.csv,2,0.0005393978123796941
WVAE,resultados10m2_40,persistencia_WVAE_componente_6.csv,resultados10m2_40,persistencia_WVAE_componente_6.csv,0,0.0
