prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_30,persistencia_WIDS_componente_3.csv,0,0.0
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_30,persistencia_WIDS_componente_3.csv,1,0.0
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_30,persistencia_WIDS_componente_3.csv,2,0.0
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_40,persistencia_WIDS_componente_6.csv,0,0.004660976292580772
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_40,persistencia_WIDS_componente_6.csv,1,0.0012494798917949824
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_40,persistencia_WIDS_componente_6.csv,2,0.00018574175621006707
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_40,persistencia_WIDS_componente_8.csv,0,0.0025701167288666206
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_40,persistencia_WIDS_componente_8.csv,1,0.000456618002273235
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_40,persistencia_WIDS_componente_8.csv,2,0.00014594519519326422
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_50,persistencia_WIDS_componente_2.csv,0,0.05861676893176557
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_50,persistencia_WIDS_componente_2.csv,1,0.009063238935391687
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_50,persistencia_WIDS_componente_2.csv,2,0.0012581931489242834
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_50,persistencia_WIDS_componente_3.csv,0,0.07143502747252235
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_50,persistencia_WIDS_componente_3.csv,1,0.015496596400500306
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_50,persistencia_WIDS_componente_3.csv,2,0.0014049733093550228
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_60,persistencia_WIDS_componente_2.csv,0,0.05846593196041606
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_60,persistencia_WIDS_componente_2.csv,1,0.010224018290280974
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_60,persistencia_WIDS_componente_2.csv,2,0.0012017071190602126
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_60,persistencia_WIDS_componente_3.csv,0,0.0707269312214238
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_60,persistencia_WIDS_componente_3.csv,1,0.016085303851652886
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_60,persistencia_WIDS_componente_3.csv,2,0.002261271766064398
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_70,persistencia_WIDS_componente_2.csv,0,0.05896941071436955
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_70,persistencia_WIDS_componente_2.csv,1,0.011353517076219153
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_70,persistencia_WIDS_componente_2.csv,2,0.0016533299731148637
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_70,persistencia_WIDS_componente_3.csv,0,0.07222003842424897
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_70,persistencia_WIDS_componente_3.csv,1,0.0160375995710081
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_70,persistencia_WIDS_componente_3.csv,2,0.0017370377082838496
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_80,persistencia_WIDS_componente_1.csv,0,0.07224357445475671
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_80,persistencia_WIDS_componente_1.csv,1,0.016056939309843567
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_80,persistencia_WIDS_componente_1.csv,2,0.0017298121285272616
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_80,persistencia_WIDS_componente_2.csv,0,0.0590547826174985
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_80,persistencia_WIDS_componente_2.csv,1,0.011470590656108337
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_80,persistencia_WIDS_componente_2.csv,2,0.0015227606509231831
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_90,persistencia_WIDS_componente_1.csv,0,0.06997920869801248
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_90,persistencia_WIDS_componente_1.csv,1,0.013766066976446093
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_90,persistencia_WIDS_componente_1.csv,2,0.0005263553932468084
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_90,persistencia_WIDS_componente_2.csv,0,0.05727867971592921
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_90,persistencia_WIDS_componente_2.csv,1,0.009441324059685691
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_90,persistencia_WIDS_componente_2.csv,2,0.0005717954179599553
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_100,persistencia_WIDS_componente_1.csv,0,0.057878082639285844
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_100,persistencia_WIDS_componente_1.csv,1,0.00922585226415423
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_100,persistencia_WIDS_componente_1.csv,2,0.000721560808248341
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_100,persistencia_WIDS_componente_5.csv,0,0.06653213734730022
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_100,persistencia_WIDS_componente_5.csv,1,0.014964618271108662
WIDS,resultados10m3_30,persistencia_WIDS_componente_3.csv,resultados10m3_100,persistencia_WIDS_componente_5.csv,2,0.0001729161646579058
WIDS,resultados10m3_40,persistencia_WIDS_componente_6.csv,resultados10m3_40,persistencia_WIDS_componente_6.csv,0,0.0
WIDS,resultados10m3_40,persistencia_WIDS_componente_6.csv,resultados10m3_40,persistencia_WIDS_componente_6.csv,1,0.0
