prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_20,persistencia_WVIV_componente_7.csv,0,0.0
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_20,persistencia_WVIV_componente_7.csv,1,0.0
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_20,persistencia_WVIV_componente_7.csv,2,0.0
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_50,persistencia_WVIV_componente_1.csv,0,0.10966477761797543
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_50,persistencia_WVIV_componente_1.csv,1,0.02013995034750583
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_50,persistencia_WVIV_componente_1.csv,2,0.0005279204485526167
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_50,persistencia_WVIV_componente_2.csv,0,0.08027356819028292
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_50,persistencia_WVIV_componente_2.csv,1,0.013118243022600248
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_50,persistencia_WVIV_componente_2.csv,2,0.00029427877939124314
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_60,persistencia_WVIV_componente_1.csv,0,0.11010169617222072
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_60,persistencia_WVIV_componente_1.csv,1,0.018061618144562797
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_60,persistencia_WVIV_componente_1.csv,2,0.0013157887368418972
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_60,persistencia_WVIV_componente_2.csv,0,0.07051531748492658
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_60,persistencia_WVIV_componente_2.csv,1,0.006823345953416111
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_60,persistencia_WVIV_componente_2.csv,2,0.0005932958789676522
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_60,persistencia_WVIV_componente_3.csv,0,0.034765313172758876
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_60,persistencia_WVIV_componente_3.csv,1,0.006202963001662998
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_60,persistencia_WVIV_componente_3.csv,2,0.0002114237451186597
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_70,persistencia_WVIV_componente_1.csv,0,0.10762440081134024
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_70,persistencia_WVIV_componente_1.csv,1,0.020855423754985183
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_70,persistencia_WVIV_componente_1.csv,2,0.0013821541158640755
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_70,persistencia_WVIV_componente_2.csv,0,0.03608121533429829
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_70,persistencia_WVIV_componente_2.csv,1,0.005267333291144581
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_70,persistencia_WVIV_componente_2.csv,2,0.00024083189157584584
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_70,persistencia_WVIV_componente_3.csv,0,0.055610155547345885
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_70,persistencia_WVIV_componente_3.csv,1,0.003626023993301755
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_70,persistencia_WVIV_componente_3.csv,2,0.0007149125820686044
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_80,persistencia_WVIV_componente_1.csv,0,0.14564029353170063
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_80,persistencia_WVIV_componente_1.csv,1,0.030182136272967817
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_80,persistencia_WVIV_componente_1.csv,2,0.0005587933428379391
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_90,persistencia_WVIV_componente_1.csv,0,0.13428851514556223
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_90,persistencia_WVIV_componente_1.csv,1,0.026613348154638478
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_90,persistencia_WVIV_componente_1.csv,2,0.0003619392214170771
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_100,persistencia_WVIV_componente_1.csv,0,0.10059957405476432
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_100,persistencia_WVIV_componente_1.csv,1,0.015052821994563013
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_100,persistencia_WVIV_componente_1.csv,2,0.0009800765276242478
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_100,persistencia_WVIV_componente_2.csv,0,0.047582605014858156
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_100,persistencia_WVIV_componente_2.csv,1,0.005559222067879642
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_100,persistencia_WVIV_componente_2.csv,2,0.00011224972160321807
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_100,persistencia_WVIV_componente_3.csv,0,0.03356212672045678
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_100,persistencia_WVIV_componente_3.csv,1,0.00493718543301748
WVIV,resultados10m3_20,persistencia_WVIV_componente_7.csv,resultados10m3_100,persistencia_WVIV_componente_3.csv,2,0.00030298514815086227
WVIV,resultados10m3_50,persistencia_WVIV_componente_1.csv,resultados10m3_50,persistencia_WVIV_componente_1.csv,0,0.0
WVIV,resultados10m3_50,persistencia_WVIV_componente_1.csv,resultados10m3_50,persistencia_WVIV_componente_1.csv,1,0.0
WVIV,resultados10m3_50,persistencia_WVIV_componente_1.csv,resultados10m3_50,persistencia_WVIV_componente_1.csv,2,0.0
WVIV,resultados10m3_50,persistencia_WVIV_componente_1.csv,resultados10m3_50,persistencia_WVIV_componente_2.csv,0,0.059470602401522736
WVIV,resultados10m3_50,persistencia_WVIV_componente_1.csv,resultados10m3_50,persistencia_WVIV_componente_2.csv,1,0.013863001118084063
WVIV,resultados10m3_50,persistencia_WVIV_componente_1.csv,resultados10m3_50,persistencia_WVIV_componente_2.csv,2,0.0005462142436809902
WVIV,resultados10m3_50,persistencia_WVIV_componente_2.csv,resultados10m3_50,persistencia_WVIV_componente_1.csv,0,0.059470602401522674
WVIV,resultados10m3_50,persistencia_WVIV_componente_2.csv,resultados10m3_50,persistencia_WVIV_componente_1.csv,1,0.013863001118084074
WVIV,resultados10m3_50,persistencia_WVIV_componente_2.csv,resultados10m3_50,persistencia_WVIV_componente_1.csv,2,0.0005462142436809903
WVIV,resultados10m3_50,persistencia_WVIV_componente_2.csv,resultados10m3_50,persistencia_WVIV_componente_2.csv,0,0.0
WVIV,resultados10m3_50,persistencia_WVIV_componente_2.csv,resultados10m3_50,persistencia_WVIV_componente_2.csv,1,0.0
