prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_50,persistencia_MCEFL_componente_1.csv,0,0.0
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_50,persistencia_MCEFL_componente_1.csv,1,0.0
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_50,persistencia_MCEFL_componente_1.csv,2,0.0
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_50,persistencia_MCEFL_componente_5.csv,0,0.35720882
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_50,persistencia_MCEFL_componente_5.csv,1,0.05555508
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_50,persistencia_MCEFL_componente_5.csv,2,0.0098501155
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_50,persistencia_MCEFL_componente_1.csv,0,0.35720882
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_50,persistencia_MCEFL_componente_1.csv,1,0.05555508
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_50,persistencia_MCEFL_componente_1.csv,2,0.0098501155
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_50,persistencia_MCEFL_componente_5.csv,0,0.0
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_50,persistencia_MCEFL_componente_5.csv,1,0.0
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_50,persistencia_MCEFL_componente_5.csv,2,0.0
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_12.csv,0,0.21136972
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_12.csv,1,0.040995937
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_12.csv,2,0.00110422
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_2.csv,0,0.21321689
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_2.csv,1,0.06407325
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_2.csv,2,0.008361126
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_3.csv,0,0.106334545
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_3.csv,1,0.028914038
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_3.csv,2,0.0020862038
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_4.csv,0,0.23950319
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_4.csv,1,0.04268765
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_4.csv,2,0.0011058715
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_8.csv,0,0.21670787
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_8.csv,1,0.04125776
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_8.csv,2,0.0011014091
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_9.csv,0,0.16316538
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_9.csv,1,0.039096966
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_60,persistencia_MCEFL_componente_9.csv,2,0.0023746975
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_12.csv,0,0.47216335
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_12.csv,1,0.06544325
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_12.csv,2,0.009828009
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_2.csv,0,0.3104012
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_2.csv,1,0.043537054
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_2.csv,2,0.010535682
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_3.csv,0,0.3969961
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_3.csv,1,0.05885175
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_3.csv,2,0.009980639
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_4.csv,0,0.48994118
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_4.csv,1,0.0665762
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_4.csv,2,0.009828417
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_8.csv,0,0.47666916
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_8.csv,1,0.065425634
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_8.csv,2,0.009827284
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_9.csv,0,0.44744384
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_9.csv,1,0.057031907
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_60,persistencia_MCEFL_componente_9.csv,2,0.009700255
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_70,persistencia_MCEFL_componente_1.csv,0,0.0682057
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_70,persistencia_MCEFL_componente_1.csv,1,0.028854463
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_70,persistencia_MCEFL_componente_1.csv,2,0.0010941215
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_70,persistencia_MCEFL_componente_2.csv,0,0.22906284
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_70,persistencia_MCEFL_componente_2.csv,1,0.04269335
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_70,persistencia_MCEFL_componente_2.csv,2,0.0011057133
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_70,persistencia_MCEFL_componente_3.csv,0,0.34279516
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_70,persistencia_MCEFL_componente_3.csv,1,0.06336516
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_70,persistencia_MCEFL_componente_3.csv,2,0.013493852
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_70,persistencia_MCEFL_componente_1.csv,0,0.36219552
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_70,persistencia_MCEFL_componente_1.csv,1,0.053362958
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_70,persistencia_MCEFL_componente_1.csv,2,0.009826373
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_70,persistencia_MCEFL_componente_2.csv,0,0.48509926
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_70,persistencia_MCEFL_componente_2.csv,1,0.06658418
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_70,persistencia_MCEFL_componente_2.csv,2,0.009828426
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_70,persistencia_MCEFL_componente_3.csv,0,0.04453881
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_70,persistencia_MCEFL_componente_3.csv,1,0.035621792
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_70,persistencia_MCEFL_componente_3.csv,2,0.01087882
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_80,persistencia_MCEFL_componente_1.csv,0,0.34975415
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_80,persistencia_MCEFL_componente_1.csv,1,0.06459721
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_80,persistencia_MCEFL_componente_1.csv,2,0.012123433
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_80,persistencia_MCEFL_componente_2.csv,0,0.070401385
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_80,persistencia_MCEFL_componente_2.csv,1,0.02560051
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_80,persistencia_MCEFL_componente_2.csv,2,0.0027219018
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_80,persistencia_MCEFL_componente_3.csv,0,0.22878166
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_80,persistencia_MCEFL_componente_3.csv,1,0.042670723
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_1.csv,resultados10m4_80,persistencia_MCEFL_componente_3.csv,2,0.0011033594
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_80,persistencia_MCEFL_componente_1.csv,0,0.04771618
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_80,persistencia_MCEFL_componente_1.csv,1,0.036013916
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_80,persistencia_MCEFL_componente_1.csv,2,0.01102754
MCEFL,resultados10m4_50,persistencia_MCEFL_componente_5.csv,resultados10m4_80,persistencia_MCEFL_componente_2.csv,0,0.36563623
