prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_10,persistencia_MIA_componente_1.csv,0,0.0
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_10,persistencia_MIA_componente_1.csv,1,0.0
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_10,persistencia_MIA_componente_1.csv,2,0.0
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_20,persistencia_MIA_componente_1.csv,0,0.4619506
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_20,persistencia_MIA_componente_1.csv,1,0.039715935
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_20,persistencia_MIA_componente_1.csv,2,0.00446944
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_20,persistencia_MIA_componente_3.csv,0,0.41084978
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_20,persistencia_MIA_componente_3.csv,1,0.0365495
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_20,persistencia_MIA_componente_3.csv,2,0.0070197703
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_30,persistencia_MIA_componente_2.csv,0,0.41475382
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_30,persistencia_MIA_componente_2.csv,1,0.04438342
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_30,persistencia_MIA_componente_2.csv,2,0.009467043
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_40,persistencia_MIA_componente_3.csv,0,0.2647876
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_40,persistencia_MIA_componente_3.csv,1,0.047643527
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_40,persistencia_MIA_componente_3.csv,2,0.0095687425
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_50,persistencia_MIA_componente_1.csv,0,0.48776
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_50,persistencia_MIA_componente_1.csv,1,0.044572257
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_50,persistencia_MIA_componente_2.csv,0,0.40713295
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_50,persistencia_MIA_componente_2.csv,1,0.039752252
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_50,persistencia_MIA_componente_2.csv,2,0.009378691
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_50,persistencia_MIA_componente_3.csv,0,0.56534463
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_50,persistencia_MIA_componente_3.csv,1,0.09069516
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_50,persistencia_MIA_componente_3.csv,2,0.023622433
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_50,persistencia_MIA_componente_5.csv,0,0.4837377
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_50,persistencia_MIA_componente_5.csv,1,0.04419963
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_50,persistencia_MIA_componente_5.csv,2,0.0044599376
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_60,persistencia_MIA_componente_1.csv,0,0.4877885
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_60,persistencia_MIA_componente_1.csv,1,0.044571508
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_60,persistencia_MIA_componente_1.csv,2,0.004458575
MIA,resultados10m4_10,persistencia_MIA_componente_1.csv,resultados10m4_60,persistencia_MIA_componente_2.csv,0,0.545399
