prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_10,persistencia_WIDSL_componente_3.csv,0,0.0
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_10,persistencia_WIDSL_componente_3.csv,1,0.0
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_10,persistencia_WIDSL_componente_3.csv,2,0.0
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_30,persistencia_WIDSL_componente_1.csv,0,0.011340296
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_30,persistencia_WIDSL_componente_1.csv,1,0.0006734983
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_30,persistencia_WIDSL_componente_1.csv,2,0.00016062368
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_40,persistencia_WIDSL_componente_6.csv,0,0.011520243
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_40,persistencia_WIDSL_componente_6.csv,1,0.00088935375
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_40,persistencia_WIDSL_componente_6.csv,2,0.00015297062
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_50,persistencia_WIDSL_componente_1.csv,0,0.030048572
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_50,persistencia_WIDSL_componente_1.csv,1,0.0030429596
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_50,persistencia_WIDSL_componente_1.csv,2,0.0001754993
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_50,persistencia_WIDSL_componente_8.csv,0,0.036311034
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_50,persistencia_WIDSL_componente_8.csv,1,0.0024974092
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_50,persistencia_WIDSL_componente_8.csv,2,5.4313947e-05
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_60,persistencia_WIDSL_componente_1.csv,0,0.018385911
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_60,persistencia_WIDSL_componente_1.csv,1,0.00039306487
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_60,persistencia_WIDSL_componente_2.csv,0,0.034136817
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_60,persistencia_WIDSL_componente_2.csv,1,0.0053145695
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_60,persistencia_WIDSL_componente_2.csv,2,0.00038360135
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_60,persistencia_WIDSL_componente_3.csv,0,0.03313764
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_60,persistencia_WIDSL_componente_3.csv,1,0.0027820491
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_60,persistencia_WIDSL_componente_3.csv,2,4.9999915e-05
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_60,persistencia_WIDSL_componente_8.csv,0,0.03364376
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_60,persistencia_WIDSL_componente_8.csv,1,0.0010874054
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_60,persistencia_WIDSL_componente_8.csv,2,7.745973e-05
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_70,persistencia_WIDSL_componente_1.csv,0,0.029088985
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_70,persistencia_WIDSL_componente_1.csv,1,0.002200443
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_70,persistencia_WIDSL_componente_1.csv,2,0.00019899747
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_70,persistencia_WIDSL_componente_3.csv,0,0.034137946
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_70,persistencia_WIDSL_componente_3.csv,1,0.0021143558
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_70,persistencia_WIDSL_componente_6.csv,0,0.016164983
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_70,persistencia_WIDSL_componente_6.csv,1,0.0018692244
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_70,persistencia_WIDSL_componente_6.csv,2,0.00032519223
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_80,persistencia_WIDSL_componente_1.csv,0,0.036563512
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_80,persistencia_WIDSL_componente_1.csv,1,0.0017759782
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_80,persistencia_WIDSL_componente_6.csv,0,0.015451943
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_80,persistencia_WIDSL_componente_6.csv,1,0.0018913883
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_80,persistencia_WIDSL_componente_6.csv,2,0.00024969978
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_90,persistencia_WIDSL_componente_1.csv,0,0.022354202
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_90,persistencia_WIDSL_componente_1.csv,1,0.0012401209
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_90,persistencia_WIDSL_componente_1.csv,2,0.00011768605
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_90,persistencia_WIDSL_componente_7.csv,0,0.035044175
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_90,persistencia_WIDSL_componente_7.csv,1,0.00056581805
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_90,persistencia_WIDSL_componente_7.csv,2,7.280115e-05
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_100,persistencia_WIDSL_componente_1.csv,0,0.037414722
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_100,persistencia_WIDSL_componente_1.csv,1,0.0013661068
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_100,persistencia_WIDSL_componente_1.csv,2,8.062263e-05
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_100,persistencia_WIDSL_componente_4.csv,0,0.022936031
WIDSL,resultados10m5_10,persistencia_WIDSL_componente_3.csv,resultados10m5_100,persistencia_WIDSL_componente_4.csv,1,0.0012554674
