prefijo,porcentaje_a,archivo_a,porcentaje_b,archivo_b,dimension,distancia
MIA,10,persistencia_MIA_componente_1.csv,10,persistencia_MIA_componente_1.csv,0,0.0
MIA,10,persistencia_MIA_componente_1.csv,10,persistencia_MIA_componente_1.csv,1,0.0
MIA,10,persistencia_MIA_componente_1.csv,10,persistencia_MIA_componente_3.csv,0,0.2029821
MIA,10,persistencia_MIA_componente_1.csv,10,persistencia_MIA_componente_3.csv,1,0.037499644
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_1.csv,0,0.054347593
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_1.csv,1,0.013546936
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_3.csv,0,0.22999401
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_3.csv,1,0.04729255
MIA,10,persistencia_MIA_componente_1.csv,30,persistencia_MIA_componente_2.csv,0,0.23650622
MIA,10,persistencia_MIA_componente_1.csv,30,persistencia_MIA_componente_2.csv,1,0.054098908
MIA,10,persistencia_MIA_componente_1.csv,40,persistencia_MIA_componente_3.csv,0,0.3266356
MIA,10,persistencia_MIA_componente_1.csv,40,persistencia_MIA_componente_3.csv,1,0.058084354
MIA,10,persistencia_MIA_componente_1.csv,50,persistencia_MIA_componente_2.csv,0,0.23231946
MIA,10,persistencia_MIA_componente_1.csv,50,persistencia_MIA_componente_2.csv,1,0.04804886
MIA,10,persistencia_MIA_componente_1.csv,50,persistencia_MIA_componente_1.csv,0,0.11105895
MIA,10,persistencia_MIA_componente_1.csv,50,persistencia_MIA_componente_1.csv,1,0.009558209
MIA,10,persistencia_MIA_componente_1.csv,50,persistencia_MIA_componente_5.csv,0,0.093881354
MIA,10,persistencia_MIA_componente_1.csv,50,persistencia_MIA_componente_5.csv,1,0.009643414
MIA,10,persistencia_MIA_componente_1.csv,50,persistencia_MIA_componente_3.csv,0,0.4712752
MIA,10,persistencia_MIA_componente_1.csv,50,persistencia_MIA_componente_3.csv,1,0.10061342
MIA,10,persistencia_MIA_componente_1.csv,60,persistencia_MIA_componente_2.csv,0,0.47886923
MIA,10,persistencia_MIA_componente_1.csv,60,persistencia_MIA_componente_2.csv,1,0.104134955
MIA,10,persistencia_MIA_componente_1.csv,60,persistencia_MIA_componente_1.csv,0,0.11091232
MIA,10,persistencia_MIA_componente_1.csv,60,persistencia_MIA_componente_1.csv,1,0.009554231
MIA,10,persistencia_MIA_componente_1.csv,60,persistencia_MIA_componente_3.csv,0,0.22706364
MIA,10,persistencia_MIA_componente_1.csv,60,persistencia_MIA_componente_3.csv,1,0.043320984
MIA,10,persistencia_MIA_componente_1.csv,70,persistencia_MIA_componente_2.csv,0,0.22961736
MIA,10,persistencia_MIA_componente_1.csv,70,persistencia_MIA_componente_2.csv,1,0.05078499
MIA,10,persistencia_MIA_componente_1.csv,70,persistencia_MIA_componente_1.csv,0,0.52336967
MIA,10,persistencia_MIA_componente_1.csv,70,persistencia_MIA_componente_1.csv,1,0.107120626
MIA,10,persistencia_MIA_componente_1.csv,80,persistencia_MIA_componente_2.csv,0,0.23093532
MIA,10,persistencia_MIA_componente_1.csv,80,persistencia_MIA_componente_2.csv,1,0.047427855
MIA,10,persistencia_MIA_componente_1.csv,80,persistencia_MIA_componente_1.csv,0,0.57695794
MIA,10,persistencia_MIA_componente_1.csv,80,persistencia_MIA_componente_1.csv,1,0.106507726
MIA,10,persistencia_MIA_componente_1.csv,90,persistencia_MIA_componente_2.csv,0,0.18832108
MIA,10,persistencia_MIA_componente_1.csv,90,persistencia_MIA_componente_2.csv,1,0.04284949
MIA,10,persistencia_MIA_componente_1.csv,90,persistencia_MIA_componente_1.csv,0,0.45672098
MIA,10,persistencia_MIA_componente_1.csv,90,persistencia_MIA_componente_1.csv,1,0.09169389
MIA,10,persistencia_MIA_componente_1.csv,100,persistencia_MIA_componente_1.csv,0,0.8229685
MIA,10,persistencia_MIA_componente_1.csv,100,persistencia_MIA_componente_1.csv,1,0.12007393
MIA,10,persistencia_MIA_componente_3.csv,10,persistencia_MIA_componente_1.csv,0,0.2029821
MIA,10,persistencia_MIA_componente_3.csv,10,persistencia_MIA_componente_1.csv,1,0.037499644
MIA,10,persistencia_MIA_componente_3.csv,10,persistencia_MIA_componente_3.csv,0,1.2419738e-06
MIA,10,persistencia_MIA_componente_3.csv,10,persistencia_MIA_componente_3.csv,1,0.0
MIA,10,persistencia_MIA_componente_3.csv,10,persistencia_MIA_componente_3.csv,2,0.0
MIA,10,persistencia_MIA_componente_3.csv,20,persistencia_MIA_componente_1.csv,0,0.19101216
MIA,10,persistencia_MIA_componente_3.csv,20,persistencia_MIA_componente_1.csv,1,0.033844423
MIA,10,persistencia_MIA_componente_3.csv,20,persistencia_MIA_componente_1.csv,2,0.004949394
MIA,10,persistencia_MIA_componente_3.csv,20,persistencia_MIA_componente_3.csv,0,0.07893113
MIA,10,persistencia_MIA_componente_3.csv,20,persistencia_MIA_componente_3.csv,1,0.027736064
MIA,10,persistencia_MIA_componente_3.csv,20,persistencia_MIA_componente_3.csv,2,0.0067656273
MIA,10,persistencia_MIA_componente_3.csv,30,persistencia_MIA_componente_2.csv,0,0.09902396
MIA,10,persistencia_MIA_componente_3.csv,30,persistencia_MIA_componente_2.csv,1,0.03688298
MIA,10,persistencia_MIA_componente_3.csv,30,persistencia_MIA_componente_2.csv,2,0.009118852
MIA,10,persistencia_MIA_componente_3.csv,40,persistencia_MIA_componente_3.csv,0,0.24729334
MIA,10,persistencia_MIA_componente_3.csv,40,persistencia_MIA_componente_3.csv,1,0.041598704
MIA,10,persistencia_MIA_componente_3.csv,40,persistencia_MIA_componente_3.csv,2,0.008165638
MIA,10,persistencia_MIA_componente_3.csv,50,persistencia_MIA_componente_2.csv,0,0.05019563
MIA,10,persistencia_MIA_componente_3.csv,50,persistencia_MIA_componente_2.csv,1,0.02941445
MIA,10,persistencia_MIA_componente_3.csv,50,persistencia_MIA_componente_2.csv,2,0.009441584
MIA,10,persistencia_MIA_componente_3.csv,50,persistencia_MIA_componente_1.csv,0,0.24041604
MIA,10,persistencia_MIA_componente_3.csv,50,persistencia_MIA_componente_1.csv,1,0.037645742
