prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_10,persistencia_WSUT_componente_6.csv,0,0.0
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_10,persistencia_WSUT_componente_6.csv,1,0.0
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_10,persistencia_WSUT_componente_6.csv,2,0.0
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_60,persistencia_WSUT_componente_1.csv,0,0.1116987862512391
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_60,persistencia_WSUT_componente_1.csv,1,0.0189961627704123
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_60,persistencia_WSUT_componente_1.csv,2,0.0035795111398066
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_60,persistencia_WSUT_componente_18.csv,0,0.0500260811977112
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_60,persistencia_WSUT_componente_18.csv,1,0.0099466878909514
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_60,persistencia_WSUT_componente_18.csv,2,0.0035335605272868
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_60,persistencia_WSUT_componente_4.csv,0,0.0257807961475203
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_60,persistencia_WSUT_componente_4.csv,1,0.0115353868595725
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_60,persistencia_WSUT_componente_4.csv,2,0.0035921024484276
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_70,persistencia_WSUT_componente_1.csv,0,0.1131123773068181
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_70,persistencia_WSUT_componente_1.csv,1,0.0201679126336862
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_70,persistencia_WSUT_componente_1.csv,2,0.003864052277079
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_70,persistencia_WSUT_componente_6.csv,0,0.0269955209247756
WSUT,resultados3m1_10,persistencia_WSUT_componente_6.csv,resultados3m1_70,persistencia_WSUT_componente_6.csv,1,0.0117496999961701
