prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_10,persistencia_MRS_componente_1.csv,0,0.0
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_10,persistencia_MRS_componente_1.csv,1,0.0
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_10,persistencia_MRS_componente_1.csv,2,0.0
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_10,persistencia_MRS_componente_2.csv,0,0.19182003075799986
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_10,persistencia_MRS_componente_4.csv,0,0.20021270988626075
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_10,persistencia_MRS_componente_4.csv,1,0.03413681956480422
MRS,resultados3m1_10,persistencia_MRS_componente_2.csv,resultados3m1_10,persistencia_MRS_componente_1.csv,0,0.19182003075799986
MRS,resultados3m1_10,persistencia_MRS_componente_2.csv,resultados3m1_10,persistencia_MRS_componente_2.csv,0,0.0
MRS,resultados3m1_10,persistencia_MRS_componente_2.csv,resultados3m1_10,persistencia_MRS_componente_4.csv,0,0.04131527623046952
MRS,resultados3m1_10,persistencia_MRS_componente_4.csv,resultados3m1_10,persistencia_MRS_componente_1.csv,0,0.20021270988626083
MRS,resultados3m1_10,persistencia_MRS_componente_4.csv,resultados3m1_10,persistencia_MRS_componente_1.csv,1,0.03413681956480422
MRS,resultados3m1_10,persistencia_MRS_componente_4.csv,resultados3m1_10,persistencia_MRS_componente_2.csv,0,0.04131527623046952
MRS,resultados3m1_10,persistencia_MRS_componente_4.csv,resultados3m1_10,persistencia_MRS_componente_4.csv,0,0.0
MRS,resultados3m1_10,persistencia_MRS_componente_4.csv,resultados3m1_10,persistencia_MRS_componente_4.csv,1,0.0
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_20,persistencia_MRS_componente_12.csv,0,0.1926596659916133
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_20,persistencia_MRS_componente_12.csv,1,0.0331597708074106
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_20,persistencia_MRS_componente_12.csv,2,0.003144057887507798
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_20,persistencia_MRS_componente_13.csv,0,0.19963361164894056
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_20,persistencia_MRS_componente_13.csv,1,0.03414021528930362
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_20,persistencia_MRS_componente_13.csv,2,0.003144908583727037
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_20,persistencia_MRS_componente_22.csv,0,0.17408906068446692
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_20,persistencia_MRS_componente_22.csv,1,0.032665461882544995
MRS,resultados3m1_10,persistencia_MRS_componente_1.csv,resultados3m1_20,persistencia_MRS_componente_22.csv,2,0.004052190765499569
MRS,resultados3m1_10,persistencia_MRS_componente_2.csv,resultados3m1_20,persistencia_MRS_componente_12.csv,0,0.034732823812641554
MRS,resultados3m1_10,persistencia_MRS_componente_2.csv,resultados3m1_20,persistencia_MRS_componente_13.csv,0,0.038209883538163264
MRS,resultados3m1_10,persistencia_MRS_componente_2.csv,resultados3m1_20,persistencia_MRS_componente_22.csv,0,0.06383723129961073
MRS,resultados3m1_10,persistencia_MRS_componente_4.csv,resultados3m1_20,persistencia_MRS_componente_12.csv,0,0.03541510482830736
MRS,resultados3m1_10,persistencia_MRS_componente_4.csv,resultados3m1_20,persistencia_MRS_componente_12.csv,1,0.006488196976048124
MRS,resultados3m1_10,persistencia_MRS_componente_4.csv,resultados3m1_20,persistencia_MRS_componente_13.csv,0,0.009063580970014005
MRS,resultados3m1_10,persistencia_MRS_componente_4.csv,resultados3m1_20,persistencia_MRS_componente_13.csv,1,0.0006829714488908008
MRS,resultados3m1_10,persistencia_MRS_componente_4.csv,resultados3m1_20,persistencia_MRS_componente_22.csv,0,0.06798638724038812
