prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
MSC,resultados3m1_30,persistencia_MSC_componente_1.csv,resultados3m1_30,persistencia_MSC_componente_1.csv,0,0.0
MSC,resultados3m1_30,persistencia_MSC_componente_1.csv,resultados3m1_30,persistencia_MSC_componente_1.csv,1,0.0
MSC,resultados3m1_30,persistencia_MSC_componente_1.csv,resultados3m1_30,persistencia_MSC_componente_1.csv,2,0.0
MSC,resultados3m1_30,persistencia_MSC_componente_1.csv,resultados3m1_30,persistencia_MSC_componente_7.csv,0,0.003748306284176895
MSC,resultados3m1_30,persistencia_MSC_componente_1.csv,resultados3m1_30,persistencia_MSC_componente_7.csv,1,0.000357211421989835
MSC,resultados3m1_30,persistencia_MSC_componente_7.csv,resultados3m1_30,persistencia_MSC_componente_1.csv,0,0.003748306284176895
MSC,resultados3m1_30,persistencia_MSC_componente_7.csv,resultados3m1_30,persistencia_MSC_componente_1.csv,1,0.000357211421989835
MSC,resultados3m1_30,persistencia_MSC_componente_7.csv,resultados3m1_30,persistencia_MSC_componente_7.csv,0,0.0
MSC,resultados3m1_30,persistencia_MSC_componente_7.csv,resultados3m1_30,persistencia_MSC_componente_7.csv,1,0.0
MSC,resultados3m1_30,persistencia_MSC_componente_1.csv,resultados3m1_40,persistencia_MSC_componente_1.csv,0,0.00479615992227115
MSC,resultados3m1_30,persistencia_MSC_componente_1.csv,resultados3m1_40,persistencia_MSC_componente_1.csv,1,0.0007171122645722912
MSC,resultados3m1_30,persistencia_MSC_componente_1.csv,resultados3m1_40,persistencia_MSC_componente_1.csv,2,0.00010222524150130432
MSC,resultados3m1_30,persistencia_MSC_componente_7.csv,resultados3m1_40,persistencia_MSC_componente_1.csv,0,0.006606371924135062
MSC,resultados3m1_30,persistencia_MSC_componente_7.csv,resultados3m1_40,persistencia_MSC_componente_1.csv,1,0.0006877136031808589
MSC,resultados3m1_30,persistencia_MSC_componente_1.csv,resultados3m1_50,persistencia_MSC_componente_1.csv,0,0.00382232259235141
MSC,resultados3m1_30,persistencia_MSC_componente_1.csv,resultados3m1_50,persistencia_MSC_componente_1.csv,1,0.0006459489143887463
MSC,resultados3m1_30,persistencia_MSC_componente_1.csv,resultados3m1_50,persistencia_MSC_componente_1.csv,2,0.00015116216457830982
MSC,resultados3m1_30,persistencia_MSC_componente_1.csv,resultados3m1_50,persistencia_MSC_componente_6.csv,0,0.0042904778288670835
MSC,resultados3m1_30,persistencia_MSC_componente_1.csv,resultados3m1_50,persistencia_MSC_componente_6.csv,1,0.0003554574517435245
MSC,resultados3m1_30,persistencia_MSC_componente_1.csv,resultados3m1_50,persistencia_MSC_componente_6.csv,2,7.106335201775947e-05
MSC,resultados3m1_30,persistencia_MSC_componente_7.csv,resultados3m1_50,persistencia_MSC_componente_1.csv,0,0.005124470704375233
MSC,resultados3m1_30,persistencia_MSC_componente_7.csv,resultados3m1_50,persistencia_MSC_componente_1.csv,1,0.00062185207244167
MSC,resultados3m1_30,persistencia_MSC_componente_7.csv,resultados3m1_50,persistencia_MSC_componente_6.csv,0,0.0037247147541791706
MSC,resultados3m1_30,persistencia_MSC_componente_7.csv,resultados3m1_50,persistencia_MSC_componente_6.csv,1,0.0003083828789021855
MSC,resultados3m1_40,persistencia_MSC_componente_1.csv,resultados3m1_40,persistencia_MSC_componente_1.csv,0,0.0
MSC,resultados3m1_40,persistencia_MSC_componente_1.csv,resultados3m1_40,persistencia_MSC_componente_1.csv,1,0.0
MSC,resultados3m1_40,persistencia_MSC_componente_1.csv,resultados3m1_40,persistencia_MSC_componente_1.csv,2,0.0
MSC,resultados3m1_40,persistencia_MSC_componente_1.csv,resultados3m1_50,persistencia_MSC_componente_1.csv,0,0.0035261948329608794
