prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_10,persistencia_WVAL_componente_10.csv,0,0.0
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_10,persistencia_WVAL_componente_10.csv,1,0.0
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_10,persistencia_WVAL_componente_5.csv,0,0.08372380336559014
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_10,persistencia_WVAL_componente_5.csv,1,0.004492154271616231
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_10,persistencia_WVAL_componente_10.csv,0,0.08372380336559013
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_10,persistencia_WVAL_componente_10.csv,1,0.004492154271616231
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_10,persistencia_WVAL_componente_5.csv,0,0.0
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_10,persistencia_WVAL_componente_5.csv,1,0.0
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_60,persistencia_WVAL_componente_1.csv,0,0.07608210072020884
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_60,persistencia_WVAL_componente_1.csv,1,0.007892553452463914
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_60,persistencia_WVAL_componente_10.csv,0,0.11258617055393615
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_60,persistencia_WVAL_componente_10.csv,1,0.01463010423749605
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_60,persistencia_WVAL_componente_15.csv,0,0.14957441609446448
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_60,persistencia_WVAL_componente_15.csv,1,0.02500836959899626
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_60,persistencia_WVAL_componente_17.csv,0,0.0752036395395861
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_60,persistencia_WVAL_componente_17.csv,1,0.01380699822553766
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_60,persistencia_WVAL_componente_1.csv,0,0.04240972412077212
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_60,persistencia_WVAL_componente_1.csv,1,0.009065961063229865
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_60,persistencia_WVAL_componente_10.csv,0,0.06439505571082302
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_60,persistencia_WVAL_componente_10.csv,1,0.015295911218361588
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_60,persistencia_WVAL_componente_15.csv,0,0.12125990619326736
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_60,persistencia_WVAL_componente_15.csv,1,0.02540482729718902
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_60,persistencia_WVAL_componente_17.csv,0,0.04191134154378741
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_60,persistencia_WVAL_componente_17.csv,1,0.014519233795211098
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_70,persistencia_WVAL_componente_13.csv,0,0.14847689668766653
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_70,persistencia_WVAL_componente_13.csv,1,0.025364391378465998
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_70,persistencia_WVAL_componente_15.csv,0,0.08709927468125093
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_70,persistencia_WVAL_componente_15.csv,1,0.016290636881349973
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_70,persistencia_WVAL_componente_2.csv,0,0.07322397763028174
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_70,persistencia_WVAL_componente_2.csv,1,0.005703231540100752
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_70,persistencia_WVAL_componente_8.csv,0,0.10000425015968073
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_70,persistencia_WVAL_componente_8.csv,1,0.015213395413253415
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_70,persistencia_WVAL_componente_13.csv,0,0.11997532017044175
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_70,persistencia_WVAL_componente_13.csv,1,0.02575538002049281
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_70,persistencia_WVAL_componente_15.csv,0,0.04622712244992111
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_70,persistencia_WVAL_componente_15.csv,1,0.01689827801878049
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_70,persistencia_WVAL_componente_2.csv,0,0.046572307222210924
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_70,persistencia_WVAL_componente_2.csv,1,0.007240818323918916
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_70,persistencia_WVAL_componente_8.csv,0,0.05129245899740039
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_70,persistencia_WVAL_componente_8.csv,1,0.015854726424634393
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_80,persistencia_WVAL_componente_13.csv,0,0.14733033462257525
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_80,persistencia_WVAL_componente_13.csv,1,0.025595611928609954
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_80,persistencia_WVAL_componente_15.csv,0,0.08735533126260814
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_80,persistencia_WVAL_componente_15.csv,1,0.01567635002160898
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_80,persistencia_WVAL_componente_17.csv,0,0.08731894296199423
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_80,persistencia_WVAL_componente_17.csv,1,0.012273943946425689
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_80,persistencia_WVAL_componente_2.csv,0,0.07314556104098184
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_80,persistencia_WVAL_componente_2.csv,1,0.012902482319305849
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_80,persistencia_WVAL_componente_13.csv,0,0.12013373943235098
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_80,persistencia_WVAL_componente_13.csv,1,0.025982664413027393
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_80,persistencia_WVAL_componente_15.csv,0,0.046771551716828896
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_80,persistencia_WVAL_componente_15.csv,1,0.0163068651187161
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_80,persistencia_WVAL_componente_17.csv,0,0.020432972128400704
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_80,persistencia_WVAL_componente_17.csv,1,0.013060423040621608
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_80,persistencia_WVAL_componente_2.csv,0,0.049735339548453876
WVAL,resultados3m1_10,persistencia_WVAL_componente_5.csv,resultados3m1_80,persistencia_WVAL_componente_2.csv,1,0.013649289358790806
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_90,persistencia_WVAL_componente_2.csv,0,0.074426392832113
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_90,persistencia_WVAL_componente_2.csv,1,0.010041421712088383
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_90,persistencia_WVAL_componente_3.csv,0,0.15230566929697664
WVAL,resultados3m1_10,persistencia_WVAL_componente_10.csv,resultados3m1_90,persistencia_WVAL_componente_3.csv,1,0.02397408496689707
