prefijo,porcentaje_a,archivo_a,porcentaje_b,archivo_b,dimension,distancia
MIA,10,persistencia_MIA_componente_2.csv,10,persistencia_MIA_componente_2.csv,0,0.0
MIA,10,persistencia_MIA_componente_2.csv,10,persistencia_MIA_componente_2.csv,1,0.0
MIA,10,persistencia_MIA_componente_2.csv,10,persistencia_MIA_componente_1.csv,0,0.07991699
MIA,10,persistencia_MIA_componente_2.csv,10,persistencia_MIA_componente_1.csv,1,0.018512813
MIA,10,persistencia_MIA_componente_2.csv,20,persistencia_MIA_componente_16.csv,0,0.117323086
MIA,10,persistencia_MIA_componente_2.csv,20,persistencia_MIA_componente_16.csv,1,0.01718697
MIA,10,persistencia_MIA_componente_2.csv,20,persistencia_MIA_componente_18.csv,0,0.15540148
MIA,10,persistencia_MIA_componente_2.csv,20,persistencia_MIA_componente_18.csv,1,0.030563707
MIA,10,persistencia_MIA_componente_2.csv,20,persistencia_MIA_componente_2.csv,0,0.25882405
MIA,10,persistencia_MIA_componente_2.csv,20,persistencia_MIA_componente_2.csv,1,0.031657122
MIA,10,persistencia_MIA_componente_2.csv,20,persistencia_MIA_componente_17.csv,0,0.235441
MIA,10,persistencia_MIA_componente_2.csv,20,persistencia_MIA_componente_17.csv,1,0.036629833
MIA,10,persistencia_MIA_componente_2.csv,20,persistencia_MIA_componente_1.csv,0,0.15388492
MIA,10,persistencia_MIA_componente_2.csv,20,persistencia_MIA_componente_1.csv,1,0.020513758
MIA,10,persistencia_MIA_componente_2.csv,20,persistencia_MIA_componente_9.csv,0,0.13838236
MIA,10,persistencia_MIA_componente_2.csv,20,persistencia_MIA_componente_9.csv,1,0.018725956
MIA,10,persistencia_MIA_componente_2.csv,20,persistencia_MIA_componente_14.csv,0,0.18067878
MIA,10,persistencia_MIA_componente_2.csv,20,persistencia_MIA_componente_14.csv,1,0.026121361
MIA,10,persistencia_MIA_componente_2.csv,30,persistencia_MIA_componente_2.csv,0,0.7505949
MIA,10,persistencia_MIA_componente_2.csv,30,persistencia_MIA_componente_2.csv,1,0.09186956
MIA,10,persistencia_MIA_componente_2.csv,30,persistencia_MIA_componente_1.csv,0,0.15102679
MIA,10,persistencia_MIA_componente_2.csv,30,persistencia_MIA_componente_1.csv,1,0.022043938
MIA,10,persistencia_MIA_componente_2.csv,30,persistencia_MIA_componente_8.csv,0,0.24580072
MIA,10,persistencia_MIA_componente_2.csv,30,persistencia_MIA_componente_8.csv,1,0.037188485
MIA,10,persistencia_MIA_componente_2.csv,40,persistencia_MIA_componente_1.csv,0,0.9996839
MIA,10,persistencia_MIA_componente_2.csv,40,persistencia_MIA_componente_1.csv,1,0.20242192
MIA,10,persistencia_MIA_componente_2.csv,50,persistencia_MIA_componente_1.csv,0,1.5403944
MIA,10,persistencia_MIA_componente_2.csv,50,persistencia_MIA_componente_1.csv,1,0.31195465
MIA,10,persistencia_MIA_componente_2.csv,60,persistencia_MIA_componente_1.csv,0,1.4708025
MIA,10,persistencia_MIA_componente_2.csv,60,persistencia_MIA_componente_1.csv,1,0.3172126
MIA,10,persistencia_MIA_componente_2.csv,70,persistencia_MIA_componente_1.csv,0,1.5362872
MIA,10,persistencia_MIA_componente_2.csv,70,persistencia_MIA_componente_1.csv,1,0.3086691
MIA,10,persistencia_MIA_componente_2.csv,80,persistencia_MIA_componente_2.csv,0,0.17199777
MIA,10,persistencia_MIA_componente_2.csv,80,persistencia_MIA_componente_2.csv,1,0.018709116
MIA,10,persistencia_MIA_componente_2.csv,80,persistencia_MIA_componente_1.csv,0,1.5663244
MIA,10,persistencia_MIA_componente_2.csv,80,persistencia_MIA_componente_1.csv,1,0.3153424
MIA,10,persistencia_MIA_componente_2.csv,90,persistencia_MIA_componente_1.csv,0,1.5504806
MIA,10,persistencia_MIA_componente_2.csv,90,persistencia_MIA_componente_1.csv,1,0.30861464
MIA,10,persistencia_MIA_componente_2.csv,100,persistencia_MIA_componente_3.csv,0,1.5420351
MIA,10,persistencia_MIA_componente_2.csv,100,persistencia_MIA_componente_3.csv,1,0.31640062
MIA,10,persistencia_MIA_componente_1.csv,10,persistencia_MIA_componente_2.csv,0,0.07991699
MIA,10,persistencia_MIA_componente_1.csv,10,persistencia_MIA_componente_2.csv,1,0.018512813
MIA,10,persistencia_MIA_componente_1.csv,10,persistencia_MIA_componente_1.csv,0,0.0
MIA,10,persistencia_MIA_componente_1.csv,10,persistencia_MIA_componente_1.csv,1,0.0
MIA,10,persistencia_MIA_componente_1.csv,10,persistencia_MIA_componente_1.csv,2,0.0
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_16.csv,0,0.078656316
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_16.csv,1,0.011756354
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_16.csv,2,0.00040566453
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_18.csv,0,0.14243391
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_18.csv,1,0.027556693
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_18.csv,2,0.0031990272
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_2.csv,0,0.28966174
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_2.csv,1,0.03627225
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_2.csv,2,0.0013652385
