prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_1.csv,0,0.0
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_1.csv,1,0.0
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_1.csv,2,0.0
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_2.csv,0,0.1548227111892825
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_2.csv,1,0.029372646288681584
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_2.csv,2,0.0033671352809175954
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_3.csv,0,0.22885723508335926
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_3.csv,1,0.043351280257911656
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_3.csv,2,0.003570126048194934
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_6.csv,0,0.16359916274235634
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_6.csv,1,0.018923441811678973
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_6.csv,2,0.00012165525060596443
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_8.csv,0,0.28184475797857256
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_8.csv,1,0.03898665027929433
MCEFL,resultados5m_50,persistencia_MCEFL_componente_1.csv,resultados5m_50,persistencia_MCEFL_componente_8.csv,2,0.0016051479682571256
MCEFL,resultados5m_50,persistencia_MCEFL_componente_2.csv,resultados5m_50,persistencia_MCEFL_componente_1.csv,0,0.15482271118928256
MCEFL,resultados5m_50,persistencia_MCEFL_componente_2.csv,resultados5m_50,persistencia_MCEFL_componente_1.csv,1,0.029372646288681588
MCEFL,resultados5m_50,persistencia_MCEFL_componente_2.csv,resultados5m_50,persistencia_MCEFL_componente_1.csv,2,0.0033671352809175954
MCEFL,resultados5m_50,persistencia_MCEFL_componente_2.csv,resultados5m_50,persistencia_MCEFL_componente_2.csv,0,0.0
MCEFL,resultados5m_50,persistencia_MCEFL_componente_2.csv,resultados5m_50,persistencia_MCEFL_componente_2.csv,1,0.0
MCEFL,resultados5m_50,persistencia_MCEFL_componente_2.csv,resultados5m_50,persistencia_MCEFL_componente_2.csv,2,0.0
MCEFL,resultados5m_50,persistencia_MCEFL_componente_2.csv,resultados5m_50,persistencia_MCEFL_componente_3.csv,0,0.12515468808638372
MCEFL,resultados5m_50,persistencia_MCEFL_componente_2.csv,resultados5m_50,persistencia_MCEFL_componente_3.csv,1,0.02930939183947699
MCEFL,resultados5m_50,persistencia_MCEFL_componente_2.csv,resultados5m_50,persistencia_MCEFL_componente_3.csv,2,0.004904064640683275
