prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_10,persistencia_MIA_componente_1.csv,0,0.0
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_10,persistencia_MIA_componente_1.csv,1,0.0
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_10,persistencia_MIA_componente_1.csv,2,0.0
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_20,persistencia_MIA_componente_1.csv,0,0.12039135766324781
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_20,persistencia_MIA_componente_1.csv,1,0.04454462537725518
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_20,persistencia_MIA_componente_1.csv,2,0.00666656208251299
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_30,persistencia_MIA_componente_1.csv,0,0.23641606681865
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_30,persistencia_MIA_componente_1.csv,1,0.056889607574670306
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_30,persistencia_MIA_componente_1.csv,2,0.00839142121455001
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_40,persistencia_MIA_componente_1.csv,0,0.24548218876325717
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_40,persistencia_MIA_componente_1.csv,1,0.06443303151334712
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_40,persistencia_MIA_componente_1.csv,2,0.009127710556322433
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_50,persistencia_MIA_componente_1.csv,0,0.6345190993973296
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_50,persistencia_MIA_componente_1.csv,1,0.1644633256990749
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_50,persistencia_MIA_componente_1.csv,2,0.026569530481361545
MIA,resultados5m_10,persistencia_MIA_componente_1.csv,resultados5m_60,persistencia_MIA_componente_1.csv,0,0.6318990045489843
