prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_10,persistencia_MRS_componente_1.csv,0,0.0
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_10,persistencia_MRS_componente_1.csv,1,0.0
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_10,persistencia_MRS_componente_1.csv,2,0.0
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_10,persistencia_MRS_componente_5.csv,0,0.11186991954944817
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_10,persistencia_MRS_componente_5.csv,1,0.019186635974031512
MRS,resultados5m_10,persistencia_MRS_componente_5.csv,resultados5m_10,persistencia_MRS_componente_1.csv,0,0.11186991954944817
MRS,resultados5m_10,persistencia_MRS_componente_5.csv,resultados5m_10,persistencia_MRS_componente_1.csv,1,0.019186635974031512
MRS,resultados5m_10,persistencia_MRS_componente_5.csv,resultados5m_10,persistencia_MRS_componente_5.csv,0,0.0
MRS,resultados5m_10,persistencia_MRS_componente_5.csv,resultados5m_10,persistencia_MRS_componente_5.csv,1,0.0
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_20,persistencia_MRS_componente_1.csv,0,0.04517023411495672
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_20,persistencia_MRS_componente_1.csv,1,0.01658811773529474
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_20,persistencia_MRS_componente_1.csv,2,0.0038016115004034824
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_20,persistencia_MRS_componente_5.csv,0,0.10654959408650982
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_20,persistencia_MRS_componente_5.csv,1,0.017119808702202255
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_20,persistencia_MRS_componente_5.csv,2,0.0003332416540590346
MRS,resultados5m_10,persistencia_MRS_componente_5.csv,resultados5m_20,persistencia_MRS_componente_1.csv,0,0.12997162651902147
MRS,resultados5m_10,persistencia_MRS_componente_5.csv,resultados5m_20,persistencia_MRS_componente_1.csv,1,0.02633852881236915
MRS,resultados5m_10,persistencia_MRS_componente_5.csv,resultados5m_20,persistencia_MRS_componente_5.csv,0,0.022370618006662228
MRS,resultados5m_10,persistencia_MRS_componente_5.csv,resultados5m_20,persistencia_MRS_componente_5.csv,1,0.006011310173331604
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_30,persistencia_MRS_componente_1.csv,0,0.06073044129594331
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_30,persistencia_MRS_componente_1.csv,1,0.024059448248037622
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_30,persistencia_MRS_componente_1.csv,2,0.006084537780308378
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_30,persistencia_MRS_componente_6.csv,0,0.10554668540508509
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_30,persistencia_MRS_componente_6.csv,1,0.015241436940131336
MRS,resultados5m_10,persistencia_MRS_componente_1.csv,resultados5m_30,persistencia_MRS_componente_6.csv,2,0.00034387497728098984
MRS,resultados5m_10,persistencia_MRS_componente_5.csv,resultados5m_30,persistencia_MRS_componente_1.csv,0,0.13599118905282054
MRS,resultados5m_10,persistencia_MRS_componente_5.csv,resultados5m_30,persistencia_MRS_componente_1.csv,1,0.03388833648912263
MRS,resultados5m_10,persistencia_MRS_componente_5.csv,resultados5m_30,persistencia_MRS_componente_6.csv,0,0.025262291067913854
