prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_20,persistencia_MSC_componente_1.csv,0,0.0
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_20,persistencia_MSC_componente_1.csv,1,0.0
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_20,persistencia_MSC_componente_1.csv,2,0.0
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_20,persistencia_MSC_componente_2.csv,0,0.0007446475676452585
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_20,persistencia_MSC_componente_2.csv,1,0.0003242684073418193
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_20,persistencia_MSC_componente_2.csv,2,4.5825756949558476e-05
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_20,persistencia_MSC_componente_3.csv,0,0.002826932967015666
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_20,persistencia_MSC_componente_3.csv,1,0.0003859404099080583
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_20,persistencia_MSC_componente_3.csv,2,5.000000000000014e-05
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_20,persistencia_MSC_componente_1.csv,0,0.0007446475676452585
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_20,persistencia_MSC_componente_1.csv,1,0.0003242684073418193
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_20,persistencia_MSC_componente_1.csv,2,4.5825756949558476e-05
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_20,persistencia_MSC_componente_2.csv,0,0.0
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_20,persistencia_MSC_componente_2.csv,1,0.0
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_20,persistencia_MSC_componente_2.csv,2,0.0
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_20,persistencia_MSC_componente_3.csv,0,0.002739507254963929
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_20,persistencia_MSC_componente_3.csv,1,0.0002999166550893764
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_20,persistencia_MSC_componente_3.csv,2,4.5825756949558476e-05
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_20,persistencia_MSC_componente_1.csv,0,0.002826932967015666
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_20,persistencia_MSC_componente_1.csv,1,0.0003859404099080583
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_20,persistencia_MSC_componente_1.csv,2,5.000000000000014e-05
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_20,persistencia_MSC_componente_2.csv,0,0.002739507254963929
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_20,persistencia_MSC_componente_2.csv,1,0.0002999166550893764
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_20,persistencia_MSC_componente_2.csv,2,4.5825756949558476e-05
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_20,persistencia_MSC_componente_3.csv,0,0.0
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_20,persistencia_MSC_componente_3.csv,1,0.0
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_20,persistencia_MSC_componente_3.csv,2,0.0
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_30,persistencia_MSC_componente_1.csv,0,0.001023718711365578
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_30,persistencia_MSC_componente_1.csv,1,0.00023643180835073783
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_30,persistencia_MSC_componente_1.csv,2,0.0
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_30,persistencia_MSC_componente_3.csv,0,0.002740492656439714
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_30,persistencia_MSC_componente_3.csv,1,0.000398936085106374
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_30,persistencia_MSC_componente_3.csv,2,5.049752469181053e-05
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_30,persistencia_MSC_componente_4.csv,0,0.0018601881625255011
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_30,persistencia_MSC_componente_4.csv,1,0.0003704726710568541
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_30,persistencia_MSC_componente_4.csv,2,4.527692569068711e-05
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_30,persistencia_MSC_componente_1.csv,0,0.0012137956994486346
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_30,persistencia_MSC_componente_1.csv,1,0.0002914618328357934
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_30,persistencia_MSC_componente_1.csv,2,4.5825756949558476e-05
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_30,persistencia_MSC_componente_3.csv,0,0.0026543078193758916
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_30,persistencia_MSC_componente_3.csv,1,0.00033756480859236494
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_30,persistencia_MSC_componente_3.csv,2,4.63680924774786e-05
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_30,persistencia_MSC_componente_4.csv,0,0.0015376768191008147
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_30,persistencia_MSC_componente_4.csv,1,0.0002591331703969988
MSC,resultados5m_20,persistencia_MSC_componente_2.csv,resultados5m_30,persistencia_MSC_componente_4.csv,2,4.062019202317975e-05
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_30,persistencia_MSC_componente_1.csv,0,0.0029733314648723573
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_30,persistencia_MSC_componente_1.csv,1,0.00037788887255382373
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_30,persistencia_MSC_componente_1.csv,2,5.000000000000014e-05
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_30,persistencia_MSC_componente_3.csv,0,0.0009577577981932589
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_30,persistencia_MSC_componente_3.csv,1,0.0001804161855266872
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_30,persistencia_MSC_componente_3.csv,2,7.071067811865494e-06
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_30,persistencia_MSC_componente_4.csv,0,0.0035703921353263147
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_30,persistencia_MSC_componente_4.csv,1,0.00025622255950637923
MSC,resultados5m_20,persistencia_MSC_componente_3.csv,resultados5m_30,persistencia_MSC_componente_4.csv,2,4.527692569068711e-05
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_40,persistencia_MSC_componente_1.csv,0,0.010443545853779745
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_40,persistencia_MSC_componente_1.csv,1,0.0003277956680616754
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_40,persistencia_MSC_componente_1.csv,2,2.6457513110645896e-05
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_40,persistencia_MSC_componente_2.csv,0,0.002381365154695936
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_40,persistencia_MSC_componente_2.csv,1,0.00042696604080418396
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_40,persistencia_MSC_componente_2.csv,2,3.605551275463999e-05
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_40,persistencia_MSC_componente_4.csv,0,0.0019420092687729377
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_40,persistencia_MSC_componente_4.csv,1,0.0004806766064621827
MSC,resultados5m_20,persistencia_MSC_componente_1.csv,resultados5m_40,persistencia_MSC_componente_4.csv,2,4.301162633521325e-05
