prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_50,persistencia_MSFC_componente_1.csv,0,0.0
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_50,persistencia_MSFC_componente_1.csv,1,0.0
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_50,persistencia_MSFC_componente_1.csv,2,0.0
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_60,persistencia_MSFC_componente_1.csv,0,0.006084155652183659
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_60,persistencia_MSFC_componente_1.csv,1,0.009377771590308647
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_60,persistencia_MSFC_componente_1.csv,2,0.005046097502030652
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_70,persistencia_MSFC_componente_1.csv,0,0.0095771994862797
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_70,persistencia_MSFC_componente_1.csv,1,0.009205935585262367
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_70,persistencia_MSFC_componente_1.csv,2,0.0053287709652414215
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_80,persistencia_MSFC_componente_1.csv,0,0.012180002052545068
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_80,persistencia_MSFC_componente_1.csv,1,0.00942451325003047
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_80,persistencia_MSFC_componente_1.csv,2,0.004647025930635635
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,0,0.05670031922308727
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,1,0.021591794737816503
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,2,0.0057139478471543645
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,0,0.05430669756116647
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,1,0.021298683057879422
MSFC,resultados5m_50,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,2,0.007194949617613739
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_60,persistencia_MSFC_componente_1.csv,0,0.0
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_60,persistencia_MSFC_componente_1.csv,1,0.0
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_60,persistencia_MSFC_componente_1.csv,2,0.0
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_70,persistencia_MSFC_componente_1.csv,0,0.005604248388499483
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_70,persistencia_MSFC_componente_1.csv,1,0.008151438523352794
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_70,persistencia_MSFC_componente_1.csv,2,0.004643586975604103
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_80,persistencia_MSFC_componente_1.csv,0,0.008568669675042797
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_80,persistencia_MSFC_componente_1.csv,1,0.008727273342803002
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_80,persistencia_MSFC_componente_1.csv,2,0.0062792993239691956
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,0,0.05701049245533669
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,1,0.020837648619745863
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,2,0.006385632310116202
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,0,0.05460770824709639
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,1,0.02060291484232268
MSFC,resultados5m_60,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,2,0.007761897319599123
MSFC,resultados5m_70,persistencia_MSFC_componente_1.csv,resultados5m_70,persistencia_MSFC_componente_1.csv,0,0.0
MSFC,resultados5m_70,persistencia_MSFC_componente_1.csv,resultados5m_70,persistencia_MSFC_componente_1.csv,1,0.0
MSFC,resultados5m_70,persistencia_MSFC_componente_1.csv,resultados5m_70,persistencia_MSFC_componente_1.csv,2,0.0
MSFC,resultados5m_70,persistencia_MSFC_componente_1.csv,resultados5m_80,persistencia_MSFC_componente_1.csv,0,0.005069837275495196
MSFC,resultados5m_70,persistencia_MSFC_componente_1.csv,resultados5m_80,persistencia_MSFC_componente_1.csv,1,0.008436400298705604
MSFC,resultados5m_70,persistencia_MSFC_componente_1.csv,resultados5m_80,persistencia_MSFC_componente_1.csv,2,0.006267012845048269
MSFC,resultados5m_70,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,0,0.057356867069253255
MSFC,resultados5m_70,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,1,0.020505277369496856
MSFC,resultados5m_70,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,2,0.006560026676775026
MSFC,resultados5m_70,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,0,0.0547803952158069
MSFC,resultados5m_70,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,1,0.020218677009141827
MSFC,resultados5m_70,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,2,0.007995714477143371
MSFC,resultados5m_80,persistencia_MSFC_componente_1.csv,resultados5m_80,persistencia_MSFC_componente_1.csv,0,0.0
MSFC,resultados5m_80,persistencia_MSFC_componente_1.csv,resultados5m_80,persistencia_MSFC_componente_1.csv,1,0.0
MSFC,resultados5m_80,persistencia_MSFC_componente_1.csv,resultados5m_80,persistencia_MSFC_componente_1.csv,2,0.0
MSFC,resultados5m_80,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,0,0.057210669896445014
MSFC,resultados5m_80,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,1,0.02104054181811863
MSFC,resultados5m_80,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,2,0.007548672068648901
MSFC,resultados5m_80,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,0,0.05468959133144073
MSFC,resultados5m_80,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,1,0.0200815985419488
MSFC,resultados5m_80,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,2,0.008142376802875193
MSFC,resultados5m_90,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,0,0.0
MSFC,resultados5m_90,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,1,0.0
MSFC,resultados5m_90,persistencia_MSFC_componente_1.csv,resultados5m_90,persistencia_MSFC_componente_1.csv,2,0.0
MSFC,resultados5m_90,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,0,0.018404726295166658
MSFC,resultados5m_90,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,1,0.01596516363837215
MSFC,resultados5m_90,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,2,0.007993259660488958
MSFC,resultados5m_100,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,0,0.0
MSFC,resultados5m_100,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,1,0.0
MSFC,resultados5m_100,persistencia_MSFC_componente_1.csv,resultados5m_100,persistencia_MSFC_componente_1.csv,2,0.0
