prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_20,persistencia_MVIV_componente_1.csv,0,0.0
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_20,persistencia_MVIV_componente_1.csv,1,0.0
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_20,persistencia_MVIV_componente_1.csv,2,0.0
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_30,persistencia_MVIV_componente_1.csv,0,0.006148377834843927
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_30,persistencia_MVIV_componente_1.csv,1,0.003730214471045864
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_30,persistencia_MVIV_componente_1.csv,2,0.0005024440267333268
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_40,persistencia_MVIV_componente_1.csv,0,0.008255470913279264
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_40,persistencia_MVIV_componente_1.csv,1,0.0059835315658898275
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_40,persistencia_MVIV_componente_1.csv,2,0.0001905255888325765
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_50,persistencia_MVIV_componente_4.csv,0,0.1439780052646928
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_50,persistencia_MVIV_componente_4.csv,1,0.030245243427686266
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_50,persistencia_MVIV_componente_4.csv,2,0.005286066590575644
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_60,persistencia_MVIV_componente_4.csv,0,0.14387808815104502
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_60,persistencia_MVIV_componente_4.csv,1,0.03099626429103997
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_60,persistencia_MVIV_componente_4.csv,2,0.005317842607674655
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_70,persistencia_MVIV_componente_4.csv,0,0.14402991720472483
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_70,persistencia_MVIV_componente_4.csv,1,0.031019958091525524
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_70,persistencia_MVIV_componente_4.csv,2,0.004997369307945931
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_80,persistencia_MVIV_componente_4.csv,0,0.14370385850769604
MVIV,resultados5m_20,persistencia_MVIV_componente_1.csv,resultados5m_80,persistencia_MVIV_componente_4.csv,1,0.029713817492876934
