prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_40,persistencia_WIDS_componente_6.csv,0,0.0
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_40,persistencia_WIDS_componente_6.csv,1,0.0
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_40,persistencia_WIDS_componente_6.csv,2,0.0
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_50,persistencia_WIDS_componente_1.csv,0,0.015970947060209056
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_50,persistencia_WIDS_componente_1.csv,1,0.0029244657631779516
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_50,persistencia_WIDS_componente_1.csv,2,7.648529270389177e-05
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_50,persistencia_WIDS_componente_2.csv,0,0.04000929392028806
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_50,persistencia_WIDS_componente_2.csv,1,0.005667221541461035
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_50,persistencia_WIDS_componente_4.csv,0,0.0845925977849127
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_50,persistencia_WIDS_componente_4.csv,1,0.013495827132858495
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_50,persistencia_WIDS_componente_4.csv,2,0.002371539584320702
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_50,persistencia_WIDS_componente_5.csv,0,0.08480311580360717
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_50,persistencia_WIDS_componente_5.csv,1,0.013444504453493265
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_50,persistencia_WIDS_componente_5.csv,2,0.0007107038764492547
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_60,persistencia_WIDS_componente_1.csv,0,0.016136469564313017
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_60,persistencia_WIDS_componente_1.csv,1,0.003118637523021873
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_60,persistencia_WIDS_componente_1.csv,2,9.327379053088815e-05
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_60,persistencia_WIDS_componente_2.csv,0,0.04075012883415216
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_60,persistencia_WIDS_componente_2.csv,1,0.002900068964697222
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_60,persistencia_WIDS_componente_4.csv,0,0.08469235532207152
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_60,persistencia_WIDS_componente_4.csv,1,0.01312724647441342
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_60,persistencia_WIDS_componente_4.csv,2,0.0023745315327449302
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_60,persistencia_WIDS_componente_5.csv,0,0.08504390072192128
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_60,persistencia_WIDS_componente_5.csv,1,0.013909690866442719
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_60,persistencia_WIDS_componente_5.csv,2,0.0003911521443121592
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_70,persistencia_WIDS_componente_1.csv,0,0.016102847574264608
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_70,persistencia_WIDS_componente_1.csv,1,0.0032795045357492643
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_70,persistencia_WIDS_componente_1.csv,2,0.00013247641299491796
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_70,persistencia_WIDS_componente_2.csv,0,0.040493522321477536
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_70,persistencia_WIDS_componente_2.csv,1,0.004994136562009495
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_70,persistencia_WIDS_componente_4.csv,0,0.08492504224314532
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_70,persistencia_WIDS_componente_4.csv,1,0.013956249496193437
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_70,persistencia_WIDS_componente_4.csv,2,0.002355801349859535
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_70,persistencia_WIDS_componente_5.csv,0,0.08523463820536814
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_70,persistencia_WIDS_componente_5.csv,1,0.012478114841593661
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_70,persistencia_WIDS_componente_5.csv,2,0.00037215588131856765
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_80,persistencia_WIDS_componente_1.csv,0,0.08487234384650878
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_80,persistencia_WIDS_componente_1.csv,1,0.014309753666642888
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_80,persistencia_WIDS_componente_1.csv,2,0.0023209265391218236
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_80,persistencia_WIDS_componente_2.csv,0,0.08551190969683697
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_80,persistencia_WIDS_componente_2.csv,1,0.011239250419845623
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_80,persistencia_WIDS_componente_2.csv,2,0.0006044005294504603
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_80,persistencia_WIDS_componente_3.csv,0,0.04057765518114618
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_80,persistencia_WIDS_componente_3.csv,1,0.005032812335066745
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_80,persistencia_WIDS_componente_4.csv,0,0.01635923897985476
WIDS,resultados5m_40,persistencia_WIDS_componente_6.csv,resultados5m_80,persistencia_WIDS_componente_4.csv,1,0.0034743272730127176
