prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WIDSL,resultados5m_50,persistencia_WIDSL_componente_1.csv,resultados5m_50,persistencia_WIDSL_componente_1.csv,0,0.0
WIDSL,resultados5m_50,persistencia_WIDSL_componente_1.csv,resultados5m_50,persistencia_WIDSL_componente_1.csv,1,0.0
WIDSL,resultados5m_50,persistencia_WIDSL_componente_1.csv,resultados5m_50,persistencia_WIDSL_componente_1.csv,2,0.0
WIDSL,resultados5m_50,persistencia_WIDSL_componente_1.csv,resultados5m_50,persistencia_WIDSL_componente_11.csv,0,0.01794727138035195
WIDSL,resultados5m_50,persistencia_WIDSL_componente_1.csv,resultados5m_50,persistencia_WIDSL_componente_11.csv,1,0.003019039582383774
WIDSL,resultados5m_50,persistencia_WIDSL_componente_1.csv,resultados5m_50,persistencia_WIDSL_componente_11.csv,2,0.0001274754878398201
WIDSL,resultados5m_50,persistencia_WIDSL_componente_1.csv,resultados5m_50,persistencia_WIDSL_componente_3.csv,0,0.02835024603067846
WIDSL,resultados5m_50,persistencia_WIDSL_componente_1.csv,resultados5m_50,persistencia_WIDSL_componente_3.csv,1,0.0036017842800478757
WIDSL,resultados5m_50,persistencia_WIDSL_componente_11.csv,resultados5m_50,persistencia_WIDSL_componente_1.csv,0,0.01794727138035195
WIDSL,resultados5m_50,persistencia_WIDSL_componente_11.csv,resultados5m_50,persistencia_WIDSL_componente_1.csv,1,0.003019039582383774
WIDSL,resultados5m_50,persistencia_WIDSL_componente_11.csv,resultados5m_50,persistencia_WIDSL_componente_1.csv,2,0.00012747548783982013
WIDSL,resultados5m_50,persistencia_WIDSL_componente_11.csv,resultados5m_50,persistencia_WIDSL_componente_11.csv,0,0.0
WIDSL,resultados5m_50,persistencia_WIDSL_componente_11.csv,resultados5m_50,persistencia_WIDSL_componente_11.csv,1,0.0
WIDSL,resultados5m_50,persistencia_WIDSL_componente_11.csv,resultados5m_50,persistencia_WIDSL_componente_11.csv,2,0.0
WIDSL,resultados5m_50,persistencia_WIDSL_componente_11.csv,resultados5m_50,persistencia_WIDSL_componente_3.csv,0,0.030008431315215398
WIDSL,resultados5m_50,persistencia_WIDSL_componente_11.csv,resultados5m_50,persistencia_WIDSL_componente_3.csv,1,0.004565709145357378
WIDSL,resultados5m_50,persistencia_WIDSL_componente_3.csv,resultados5m_50,persistencia_WIDSL_componente_1.csv,0,0.028350246030678462
WIDSL,resultados5m_50,persistencia_WIDSL_componente_3.csv,resultados5m_50,persistencia_WIDSL_componente_1.csv,1,0.003601784280047876
WIDSL,resultados5m_50,persistencia_WIDSL_componente_3.csv,resultados5m_50,persistencia_WIDSL_componente_11.csv,0,0.030008431315215398
WIDSL,resultados5m_50,persistencia_WIDSL_componente_3.csv,resultados5m_50,persistencia_WIDSL_componente_11.csv,1,0.004565709145357377
