prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_10,persistencia_WLEC_componente_13.csv,0,0.0
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_10,persistencia_WLEC_componente_13.csv,1,0.0
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_10,persistencia_WLEC_componente_13.csv,2,0.0
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_10,persistencia_WLEC_componente_15.csv,0,0.013589587926055736
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_10,persistencia_WLEC_componente_15.csv,1,0.008784207420137576
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_10,persistencia_WLEC_componente_15.csv,2,6.708203932499372e-05
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_10,persistencia_WLEC_componente_7.csv,0,0.0358472404795683
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_10,persistencia_WLEC_componente_7.csv,1,0.007608620111426251
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_10,persistencia_WLEC_componente_7.csv,2,5.9999999999999676e-05
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_10,persistencia_WLEC_componente_13.csv,0,0.013589587926055736
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_10,persistencia_WLEC_componente_13.csv,1,0.008784207420137576
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_10,persistencia_WLEC_componente_13.csv,2,6.708203932499372e-05
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_10,persistencia_WLEC_componente_15.csv,0,0.0
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_10,persistencia_WLEC_componente_15.csv,1,0.0
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_10,persistencia_WLEC_componente_15.csv,2,0.0
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_10,persistencia_WLEC_componente_7.csv,0,0.04293323654233396
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_10,persistencia_WLEC_componente_7.csv,1,0.010708466276736366
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_10,persistencia_WLEC_componente_7.csv,2,8.99999999999998e-05
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_10,persistencia_WLEC_componente_13.csv,0,0.035847240479568214
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_10,persistencia_WLEC_componente_13.csv,1,0.00760862011142625
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_10,persistencia_WLEC_componente_13.csv,2,5.9999999999999676e-05
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_10,persistencia_WLEC_componente_15.csv,0,0.04293323654233394
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_10,persistencia_WLEC_componente_15.csv,1,0.010708466276736366
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_10,persistencia_WLEC_componente_15.csv,2,8.99999999999998e-05
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_10,persistencia_WLEC_componente_7.csv,0,0.0
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_10,persistencia_WLEC_componente_7.csv,1,0.0
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_10,persistencia_WLEC_componente_7.csv,2,0.0
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_20,persistencia_WLEC_componente_1.csv,0,0.2429155976877568
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_20,persistencia_WLEC_componente_1.csv,1,0.054638504280406494
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_20,persistencia_WLEC_componente_1.csv,2,0.0071772557429702925
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_20,persistencia_WLEC_componente_1.csv,0,0.24136720707254328
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_20,persistencia_WLEC_componente_1.csv,1,0.05441236072805515
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_20,persistencia_WLEC_componente_1.csv,2,0.007176294308346059
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_20,persistencia_WLEC_componente_1.csv,0,0.25158153350355433
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_20,persistencia_WLEC_componente_1.csv,1,0.055942525416716744
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_20,persistencia_WLEC_componente_1.csv,2,0.007176646152625894
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_30,persistencia_WLEC_componente_1.csv,0,0.25386902784703796
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_30,persistencia_WLEC_componente_1.csv,1,0.060963321759891
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_30,persistencia_WLEC_componente_1.csv,2,0.009591021843369973
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_30,persistencia_WLEC_componente_1.csv,0,0.2523813231005816
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_30,persistencia_WLEC_componente_1.csv,1,0.060649759686251
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_30,persistencia_WLEC_componente_1.csv,2,0.009590576103655086
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_30,persistencia_WLEC_componente_1.csv,0,0.2621975200111548
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_30,persistencia_WLEC_componente_1.csv,1,0.0621990502339063
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_30,persistencia_WLEC_componente_1.csv,2,0.009590430125911974
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_40,persistencia_WLEC_componente_1.csv,0,0.26017814973590697
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_40,persistencia_WLEC_componente_1.csv,1,0.06463775522092331
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_40,persistencia_WLEC_componente_1.csv,2,0.009410217850825771
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_40,persistencia_WLEC_componente_1.csv,0,0.25873043462260104
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_40,persistencia_WLEC_componente_1.csv,1,0.06419683481294076
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_40,persistencia_WLEC_componente_1.csv,2,0.009409380957321262
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_40,persistencia_WLEC_componente_1.csv,0,0.2683269978962235
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_40,persistencia_WLEC_componente_1.csv,1,0.06601198262436903
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_40,persistencia_WLEC_componente_1.csv,2,0.009409487233638186
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_50,persistencia_WLEC_componente_1.csv,0,0.4838198243664686
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_50,persistencia_WLEC_componente_1.csv,1,0.10658597163792244
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_50,persistencia_WLEC_componente_1.csv,2,0.02620136351413796
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_50,persistencia_WLEC_componente_1.csv,0,0.48301344660371487
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_50,persistencia_WLEC_componente_1.csv,1,0.10602974040334158
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_50,persistencia_WLEC_componente_1.csv,2,0.026201079176247685
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_50,persistencia_WLEC_componente_1.csv,0,0.4881687183751129
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_50,persistencia_WLEC_componente_1.csv,1,0.10787451969765618
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_50,persistencia_WLEC_componente_1.csv,2,0.026201168867056295
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_60,persistencia_WLEC_componente_1.csv,0,0.4837803770824116
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_60,persistencia_WLEC_componente_1.csv,1,0.10542276461941226
WLEC,resultados5m_10,persistencia_WLEC_componente_13.csv,resultados5m_60,persistencia_WLEC_componente_1.csv,2,0.025543311257548416
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_60,persistencia_WLEC_componente_1.csv,0,0.48297140759055257
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_60,persistencia_WLEC_componente_1.csv,1,0.10481239263560395
WLEC,resultados5m_10,persistencia_WLEC_componente_15.csv,resultados5m_60,persistencia_WLEC_componente_1.csv,2,0.025542999040833084
WLEC,resultados5m_10,persistencia_WLEC_componente_7.csv,resultados5m_60,persistencia_WLEC_componente_1.csv,0,0.48813076921046494
