prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_50,persistencia_WSUT_componente_4.csv,0,0.0
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_50,persistencia_WSUT_componente_4.csv,1,0.0
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_50,persistencia_WSUT_componente_4.csv,2,0.0
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_50,persistencia_WSUT_componente_5.csv,0,0.045173115898728966
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_50,persistencia_WSUT_componente_5.csv,1,0.00987912445513265
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_50,persistencia_WSUT_componente_5.csv,2,0.0008175879157619681
WSUT,resultados5m_50,persistencia_WSUT_componente_5.csv,resultados5m_50,persistencia_WSUT_componente_4.csv,0,0.04517311589872898
WSUT,resultados5m_50,persistencia_WSUT_componente_5.csv,resultados5m_50,persistencia_WSUT_componente_4.csv,1,0.009879124455132645
WSUT,resultados5m_50,persistencia_WSUT_componente_5.csv,resultados5m_50,persistencia_WSUT_componente_4.csv,2,0.0008175879157619681
WSUT,resultados5m_50,persistencia_WSUT_componente_5.csv,resultados5m_50,persistencia_WSUT_componente_5.csv,0,0.0
WSUT,resultados5m_50,persistencia_WSUT_componente_5.csv,resultados5m_50,persistencia_WSUT_componente_5.csv,1,0.0
WSUT,resultados5m_50,persistencia_WSUT_componente_5.csv,resultados5m_50,persistencia_WSUT_componente_5.csv,2,0.0
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_60,persistencia_WSUT_componente_4.csv,0,0.002406750921886179
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_60,persistencia_WSUT_componente_4.csv,1,0.001381394223239696
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_60,persistencia_WSUT_componente_4.csv,2,0.00019209372712298525
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_60,persistencia_WSUT_componente_5.csv,0,0.045115209187146635
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_60,persistencia_WSUT_componente_5.csv,1,0.009996927027842105
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_60,persistencia_WSUT_componente_5.csv,2,0.0008176490689776385
WSUT,resultados5m_50,persistencia_WSUT_componente_5.csv,resultados5m_60,persistencia_WSUT_componente_4.csv,0,0.04506363223265521
WSUT,resultados5m_50,persistencia_WSUT_componente_5.csv,resultados5m_60,persistencia_WSUT_componente_4.csv,1,0.010403770950958116
WSUT,resultados5m_50,persistencia_WSUT_componente_5.csv,resultados5m_60,persistencia_WSUT_componente_4.csv,2,0.0008368392916205568
WSUT,resultados5m_50,persistencia_WSUT_componente_5.csv,resultados5m_60,persistencia_WSUT_componente_5.csv,0,0.0010260116958397696
WSUT,resultados5m_50,persistencia_WSUT_componente_5.csv,resultados5m_60,persistencia_WSUT_componente_5.csv,1,0.001096722389668417
WSUT,resultados5m_50,persistencia_WSUT_componente_5.csv,resultados5m_60,persistencia_WSUT_componente_5.csv,2,1.4142135623730836e-05
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_70,persistencia_WSUT_componente_4.csv,0,0.0038907968335548013
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_70,persistencia_WSUT_componente_4.csv,1,0.001827894964159594
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_70,persistencia_WSUT_componente_4.csv,2,0.00023140872930812396
WSUT,resultados5m_50,persistencia_WSUT_componente_4.csv,resultados5m_70,persistencia_WSUT_componente_5.csv,0,0.044995992043736506
