prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_50,persistencia_WVAE_componente_1.csv,0,0.0
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_50,persistencia_WVAE_componente_1.csv,1,0.0
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_50,persistencia_WVAE_componente_1.csv,2,0.0
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_50,persistencia_WVAE_componente_3.csv,0,0.13613715253375913
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_50,persistencia_WVAE_componente_3.csv,1,0.024379149903144694
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_50,persistencia_WVAE_componente_3.csv,2,0.004090030562233005
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_50,persistencia_WVAE_componente_6.csv,0,0.13033132911928738
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_50,persistencia_WVAE_componente_6.csv,1,0.025555805602641448
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_50,persistencia_WVAE_componente_1.csv,0,0.13613715253375794
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_50,persistencia_WVAE_componente_1.csv,1,0.024379149903144708
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_50,persistencia_WVAE_componente_1.csv,2,0.004090030562233004
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_50,persistencia_WVAE_componente_3.csv,0,0.0
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_50,persistencia_WVAE_componente_3.csv,1,0.0
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_50,persistencia_WVAE_componente_3.csv,2,0.0
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_50,persistencia_WVAE_componente_6.csv,0,0.03487215149657388
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_50,persistencia_WVAE_componente_6.csv,1,0.00812959101062286
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_50,persistencia_WVAE_componente_1.csv,0,0.13033132911928735
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_50,persistencia_WVAE_componente_1.csv,1,0.025555805602641445
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_50,persistencia_WVAE_componente_3.csv,0,0.03487215149657388
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_50,persistencia_WVAE_componente_3.csv,1,0.00812959101062286
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_50,persistencia_WVAE_componente_6.csv,0,0.0
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_50,persistencia_WVAE_componente_6.csv,1,0.0
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_60,persistencia_WVAE_componente_1.csv,0,0.003909303006931045
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_60,persistencia_WVAE_componente_1.csv,1,0.006664502982218549
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_60,persistencia_WVAE_componente_1.csv,2,0.003283854442572021
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_60,persistencia_WVAE_componente_3.csv,0,0.13621386419891332
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_60,persistencia_WVAE_componente_3.csv,1,0.02504646781484367
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_60,persistencia_WVAE_componente_3.csv,2,0.004087193413578568
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_60,persistencia_WVAE_componente_6.csv,0,0.13038367382460123
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_60,persistencia_WVAE_componente_6.csv,1,0.02577447671631764
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_60,persistencia_WVAE_componente_1.csv,0,0.1359427738057442
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_60,persistencia_WVAE_componente_1.csv,1,0.024280288301418516
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_60,persistencia_WVAE_componente_1.csv,2,0.002717692035533092
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_60,persistencia_WVAE_componente_3.csv,0,0.003581361472959715
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_60,persistencia_WVAE_componente_3.csv,1,0.0029197431393874376
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_60,persistencia_WVAE_componente_3.csv,2,0.0003492134018046851
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_60,persistencia_WVAE_componente_6.csv,0,0.03478485949375102
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_60,persistencia_WVAE_componente_6.csv,1,0.008063147648406297
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_60,persistencia_WVAE_componente_1.csv,0,0.13008461361744514
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_60,persistencia_WVAE_componente_1.csv,1,0.025372264384559765
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_60,persistencia_WVAE_componente_3.csv,0,0.036350101788028055
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_60,persistencia_WVAE_componente_3.csv,1,0.00803916040392279
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_60,persistencia_WVAE_componente_6.csv,0,0.0012615466697669204
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_60,persistencia_WVAE_componente_6.csv,1,0.002366769950797922
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_70,persistencia_WVAE_componente_1.csv,0,0.006008177760353028
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_70,persistencia_WVAE_componente_1.csv,1,0.008428617917547338
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_70,persistencia_WVAE_componente_1.csv,2,0.00535496498587993
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_70,persistencia_WVAE_componente_3.csv,0,0.13256935185026744
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_70,persistencia_WVAE_componente_3.csv,1,0.023819316740830328
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_70,persistencia_WVAE_componente_3.csv,2,0.004087853960209443
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_70,persistencia_WVAE_componente_6.csv,0,0.13033302152562876
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_70,persistencia_WVAE_componente_6.csv,1,0.025809380077793424
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_70,persistencia_WVAE_componente_1.csv,0,0.13621259559967183
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_70,persistencia_WVAE_componente_1.csv,1,0.02400600862284273
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_70,persistencia_WVAE_componente_1.csv,2,0.005684390908443933
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_70,persistencia_WVAE_componente_3.csv,0,0.013775196913293125
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_70,persistencia_WVAE_componente_3.csv,1,0.005846114093994404
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_70,persistencia_WVAE_componente_3.csv,2,0.00038548670534792795
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_70,persistencia_WVAE_componente_6.csv,0,0.03511467997860725
WVAE,resultados5m_50,persistencia_WVAE_componente_3.csv,resultados5m_70,persistencia_WVAE_componente_6.csv,1,0.008071474462574977
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_70,persistencia_WVAE_componente_1.csv,0,0.13026468880705927
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_70,persistencia_WVAE_componente_1.csv,1,0.024747739290690778
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_70,persistencia_WVAE_componente_3.csv,0,0.03692374710128971
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_70,persistencia_WVAE_componente_3.csv,1,0.008902457525874527
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_70,persistencia_WVAE_componente_6.csv,0,0.000609754048777048
WVAE,resultados5m_50,persistencia_WVAE_componente_6.csv,resultados5m_70,persistencia_WVAE_componente_6.csv,1,0.0023939402665897913
WVAE,resultados5m_50,persistencia_WVAE_componente_1.csv,resultados5m_80,persistencia_WVAE_componente_1.csv,0,0.007952823398014015
