prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_30,persistencia_WVAL_componente_7.csv,0,0.0
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_30,persistencia_WVAL_componente_7.csv,1,0.0
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_30,persistencia_WVAL_componente_7.csv,2,0.0
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_40,persistencia_WVAL_componente_6.csv,0,0.002705365040063908
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_40,persistencia_WVAL_componente_6.csv,1,0.0012129097245879446
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_40,persistencia_WVAL_componente_6.csv,2,0.00013711309200802084
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_50,persistencia_WVAL_componente_1.csv,0,0.07148786960037348
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_50,persistencia_WVAL_componente_1.csv,1,0.012794029857710967
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_50,persistencia_WVAL_componente_1.csv,2,0.0002042057785666212
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_50,persistencia_WVAL_componente_2.csv,0,0.07126091565507703
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_50,persistencia_WVAL_componente_2.csv,1,0.007404025931883277
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_50,persistencia_WVAL_componente_2.csv,2,0.0004156921938165299
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_50,persistencia_WVAL_componente_5.csv,0,0.02321911927700964
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_50,persistencia_WVAL_componente_5.csv,1,0.003457282169566147
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_50,persistencia_WVAL_componente_5.csv,2,0.0002095232683975696
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_50,persistencia_WVAL_componente_6.csv,0,0.034549295940727955
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_50,persistencia_WVAL_componente_6.csv,1,0.0014507928866657708
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_60,persistencia_WVAL_componente_1.csv,0,0.07146132310557929
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_60,persistencia_WVAL_componente_1.csv,1,0.011794443607054962
WVAL,resultados5m_30,persistencia_WVAL_componente_7.csv,resultados5m_60,persistencia_WVAL_componente_1.csv,2,0.0007180181056213007
