prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_40,persistencia_WVIV_componente_10.csv,0,0.0
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_40,persistencia_WVIV_componente_10.csv,1,0.0
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_40,persistencia_WVIV_componente_10.csv,2,0.0
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_50,persistencia_WVIV_componente_1.csv,0,0.14136280044622707
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_50,persistencia_WVIV_componente_1.csv,1,0.028541760632448693
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_50,persistencia_WVIV_componente_1.csv,2,0.0022504110735596704
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_50,persistencia_WVIV_componente_2.csv,0,0.06189600067855756
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_50,persistencia_WVIV_componente_2.csv,1,0.007366980385476805
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_50,persistencia_WVIV_componente_2.csv,2,0.00040024992192379033
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_50,persistencia_WVIV_componente_3.csv,0,0.052341576686224994
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_50,persistencia_WVIV_componente_3.csv,1,0.008277961705637446
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_50,persistencia_WVIV_componente_3.csv,2,0.00025357444666211925
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_60,persistencia_WVIV_componente_1.csv,0,0.141309518433826
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_60,persistencia_WVIV_componente_1.csv,1,0.02789946325648575
WVIV,resultados5m_40,persistencia_WVIV_componente_10.csv,resultados5m_60,persistencia_WVIV_componente_1.csv,2,0.002577954615581891
