prefijo,carpeta_a,archivo_a,carpeta_b,archivo_b,dimension,distancia
MCEFL,resultados3m_10,0,resultados3m_60,0,0,0.44241552459613476
MCEFL,resultados3m_10,0,resultados3m_60,0,1,0.08794863277889405
MCEFL,resultados3m_10,0,resultados3m_60,1,0,0.16210357585796928
MCEFL,resultados3m_10,0,resultados3m_60,1,1,0.011023776644468759
MCEFL,resultados3m_10,0,resultados3m_60,2,0,0.21222331064136327
MCEFL,resultados3m_10,0,resultados3m_60,2,1,0.02045568039556799
MCEFL,resultados3m_10,0,resultados3m_60,3,0,0.23805548771349588
MCEFL,resultados3m_10,0,resultados3m_60,3,1,0.046049712381573474
MCEFL,resultados3m_10,1,resultados3m_60,0,0,0.33655020747345943
MCEFL,resultados3m_10,1,resultados3m_60,0,1,0.08389154797783817
MCEFL,resultados3m_10,1,resultados3m_60,0,2,0.0036660479007445527
MCEFL,resultados3m_10,1,resultados3m_60,1,0,0.25546398778818885
MCEFL,resultados3m_10,1,resultados3m_60,1,1,0.04086149789084346
MCEFL,resultados3m_10,1,resultados3m_60,2,0,0.187197139031334
MCEFL,resultados3m_10,1,resultados3m_60,2,1,0.04264441461612124
MCEFL,resultados3m_10,1,resultados3m_60,2,2,0.002649209563976055
MCEFL,resultados3m_10,1,resultados3m_60,3,0,0.20925824596513298
MCEFL,resultados3m_10,1,resultados3m_60,3,1,0.052907736559729975
MCEFL,resultados3m_10,1,resultados3m_60,3,2,0.0013817737986167322
MCEFL,resultados3m_10,2,resultados3m_60,0,0,0.39780862022575336
MCEFL,resultados3m_10,2,resultados3m_60,0,1,0.08675464145816529
MCEFL,resultados3m_10,2,resultados3m_60,1,0,0.022374548860844747
MCEFL,resultados3m_10,2,resultados3m_60,1,1,0.011673597408265558
MCEFL,resultados3m_10,2,resultados3m_60,2,0,0.1310497918572954
MCEFL,resultados3m_10,2,resultados3m_60,2,1,0.019580528806947026
MCEFL,resultados3m_10,2,resultados3m_60,3,0,0.18380503749633978
MCEFL,resultados3m_10,2,resultados3m_60,3,1,0.0450808549971805
MCEFL,resultados3m_10,3,resultados3m_60,0,0,0.40291405541354236
MCEFL,resultados3m_10,3,resultados3m_60,0,1,0.0875218780289878
MCEFL,resultados3m_10,3,resultados3m_60,1,0,0.047137617260360254
MCEFL,resultados3m_10,3,resultados3m_60,1,1,0.03531427135623634
MCEFL,resultados3m_10,3,resultados3m_60,2,0,0.1485092344826878
MCEFL,resultados3m_10,3,resultados3m_60,2,1,0.03469952703832032
MCEFL,resultados3m_10,3,resultados3m_60,3,0,0.20321346804587548
MCEFL,resultados3m_10,3,resultados3m_60,3,1,0.05670777898299484
MCEFL,resultados3m_10,0,resultados3m_70,0,0,0.44466566735520435
MCEFL,resultados3m_10,0,resultados3m_70,0,1,0.08943687908050288
MCEFL,resultados3m_10,0,resultados3m_70,1,0,0.16150446158099066
MCEFL,resultados3m_10,0,resultados3m_70,1,1,0.01108830138561473
MCEFL,resultados3m_10,0,resultados3m_70,2,0,0.15894941550050223
MCEFL,resultados3m_10,0,resultados3m_70,2,1,0.01588509293460435
MCEFL,resultados3m_10,0,resultados3m_70,3,0,0.23929973077297448
MCEFL,resultados3m_10,0,resultados3m_70,3,1,0.04799013205923732
MCEFL,resultados3m_10,0,resultados3m_70,4,0,0.09239582164984053
MCEFL,resultados3m_10,0,resultados3m_70,4,1,0.0028406408050740844
MCEFL,resultados3m_10,1,resultados3m_70,0,0,0.33776417074231113
MCEFL,resultados3m_10,1,resultados3m_70,0,1,0.08608195307302524
MCEFL,resultados3m_10,1,resultados3m_70,0,2,0.004097418157734723
MCEFL,resultados3m_10,1,resultados3m_70,1,0,0.2576874828848802
MCEFL,resultados3m_10,1,resultados3m_70,1,1,0.040313257034431955
MCEFL,resultados3m_10,1,resultados3m_70,2,0,0.24751384872582852
MCEFL,resultados3m_10,1,resultados3m_70,2,1,0.04288664067407139
MCEFL,resultados3m_10,1,resultados3m_70,2,2,0.002686370961502797
MCEFL,resultados3m_10,1,resultados3m_70,3,0,0.2094885929035223
MCEFL,resultados3m_10,1,resultados3m_70,3,1,0.05383954516774157
MCEFL,resultados3m_10,1,resultados3m_70,3,2,0.0013982914605110922
MCEFL,resultados3m_10,1,resultados3m_70,4,0,0.3109114455746983
MCEFL,resultados3m_10,1,resultados3m_70,4,1,0.04225753168395415
MCEFL,resultados3m_10,1,resultados3m_70,4,2,0.0013122163622301195
MCEFL,resultados3m_10,2,resultados3m_70,0,0,0.4000965181531157
MCEFL,resultados3m_10,2,resultados3m_70,0,1,0.08822217381719803
MCEFL,resultados3m_10,2,resultados3m_70,1,0,0.02498365356221437
MCEFL,resultados3m_10,2,resultados3m_70,1,1,0.011788330964310636
MCEFL,resultados3m_10,2,resultados3m_70,2,0,0.07858624028772652
MCEFL,resultados3m_10,2,resultados3m_70,2,1,0.014670117127653426
MCEFL,resultados3m_10,2,resultados3m_70,3,0,0.18477419950705717
MCEFL,resultados3m_10,2,resultados3m_70,3,1,0.0471727851373421
MCEFL,resultados3m_10,2,resultados3m_70,4,0,0.09006782607188216
MCEFL,resultados3m_10,2,resultados3m_70,4,1,0.004909850962511025
MCEFL,resultados3m_10,3,resultados3m_70,0,0,0.40519432511993847
MCEFL,resultados3m_10,3,resultados3m_70,0,1,0.08951170071237242
MCEFL,resultados3m_10,3,resultados3m_70,1,0,0.05541617750495246
MCEFL,resultados3m_10,3,resultados3m_70,1,1,0.03533450900239399
MCEFL,resultados3m_10,3,resultados3m_70,2,0,0.11288303330260106
MCEFL,resultados3m_10,3,resultados3m_70,2,1,0.036638647331087223
MCEFL,resultados3m_10,3,resultados3m_70,3,0,0.20404230220907763
MCEFL,resultados3m_10,3,resultados3m_70,3,1,0.05828047858664069
MCEFL,resultados3m_10,3,resultados3m_70,4,0,0.11060273474499335
MCEFL,resultados3m_10,3,resultados3m_70,4,1,0.03366785272541719
MCEFL,resultados3m_10,0,resultados3m_80,0,0,0.44522945956708804
MCEFL,resultados3m_10,0,resultados3m_80,0,1,0.08908177276933668
MCEFL,resultados3m_10,0,resultados3m_80,1,0,0.16060372583449803
MCEFL,resultados3m_10,0,resultados3m_80,1,1,0.01140391789673923
MCEFL,resultados3m_10,0,resultados3m_80,2,0,0.21301154635720973
MCEFL,resultados3m_10,0,resultados3m_80,2,1,0.02152931427277018
MCEFL,resultados3m_10,0,resultados3m_80,3,0,0.23895970408006822
MCEFL,resultados3m_10,0,resultados3m_80,3,1,0.048716978304523054
MCEFL,resultados3m_10,1,resultados3m_80,0,0,0.33808445490400424
MCEFL,resultados3m_10,1,resultados3m_80,0,1,0.08644484393497617
MCEFL,resultados3m_10,1,resultados3m_80,0,2,0.005427566492036314
MCEFL,resultados3m_10,1,resultados3m_80,1,0,0.25953341301108435
MCEFL,resultados3m_10,1,resultados3m_80,1,1,0.04065470997306079
