r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
-0.5031496278807088,-0.5031550946883309,2.2846543857791146,0.7322559589676116,1.0153272576361223,2.674153495233229,-0.5031550946883309,-0.5031550946883309,-0.5031441610730868,-0.502777884962411,-0.5031222938425987,-0.5031004266121105,-0.5031222938425987,-0.5031496278807088,-0.5026521483871044,-0.5031550946883309,-0.5031550946883309
-0.5031496278807088,-0.5031550946883309,2.2846543857791146,0.733611727257874,1.0153272576361223,2.674240964155181,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.5026740156175925,-0.49670426169434,-0.49112811791987343,-0.5028762874996074,-0.5031441610730868,-0.5028926879224735,-0.5031550946883309,-0.5031550946883309
-0.5031496278807088,-0.5031550946883309,2.2846543857791146,0.7355579107713154,1.0153272576361223,2.6744377692295744,-0.5031550946883309,-0.5031550946883309,-0.5030238913054021,-0.50004994795902,-0.49469247648943443,-0.48761296061891063,-0.5028926879224735,-0.5031332274578427,-0.5028981547300956,-0.5031496278807088,-0.5031550946883309
-0.5031496278807088,-0.5031550946883309,2.2846543857791146,0.6944912519146554,1.0153272576361223,2.6746783087649435,-0.5031550946883309,-0.5031550946883309,-0.502980156844426,-0.4997000722712103,-0.4951954227906608,-0.4847702206554571,-0.5027833517700331,-0.5030840261892444,-0.5030566921511344,-0.5031496278807088,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.7213004764930714,1.0153272576361223,2.675421794601539,-0.5031550946883309,-0.5031550946883309,-0.5031332274578427,-0.5014713179407467,-0.495851439705304,-0.48714828197103843,-0.5028708206919854,-0.5030621589587564,-0.502980156844426,-0.5031550946883309,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.7209943352662379,1.0153272576361223,2.675465529062515,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.5025428122346639,-0.4987761817830879,-0.4955562320937146,-0.5030566921511344,-0.5031441610730868,-0.5027122832709467,-0.5031550946883309,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.721213007571119,1.0153272576361223,2.675465529062515,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.5023241399297829,-0.49915885831662976,-0.49626691708457793,-0.5031222938425987,-0.5031441610730868,-0.5026521483871044,-0.5031550946883309,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.721213007571119,1.0153272576361223,2.675465529062515,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.4672928366878397,-0.4988964515507725,-0.4942715323025384,-0.5031386942654648,-0.5031496278807088,-0.5026357479642384,-0.5031496278807088,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.721213007571119,1.0153272576361223,2.6755529979844677,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.49565463463091103,-0.4988363166669302,-0.4949166156019375,-0.5030457585358903,-0.5031441610730868,-0.5027286836938127,-0.5031550946883309,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.721213007571119,1.0153272576361223,2.6755529979844677,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.4995470016577936,-0.4996727382331002,-0.4974805483766677,-0.5031332274578427,-0.5031496278807088,-0.5026357479642384,-0.5031550946883309,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.7213879454150238,1.0153272576361223,2.6755529979844677,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.5013619817883063,-0.49980940842365085,-0.4973985462623373,-0.5031332274578427,-0.5031496278807088,-0.5026357479642384,-0.5031550946883309,-0.5031550946883309
-0.5031496278807088,-0.5031550946883309,2.2846543857791146,0.7049437880879693,1.0153272576361223,2.675574865214956,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.502761484539545,-0.49691200038397704,-0.4919153382174452,-0.5028872211148515,-0.5031386942654648,-0.5028926879224735,-0.5031496278807088,-0.5031550946883309
-0.5031496278807088,-0.5031550946883309,2.2846543857791146,0.6481764577408504,1.0153272576361223,2.675618599675932,-0.5031550946883309,-0.5031550946883309,-0.5031332274578427,-0.5024990777736876,-0.4980272291388703,-0.493549913696431,-0.5030238913054021,-0.5031386942654648,-0.5027560177319229,-0.5031550946883309,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.6481764577408504,1.0153272576361223,2.675618599675932,-0.5031550946883309,-0.5031550946883309,-0.5031332274578427,-0.49696666846019727,-0.4996180701568799,-0.49608104562542904,-0.5031332274578427,-0.5031496278807088,-0.5026357479642384,-0.5031496278807088,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.6481764577408504,1.0153272576361223,2.675684201367396,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.5030676257663784,-0.5000226139209099,-0.4979998951007602,-0.5031441610730868,-0.5031496278807088,-0.5026248143489943,-0.5031550946883309,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.6481764577408504,1.0153272576361223,2.675684201367396,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.501515052401723,-0.49992967819133544,-0.49704320376690564,-0.5031332274578427,-0.5031550946883309,-0.5026357479642384,-0.5031550946883309,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.6481764577408504,1.0153272576361223,2.675684201367396,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.5029582896139378,-0.5001374168809725,-0.4973602786089832,-0.5031332274578427,-0.5031496278807088,-0.5026302811566163,-0.5031550946883309,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.6481764577408504,1.0153272576361223,2.675684201367396,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.5021054676249018,-0.5003232883401213,-0.4972400088412986,-0.5031441610730868,-0.5031496278807088,-0.5026302811566163,-0.5031496278807088,-0.5031550946883309
-0.5031496278807088,-0.5031550946883309,2.2846543857791146,0.5996968077487231,1.0153272576361223,2.675684201367396,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.49731654414800697,-0.4928446955131896,-0.5028926879224735,-0.5031386942654648,-0.5028817543072295,-0.5031550946883309,-0.5031550946883309
-0.5031496278807088,-0.5031550946883309,2.2846543857791146,0.551042219912691,1.0153272576361223,2.675684201367396,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.5028708206919854,-0.49736574541660517,-0.4922160126366566,-0.5028926879224735,-0.5031332274578427,-0.5028926879224735,-0.5031550946883309,-0.5031550946883309
-0.5031496278807088,-0.5031550946883309,2.2846543857791146,0.5452911382943195,1.0153272576361223,2.675706068597884,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.5027833517700331,-0.49669879488671803,-0.49058690396529286,-0.5029090883453396,-0.5031332274578427,-0.5028762874996074,-0.5031550946883309,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.5447881919930931,1.0153272576361223,2.675706068597884,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.5026958828480806,-0.4963434523912863,-0.49105158261316506,-0.5029528228063158,-0.5031386942654648,-0.5028270862310092,-0.5031550946883309,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.544963129836998,1.0153272576361223,2.6757279358283723,-0.5031550946883309,-0.5031550946883309,-0.5031332274578427,-0.5027396173090568,-0.49987501011511515,-0.49654025746567926,-0.5031386942654648,-0.5031496278807088,-0.5026302811566163,-0.5031550946883309,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.5444383163052835,1.0153272576361223,2.6757279358283723,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.4827748358734176,-0.49945406592821917,-0.495020484946756,-0.5031332274578427,-0.5031496278807088,-0.5026357479642384,-0.5031496278807088,-0.5031550946883309
-0.5031550946883309,-0.5031550946883309,2.2846543857791146,0.5447881919930931,1.0153272576361223,2.6757279358283723,-0.5031550946883309,-0.5031550946883309,-0.5031550946883309,-0.501733724706604,-0.5000171471132878,-0.49712520588123604,-0.5031441610730868,-0.5031496278807088,-0.5026248143489943,-0.5031550946883309,-0.5031550946883309
