r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
-0.5524332117466926,-0.5524447181482928,1.8187945236370697,2.0473116594185976,1.4794017020352594,2.1664719543910804,-0.5524447181482928,-0.5524332117466926,-0.5523871861402914,-0.5512825715866647,-0.5520880196986842,-0.5521225389034851,-0.5523296541322901,-0.5524217053450923,-0.5514321548074683,-0.5524447181482928,-0.5524447181482928
-0.5524217053450923,-0.5524447181482928,1.8187945236370697,2.0528807577931323,1.4809205470464961,2.167622594551108,-0.5520765132970838,-0.5524447181482928,-0.5516622828394738,-0.5437458785384823,-0.5349780005190703,-0.5172696484562419,-0.5518809044698791,-0.5523986925418917,-0.55191542367468,-0.5524332117466926,-0.5524447181482928
-0.5524217053450923,-0.5524447181482928,1.8187945236370697,1.8399202769751808,1.4817029823553152,2.1677146457639105,-0.5524447181482928,-0.5524447181482928,-0.5521225389034851,-0.5462772868905437,-0.5353462053702792,-0.5218376898915524,-0.5517313212490755,-0.5523641733370909,-0.5520880196986842,-0.5524332117466926,-0.5524447181482928
-0.552410198943492,-0.5524447181482928,1.8187945236370697,1.842083480476033,1.4821172128129252,2.1681749018279213,-0.5524447181482928,-0.5524447181482928,-0.5523986925418917,-0.5477501062953792,-0.5331024570582249,-0.5093762569584509,-0.5516047508314725,-0.5521915773130867,-0.5523871861402914,-0.5524447181482928,-0.5524447181482928
-0.5524447181482928,-0.5524447181482928,1.8187945236370697,1.9033895882023162,1.4821632384193262,2.1682209274343225,-0.5524447181482928,-0.5524447181482928,-0.5524447181482928,-0.5503735658602427,-0.5417092454552331,-0.5308472023445704,-0.5523066413290895,-0.5523526669354906,-0.5515126996186702,-0.5524447181482928,-0.5524447181482928
-0.5523986925418917,-0.5524447181482928,1.8187945236370697,1.9033895882023162,1.4823473408449306,2.1682669530407237,-0.5524447181482928,-0.5524447181482928,-0.5524447181482928,-0.5506497194986494,-0.5429519368280632,-0.5361401470806983,-0.5523066413290895,-0.5524217053450923,-0.5514666740122691,-0.5524447181482928,-0.5524447181482928
-0.5524447181482928,-0.5524447181482928,1.8187945236370697,1.903757793053525,1.4825314432705352,2.1680828506151193,-0.5524447181482928,-0.5524447181482928,-0.5524447181482928,-0.5502354890410394,-0.543193571261669,-0.5369686079959184,-0.5523066413290895,-0.5524332117466926,-0.5514436612090686,-0.5524447181482928,-0.5524447181482928
-0.5524332117466926,-0.5524447181482928,1.8187945236370697,1.9023309992550905,1.482853622515343,2.169279516381548,-0.5524447181482928,-0.5524447181482928,-0.5524447181482928,-0.4768706724376646,-0.5432511032696704,-0.5311003431797765,-0.5523181477306898,-0.5524217053450923,-0.5514436612090686,-0.5524332117466926,-0.5524447181482928
-0.5524447181482928,-0.5524447181482928,1.8187945236370697,1.9019627944038815,1.482899648121744,2.1693715675943506,-0.5524447181482928,-0.5524447181482928,-0.5524447181482928,-0.5522145901162873,-0.5444247562328988,-0.5371296976183223,-0.5523411605338903,-0.5524332117466926,-0.551420648405868,-0.5524447181482928,-0.5524447181482928
-0.5524447181482928,-0.5524447181482928,1.8187945236370697,1.9026992041062993,1.4829916993345462,2.169279516381548,-0.5524447181482928,-0.5524447181482928,-0.5524447181482928,-0.531411016022984,-0.5456099155977274,-0.5376935112967359,-0.552410198943492,-0.5524217053450923,-0.5513516099962663,-0.5524332117466926,-0.5524447181482928
-0.5524332117466926,-0.5524447181482928,1.8187945236370697,1.885945883376294,1.4831297761537496,2.1694175932007513,-0.5524447181482928,-0.5524447181482928,-0.5524447181482928,-0.5520304876906827,-0.5430439880408654,-0.5311463687861776,-0.55191542367468,-0.5524332117466926,-0.551834878863478,-0.5524447181482928,-0.5524447181482928
-0.5524447181482928,-0.5524447181482928,1.8187945236370697,1.8820337068321995,1.483267852972953,2.1694636188071525,-0.5524447181482928,-0.5524447181482928,-0.5523986925418917,-0.542779340804059,-0.543607801719279,-0.536289730301502,-0.5522491093210881,-0.5524217053450923,-0.55150119321707,-0.5524447181482928,-0.5524447181482928
-0.5524447181482928,-0.5524447181482928,1.8187945236370697,1.8820337068321995,1.4833599041857553,2.1694636188071525,-0.5524447181482928,-0.5524447181482928,-0.5524447181482928,-0.5518003596586772,-0.5446433778633041,-0.5380617161479448,-0.5523871861402914,-0.5524217053450923,-0.5513746227994669,-0.5524447181482928,-0.5524447181482928
-0.5524447181482928,-0.5524447181482928,1.8187945236370697,1.880606913033765,1.4834519553985575,2.1693715675943506,-0.5524447181482928,-0.5524447181482928,-0.5524447181482928,-0.5394194715367777,-0.5442406538072944,-0.5362552110967012,-0.552410198943492,-0.5524217053450923,-0.5513516099962663,-0.5524332117466926,-0.5524447181482928
-0.5524447181482928,-0.5524447181482928,1.8187945236370697,1.880606913033765,1.4835440066113597,2.1695096444135538,-0.5524447181482928,-0.5524447181482928,-0.5523986925418917,-0.5521685645098862,-0.5446663906665047,-0.5384184145975535,-0.5523986925418917,-0.5524332117466926,-0.5513516099962663,-0.5524447181482928,-0.5524447181482928
-0.5524447181482928,-0.5524447181482928,1.8187945236370697,1.880606913033765,1.483682083430563,2.1693715675943506,-0.5524447181482928,-0.5524447181482928,-0.5524447181482928,-0.549683181764226,-0.5452417107465186,-0.5384414274007541,-0.552410198943492,-0.5524332117466926,-0.5513516099962663,-0.5524332117466926,-0.5524447181482928
-0.5524332117466926,-0.5524447181482928,1.8187945236370697,1.7796267325897221,1.483682083430563,2.170015926083966,-0.5524447181482928,-0.5524447181482928,-0.5519384364778805,-0.5520304876906827,-0.542365110346449,-0.5333440914918307,-0.5521915773130867,-0.552410198943492,-0.5515702316266716,-0.5524447181482928,-0.5524447181482928
-0.5524217053450923,-0.5524447181482928,1.8187945236370697,1.7650366153605692,1.483728109036964,2.169969900477565,-0.5524447181482928,-0.5524447181482928,-0.5524447181482928,-0.5516622828394738,-0.5366924543575118,-0.5254276871908392,-0.551834878863478,-0.5524217053450923,-0.5519269300762802,-0.5524447181482928,-0.5524447181482928
-0.5524332117466926,-0.5524447181482928,1.8187945236370697,1.6693493796526544,1.485292979654602,2.1734678465640496,-0.5524447181482928,-0.5524447181482928,-0.5475660038697748,-0.5512480523818638,-0.5335281939174352,-0.5154861562081987,-0.5516737892410741,-0.552410198943492,-0.5520995261002845,-0.5524447181482928,-0.5524447181482928
-0.5524332117466926,-0.5524447181482928,1.8187945236370697,1.6650229726509498,1.4853850308674041,2.1734678465640496,-0.5524447181482928,-0.5524447181482928,-0.5524447181482928,-0.5518003596586772,-0.534184058808651,-0.5219182347027543,-0.5519384364778805,-0.552410198943492,-0.551834878863478,-0.5524447181482928,-0.5524447181482928
-0.5524447181482928,-0.5524447181482928,1.8187945236370697,1.6653911775021586,1.4855691332930085,2.173651948989654,-0.5524447181482928,-0.5524447181482928,-0.5523986925418917,-0.5517543340522761,-0.5405701116968056,-0.5321819449302027,-0.552203083714687,-0.5524217053450923,-0.5515472188234711,-0.5524447181482928,-0.5524447181482928
-0.5524447181482928,-0.5524447181482928,1.8187945236370697,1.6657593823533676,1.4856611845058108,2.173651948989654,-0.5524447181482928,-0.5524447181482928,-0.5524447181482928,-0.5442061346024936,-0.5445168074457011,-0.5367384799639129,-0.552410198943492,-0.5524332117466926,-0.5513401035946661,-0.5524332117466926,-0.5524447181482928
-0.5524447181482928,-0.5524447181482928,1.8187945236370697,1.6661275872045764,1.4857992613250142,2.1735598977768515,-0.5524447181482928,-0.5524447181482928,-0.5524447181482928,-0.5518463852650783,-0.5443557178232972,-0.5373022936423265,-0.5523756797386912,-0.5524447181482928,-0.5513746227994669,-0.5524447181482928,-0.5524447181482928
