procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 523396  46648 344800    0    0   362    94  470  921 16  2 81  0  0
 1  0      0 520796  46752 344900    0    0    32   396 1294 2803 48  5 47  1  0
 1  0      0 514832  46984 344920    0    0    40   832 1548 3146 55  3 41  1  0
 2  0      0 510740  47064 345048    0    0     8   436 1582 3969 76 21  3  0  0
 0  0      0 513904  47088 345080    0    0     0   244 1261 2497 44  9 47  0  0
 0  0      0 513284  47112 345084    0    0     0   156  769 1279 11  2 87  1  0
 0  0      0 513160  47128 345084    0    0     0   184  802 1387 14  1 85  0  0
 0  0      0 513160  47144 345084    0    0     0   128  595 1095  5  1 95  0  0
 0  0      0 513132  47184 345108    0    0     0  6520  769 1677  5  3 92  1  0
 0  0      0 513164  47224 345132    0    0     4  1920  920 1688 21  1 77  1  0
 0  0      0 513100  47224 345132    0    0     0   664  595 1070  3  1 96  0  0
 0  0      0 512852  47256 345132    0    0     0   372  652 1254  5  1 94  0  0
 1  0      0 509032  47280 345124    0    0     0    56 1108 1906 45  3 51  1  0
 2  0      0 498028  47320 345144    0    0     8   156 1170 2150 37  4 60  0  0
 0  0      0 498028  47336 345144    0    0     0    64  607 1223  4  1 95  0  0
 1  0      0 497904  47376 345148    0    0     0  4520  704 1537  4  1 94  1  0
 0  0      0 498028  47376 345148    0    0     0     0  614 1173  3  1 96  0  0
 0  0      0 498028  47376 345148    0    0     0     0  566 1123  3  1 97  0  0
 0  0      0 498028  47384 345140    0    0     0    36  621 1161  5  1 94  0  0
 1  0      0 488632  47392 345148    0    0     0    56 1048 2031 49  3 48  0  0
 1  0      0 479360  47408 345188    0    0    40    72 1211 2103 48  4 49  0  0
 1  0      0 478308  47424 345192    0    0     0   100 1382 2606 45  4 51  1  0
 0  0      0 478056  47432 345188    0    0     0    40  973 1861 25  2 73  0  0
 0  0      0 478056  47432 345188    0    0     0     0  531 1079  3  1 97  0  0
 0  0      0 478056  47456 345196    0    0     0   856  565 1124  3  1 95  0  0
 0  0      0 478056  47456 345196    0    0     0     0  474 1003  3  1 96  0  0
 0  0      0 478088  47456 345196    0    0     0     0  491 1050  2  1 97  0  0
 0  0      0 478088  47472 345196    0    0     0    36  638 1189  8  2 91  0  0
 0  0      0 478088  47472 345196    0    0     0     0  540 1059  2  0 98  0  0
 0  0      0 477964  47504 345200    0    0     4   260  578 1081  6  2 92  0  0
 0  0      0 477964  47512 345200    0    0     0    20  642 1153  7  1 93  0  0
 0  0      0 477592  47520 345204    0    0     0    80  693 1301  6  2 92  0  0
 0  0      0 477592  47528 345196    0    0     0    20  677 1231  6  2 93  0  0
 0  0      0 477592  47536 345204    0    0     0    20  666 1274  6  1 93  0  0
 0  0      0 477592  47536 345204    0    0     0     0  612 1162  3  1 96  0  0
 0  0      0 477468  47560 345208    0    0     0   468  585 1213  2  1 96  1  0
 1  0      0 477468  47560 345208    0    0     0    20  558 1053  4  0 96  0  0
 0  0      0 477468  47560 345208    0    0     0     0  517 1087  1  1 98  0  0
 0  0      0 477468  47560 345208    0    0     0     0  525 1049  3  1 97  0  0
 0  0      0 477468  47568 345208    0    0     0    36  497 1042  3  1 96  0  0
 1  0      0 477500  47568 345208    0    0     0     0  686 1082 10  1 89  0  0
 0  0      0 477532  47584 345216    0    0     4   248 1043 1769 32  1 67  0  0
 0  0      0 477508  47592 345216    0    0     0    20  566 1085  4  1 95  0  0
 0  0      0 477540  47592 345216    0    0     0     0  630 1047  6  1 93  0  0
 1  0      0 477540  47592 345216    0    0     0     0  545  939  4  1 95  0  0
 0  0      0 477224  47616 345220    0    0     0   404  713 1212  8  1 91  0  0
 1  0      0 448952  47616 345220    0    0     0    12  701 1181  7  3 90  0  0
 0  0      0 446288  47624 345224    0    0     4    48  825 1404 14  2 83  1  0
 0  0      0 446288  47624 345224    0    0     0     0  598 1256  4  1 95  0  0
 0  0      0 446288  47656 345224    0    0     0   192  642 1341  4  1 95  0  0
 0  0      0 446288  47656 345224    0    0     0     0  640 1343  5  1 94  0  0
 0  0      0 446072  47688 345224    0    0     0   464  727 1539  5  2 92  0  0
 1  0      0 446072  47696 345216    0    0     0    52  650 1272  5  1 94  0  0
 0  0      0 446064  47696 345236    0    0     0     0  547 1078  3  2 96  0  0
 4  0      0 446064  47720 345236    0    0     0   236  571 1031  3  0 97  0  0
 0  0      0 446064  47720 345236    0    0     0     0  542 1088  5  1 94  0  0
 0  0      0 446064  47720 345236    0    0     0     0  579 1164  4  1 95  0  0
 0  0      0 446064  47736 345236    0    0     0    36  659 1262  7  2 92  0  0
 0  0      0 446064  47736 345236    0    0     0     0  601 1177  5  1 94  0  0
 0  0      0 446064  47768 345236    0    0     0   316  554 1185  3  1 95  1  0
 1  0      0 446064  47776 345236    0    0     0    20  583 1134  5  1 94  0  0
 0  0      0 445940  47784 345236    0    0     0    20  673 1172  4  2 94  0  0
 0  0      0 445940  47792 345228    0    0     4    24  714 1251  4  1 96  0  0
 0  0      0 445940  47800 345240    0    0     0    20  599 1098  3  1 96  0  0
 0  0      0 445972  47800 345240    0    0     0     0  592 1166  5  1 94  0  0
 0  0      0 445972  47824 345216    0    0     0   532  562 1135  2  1 96  0  0
 0  0      0 445972  47824 345244    0    0     0     0  569 1104  4  0 96  0  0
 0  0      0 445972  47824 345244    0    0     0     8  492 1002  2  2 97  0  0
 1  0      0 445972  47824 345244    0    0     0     0  521 1079  4  0 96  0  0
 0  0      0 445972  47832 345244    0    0     0    28  508 1105  4  1 96  0  0
 2  0      0 445972  47832 345244    0    0     0     0  485 1039  3  1 97  0  0
 0  0      0 445724  47856 345244    0    0     0   240  594 1205  5  1 95  0  0
 0  0      0 445724  47872 345236    0    0     0   124  592 1124  3  1 95  0  0
 0  0      0 445724  47872 345244    0    0     0     0  580 1025  3  1 96  0  0
 0  0      0 445724  47896 345244    0    0     0   304  547 1151  4  1 96  0  0
 0  0      0 445724  47896 345244    0    0     0     0  553 1038  3  1 97  0  0
 0  0      0 445724  47896 345244    0    0     0     0  589 1115  3  1 96  0  0
 0  0      0 445724  47896 345244    0    0     0     8  605 1079  3  1 97  0  0
 0  0      0 445724  47896 345244    0    0     0     0  520 1032  2  1 97  0  0
 0  0      0 445724  47904 345244    0    0     0    20  537 1079  4  1 96  0  0
 0  0      0 445724  47904 345244    0    0     0     0  493  989  3  1 96  0  0
 0  0      0 445600  47928 345244    0    0     0   176  613 1236  3  1 95  1  0
 0  0      0 445600  47952 345228    0    0     4    56  600 1206  5  2 94  0  0
 0  0      0 445600  47952 345228    0    0     0     0  572 1149  4  1 96  0  0
 1  0      0 445600  47976 345252    0    0     0   364  562 1165  3  1 96  0  0
 0  0      0 445600  47976 345252    0    0     0     0  528 1089  2  1 97  0  0
 0  0      0 445600  47976 345252    0    0     0     0  512 1050  4  1 96  0  0
 0  0      0 445600  47992 345252    0    0     0    36  707 1268  8  1 91  0  0
 0  0      0 445600  47992 345252    0    0     0     0  611 1065  4  1 94  0  0
 0  0      0 445600  48024 345252    0    0     0   256  577 1126  4  1 95  1  0
 0  0      0 445632  48032 345252    0    0     0    20  650 1176  5  2 94  0  0
 0  0      0 445384  48040 345252    0    0     0    20  695 1269  5  1 94  0  0
 0  0      0 445384  48048 345248    0    0     0    20  643 1215  5  1 94  0  0
 0  0      0 445384  48056 345256    0    0     0    20  596 1166  7  1 92  1  0
 0  0      0 445384  48056 345256    0    0     0     0  587 1168  3  1 97  0  0
 0  0      0 445384  48080 345256    0    0     0   468  537 1165  5  1 95  0  0
 0  0      0 445384  48080 345256    0    0     0     0  613 1185  4  2 94  0  0
 0  0      0 445384  48080 345256    0    0     0     0  519 1101  2  1 97  0  0
