procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 215324 142280 378860    0    0    23   102  341  647 11  2 87  0  0
 1  0      0 215696 142288 378900    0    0     0    92 1180 2040 50  2 48  0  0
 2  0      0 215692 142512 378956    0    0    40   664 1492 3139 47  4 47  2  0
 4  0      0 209152 142696 379020    0    0    36   736 1452 3336 71 12 17  1  0
 0  0      0 203804 142720 379080    0    0     4   192 1477 3147 73 14 13  0  0
 3  0      0 203804 142736 379080    0    0     0   160  684 1215  5  2 93  0  0
 0  0      0 203644 142760 379080    0    0     0   208  963 1554 25  3 72  0  0
 0  0      0 203504 142784 379080    0    0     0   112  776 1325  5  1 93  0  0
 0  0      0 203520 142808 379080    0    0     0   108  569 1095  4  1 96  0  0
 0  0      0 203584 142856 379064    0    0     0  6584  907 2069 17  1 80  1  0
 0  0      0 203584 142856 379080    0    0     0     0  635 1165  5  1 94  0  0
 0  0      0 203552 142880 379072    0    0     0  2352  592 1292  4  1 95  1  0
 1  0      0 203180 142896 379080    0    0     0    36 1096 2047 48  2 49  0  0
 0  0      0 201416 142944 379072    0    0     8   176  939 1684 27  2 70  0  0
 0  0      0 201416 142952 379092    0    0     4    32  740 1249 11  1 89  0  0
 0  0      0 201448 142952 379096    0    0     0     0  601 1160  5  1 94  0  0
 0  0      0 201448 142976 379096    0    0     0  1300  610 1207  4  2 94  0  0
 0  0      0 201200 142984 379096    0    0     0    20  713 1325  6  1 92  0  0
 0  0      0 201200 142984 379096    0    0     0     0  612 1012  5  1 94  0  0
 1  0      0 192424 142992 379096    0    0     0    36 1188 1868 45  4 51  0  0
 1  0      0 186968 143000 379104    0    0     0    68 1582 2718 46  4 50  0  0
 0  0      0 183000 143000 379104    0    0     0     0 1343 2352 51  1 48  0  0
 3  0      0 182624 143000 379112    0    0     0     0 1358 2340 44  5 51  0  0
 0  0      0 182656 143032 379088    0    0     0   124  721 1321 11  2 87  0  0
 0  0      0 182656 143032 379112    0    0     0     0  622 1118  7  0 93  0  0
 2  0      0 182656 143056 379104    0    0     0   496  588 1091  4  1 94  0  0
 1  0      0 182656 143056 379112    0    0     0     0  607 1142  4  1 95  0  0
 0  0      0 182408 143064 379116    0    0     0    20  615 1226  5  1 93  0  0
 0  0      0 182408 143064 379116    0    0     0     0  595 1174  6  0 94  0  0
 0  0      0 182408 143096 379120    0    0     4   192  685 1282  9  2 88  0  0
 2  0      0 182408 143104 379112    0    0     0    20  605 1242  5  1 94  0  0
 0  0      0 182408 143128 379120    0    0     0   264  553 1168  4  2 94  0  0
 0  0      0 182408 143136 379112    0    0     0    20  664 1276  8  0 92  0  0
 1  0      0 182284 143168 379124    0    0     4    72  725 1352  6  1 92  0  0
 0  0      0 182092 143168 379124    0    0     0     0  695 1242  6  1 92  0  0
 1  0      0 182092 143168 379124    0    0     0     0  559 1123  4  2 95  0  0
 0  0      0 182092 143176 379124    0    0     0    28  595 1206  4  2 95  0  0
 1  0      0 181952 143200 379124    0    0     0   616  630 1357  5  2 93  0  0
 0  0      0 181968 143208 379124    0    0     0    20  550 1174  5  1 95  0  0
 0  0      0 181968 143232 379120    0    0     0   172  527 1138  3  0 97  0  0
 0  0      0 181968 143232 379128    0    0     0     0  547 1047  3  1 96  0  0
 0  0      0 181968 143232 379128    0    0     0   172  527 1108  3  1 95  0  0
 0  0      0 181968 143232 379128    0    0     0     0  506 1014  2  1 97  0  0
 0  0      0 181968 143264 379152    0    0     0    92  638 1197  5  1 94  0  0
 0  0      0 181968 143264 379152    0    0     0     0  499 1001  3  1 97  0  0
 0  0      0 181968 143288 379156    0    0     0   564  578 1120  3  1 96  1  0
 0  0      0 181968 143288 379156    0    0     0    24  518 1039  3  1 96  0  0
 0  0      0 181968 143296 379156    0    0     0    48  628 1186  4  1 95  0  0
 0  0      0 181968 143296 379156    0    0     0     0  561 1088  3  1 96  0  0
 0  0      0 181968 143320 379156    0    0     0   176  670 1266  4  2 94  0  0
 0  0      0 181968 143320 379156    0    0     0     0  626 1237  3  1 96  0  0
 0  0      0 181968 143320 379156    0    0     0     0  529 1103  2  1 97  0  0
 0  0      0 181968 143320 379156    0    0     0   364  571 1128  3  0 96  0  0
 0  0      0 181968 143344 379152    0    0     8   100  610 1207  5  1 94  0  0
 0  0      0 181968 143344 379168    0    0     0     0  561 1154  3  1 96  0  0
 0  0      0 181968 143368 379160    0    0     0   500  574 1167  5  0 95  0  0
 0  0      0 181968 143368 379168    0    0     0     0  561 1022  5  1 94  0  0
 0  0      0 181712 143376 379168    0    0     0    20  626 1223  4  2 94  0  0
 0  0      0 181752 143376 379168    0    0     0     0  573 1108  3  1 96  0  0
 0  0      0 181628 143408 379164    0    0     0   188  678 1216  7  1 92  0  0
 0  0      0 181628 143416 379172    0    0     0    20  612 1196  3  2 95  0  0
 2  0      0 181628 143432 379172    0    0     0   220  872 1577 27  3 70  0  0
 0  0      0 181692 143456 379176    0    0     4   104  819 1521 15  1 83  0  0
 1  0      0 181692 143496 379192    0    0     8   100  770 1434  6  2 91  0  0
 0  0      0 181692 143504 379196    0    0     0    48  684 1224  5  0 95  0  0
 0  0      0 181536 143552 379188    0    0     0  3876  717 1413  5  2 93  1  0
 2  0      0 181536 143552 379196    0    0     0     0  569 1091  3  1 97  0  0
 0  0      0 181288 143576 379196    0    0     0   172  722 1386  7  1 91  0  0
 0  0      0 181288 143584 379188    0    0     0    20  563 1092  4  1 95  0  0
 0  0      0 181288 143608 379196    0    0     0   176  580 1155  4  1 95  0  0
 0  0      0 181288 143608 379196    0    0     0     0  586 1159  4  1 95  0  0
 0  0      0 181288 143608 379196    0    0     0     0  488  971  4  1 96  0  0
 0  0      0 181288 143608 379196    0    0     0     0  508 1075  4  1 96  0  0
 1  0      0 181288 143624 379196    0    0     0    36  614 1142  6  1 92  0  0
 0  0      0 181288 143624 379196    0    0     0     0  533  969  3  1 97  0  0
 0  0      0 181320 143640 379196    0    0     0   220  718 1150 10  3 87  0  0
