procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 259820 116304 371556    0    0    30   102  344  653 12  2 86  0  0
 2  0      0 259540 116496 371652    0    0    56   704 1768 3396 47  4 49  1  0
 2  0      0 252736 116656 371696    0    0    24   612 1549 3225 69 11 19  0  0
 1  0      0 247772 116688 371676    0    0     4   356 1509 3527 71 18 12  0  0
 1  0      0 248020 116696 371676    0    0     0   128  826 1518 16  1 82  0  0
 0  0      0 248044 116736 371684    0    0     0   168  886 1549 14  1 85  1  0
 3  0      0 247796 116760 371688    0    0     0   108  716 1142  4  2 95  0  0
 1  0      0 247828 116784 371688    0    0     0   108  918 1569 20  1 78  1  0
 1  0      0 247860 116808 371680    0    0     4   120  811 1373 12  2 86  0  0
 1  0      0 246652 116840 371696    0    0     4   104  945 1807 26  2 72  0  0
 0  0      0 245532 116888 371700    0    0     0   240  928 1829 40  2 57  0  0
 0  0      0 245596 116928 371700    0    0     0  6568  743 1631  4  1 94  1  0
 0  0      0 245596 116944 371700    0    0     0    36  575 1123  5  0 95  1  0
 0  0      0 245596 116944 371700    0    0     0     0  537  936  3  1 97  0  0
 0  0      0 245596 116968 371700    0    0     0  1536  603 1213  4  1 95  0  0
 4  0      0 245340 116968 371700    0    0     0     0  566 1145  3  2 94  0  0
 1  0      0 236976 116984 371704    0    0     4    76  874 1522 23  1 77  0  0
 1  0      0 228076 116984 371704    0    0     0     0 1156 2141 49  3 48  0  0
 1  0      0 227116 116992 371708    0    0     0    68 1498 2418 48  1 51  1  0
 1  0      0 226964 117008 371712    0    0     0    56 1291 2235 47  3 50  0  0
 0  0      0 226804 117008 371712    0    0     0     0  811 1582 13  3 84  0  0
 1  0      0 226804 117032 371712    0    0     0   392  545 1094  4  1 95  0  0
 0  0      0 226804 117056 371716    0    0     0    52  652 1153  4  2 94  0  0
 0  0      0 226804 117056 371716    0    0     0     0  531 1017  2  1 97  0  0
 0  0      0 226804 117080 371716    0    0     0   304  490 1057  3  1 95  0  0
 0  0      0 226416 117080 371716    0    0     0     0  461 1044  2  1 97  0  0
 0  0      0 226416 117088 371708    0    0     0   280  570 1069  4  1 96  0  0
 0  0      0 226432 117112 371716    0    0     0   236  552 1034  3  2 96  0  0
 0  0      0 226432 117128 371720    0    0     4    40  527 1102  5  0 95  1  0
 0  0      0 226432 117128 371720    0    0     0     0  566 1093  3  1 96  0  0
 0  0      0 226432 117152 371720    0    0     0   240  580 1115  3  1 97  0  0
 0  0      0 226432 117152 371720    0    0     0    60  587 1057  3  1 96  0  0
 0  0      0 226464 117176 371724    0    0     0   128  697 1172  6  1 93  0  0
 0  0      0 226464 117176 371724    0    0     0     0  626 1086  3  1 96  0  0
 0  0      0 226464 117200 371724    0    0     0   336  534 1078  3  0 96  1  0
 0  0      0 226340 117208 371724    0    0     0    20  589 1162  4  2 94  0  0
 1  0      0 226308 117216 371724    0    0     0   536  572 1086  3  1 96  0  0
 0  0      0 226308 117248 371724    0    0     0   376  575 1222  4  1 95  0  0
 0  0      0 226308 117248 371724    0    0     0     0  485 1094  3  2 95  0  0
 0  0      0 226308 117248 371724    0    0     0     0  505 1087  3  0 97  0  0
 0  0      0 226308 117248 371724    0    0     0     0  496 1101  2  1 97  0  0
 0  0      0 226308 117248 371724    0    0     0     0  454  981  3  1 96  0  0
 0  0      0 226308 117264 371708    0    0     0    36  574 1080  5  0 95  0  0
 1  0      0 226308 117264 371724    0    0     0     0  503  925  2  1 97  0  0
 0  0      0 226308 117288 371724    0    0     0   236  536 1030  3  1 96  1  0
 0  0      0 226176 117288 371728    0    0     0     0  536 1009  3  0 96  0  0
 0  0      0 226184 117304 371728    0    0     0    36  546 1097  4  1 96  0  0
 0  0      0 226184 117328 371704    0    0     0   240  597 1213  3  1 96  0  0
 0  0      0 226184 117328 371728    0    0     0     0  585 1075  4  1 95  0  0
 0  0      0 226184 117328 371728    0    0     0     0  520  962  3  1 96  0  0
 0  0      0 226184 117328 371728    0    0     0     0  519  933  3  1 96  0  0
 0  0      0 226184 117328 371728    0    0     0     0  499  993  4  0 95  0  0
 0  0      0 226184 117344 371712    0    0     0    80  627 1155  5  1 94  0  0
 1  0      0 226216 117344 371732    0    0     0     0  494 1024  3  1 97  0  0
 0  0      0 226216 117368 371732    0    0     0   240  513 1069  3  0 96  0  0
 0  0      0 226076 117368 371732    0    0     0     0  490 1104  4  0 96  0  0
 0  0      0 226092 117376 371732    0    0     0    24  613 1028  4  1 95  0  0
 0  0      0 226092 117400 371732    0    0     0   240  518 1104  4  0 96  0  0
 0  0      0 226092 117416 371736    0    0     4    40  590 1146  7  2 91  0  0
 0  0      0 226092 117416 371736    0    0     0     0  588 1053  4  1 96  0  0
 0  0      0 226092 117440 371736    0    0     0   236  566  997  4  0 96  0  0
 0  0      0 226092 117440 371736    0    0     0     0  526 1040  4  0 96  0  0
 0  0      0 226092 117464 371736    0    0     0   200  676 1262  6  1 93  1  0
 0  0      0 226092 117464 371736    0    0     0     0  646 1161  4  1 96  0  0
 0  0      0 226092 117488 371736    0    0     0   436  564 1130  2  2 96  1  0
 0  0      0 225968 117496 371736    0    0     0    20  578 1195  4  1 94  0  0
 0  0      0 225844 117504 371740    0    0     0    20  612 1069  4  1 95  0  0
 1  0      0 225844 117520 371740    0    0     0   256  631 1150  8  1 92  0  0
 1  0      0 226032 117536 371752    0    0     4    68  964 1682 40  2 59  0  0
 0  0      0 226032 117536 371752    0    0     0     0  578 1106  5  1 95  0  0
 0  0      0 225904 117544 371756    0    0     4    32  705 1264 10  2 88  1  0
 0  0      0 225904 117568 371748    0    0     0   276  589 1121  3  1 96  0  0
 0  0      0 225904 117584 371732    0    0     0    36  606 1159  4  2 95  0  0
 0  0      0 225904 117584 371756    0    0     0     0  543 1038  4  1 96  0  0
 0  0      0 225780 117608 371732    0    0     0   236  515 1051  3  0 97  1  0
 0  0      0 225648 117608 371756    0    0     0     0  495 1108  4  1 95  0  0
 0  0      0 225656 117616 371756    0    0     0    20  572 1061  5  0 95  0  0
 0  0      0 225656 117640 371756    0    0     0   240  571 1144  3  1 96  0  0
 0  0      0 225656 117640 371756    0    0     0     0  543 1121  3  1 96  0  0
 0  0      0 225656 117640 371756    0    0     0     0  538 1124  1  1 98  0  0
 0  0      0 225656 117640 371756    0    0     0     0  522 1133  2  1 97  0  0
 0  0      0 225656 117640 371756    0    0     0     0  540 1109  3  1 96  0  0
 0  0      0 225656 117664 371760    0    0     4    56  539 1162  4  2 94  0  0
 0  0      0 225656 117688 371756    0    0     0    76  584 1165  3  1 95  0  0
 0  0      0 225720 117704 371764    0    0     0  3104  735 1414  4  2 94  0  0
 0  0      0 225548 117712 371756    0    0     0    20  560 1051  3  1 95  0  0
 0  0      0 225596 117720 371764    0    0     0    20  616 1215  5  1 95  0  0
 1  0      0 225596 117744 371756    0    0     0   176  587 1248  2  1 96  1  0
 0  0      0 225596 117760 371764    0    0     0    36  618 1166  5  1 94  0  0
 0  0      0 225596 117760 371764    0    0     0     0  599 1005  4  1 95  0  0
 4  0      0 225596 117784 371740    0    0     0   236  502 1035  2  0 98  0  0
 0  0      0 225596 117784 371764    0    0     0     0  526 1038  2  1 97  0  0
 0  0      0 225596 117808 371768    0    0     0    52  634 1281  7  1 92  1  0
 0  0      0 225596 117808 371768    0    0     0    72  619 1210  4  1 95  0  0
 0  0      0 225472 117832 371772    0    0     0   348  553 1180  3  2 96  0  0
 3  0      0 225456 117840 371772    0    0     0    20  535 1152  4  1 95  0  0
 0  0      0 225548 117848 371772    0    0     0    20  555 1163  4  1 95  1  0
 0  0      0 225596 117872 371748    0    0     0   276  568 1209  3  1 96  0  0
 0  0      0 225596 117872 371772    0    0     0     8  462 1018  2  1 97  0  0
 0  0      0 225596 117872 371772    0    0     0     0  505 1047  4  2 94  0  0
 0  0      0 225596 117872 371772    0    0     0     0  485  941  3  0 97  0  0
 0  0      0 225596 117872 371772    0    0     0     0  494  925  3  0 97  0  0
 0  0      0 225596 117896 371748    0    0     0    68  616 1118  4  2 94  0  0
 1  0      0 225628 117896 371772    0    0     0     8  548  957  4  1 96  0  0
 0  0      0 225628 117920 371764    0    0     0   304  571 1144  4  1 95  1  0
 1  0      0 225496 117920 371772    0    0     0     0  523 1070  2  2 96  0  0
 0  0      0 225380 117928 371776    0    0     4    24  595 1170  3  1 96  0  0
 0  0      0 225380 117952 371776    0    0     0   176  562 1166  2  1 97  0  0
 1  0      0 254668 119212 372292    0    0    29   102  343  651 12  2 86  0  0
 1  0      0 255080 119452 372388    0    0    48   856 1603 3243 51  3 45  1  0
 2  0      0 254060 119540 372400    0    0    16   460 1540 3161 62 13 25  1  0
 2  0      0 252908 119588 372376    0    0     4   412 1591 3494 71 15 14  0  0
 0  0      0 253528 119604 372376    0    0     0   144  848 1590 12  2 86  0  0
 1  0      0 253528 119636 372344    0    0     0  6508  863 1811 13  2 85  1  0
 0  0      0 253528 119660 372376    0    0     0   160  753 1431  6  2 91  0  0
 0  0      0 253528 119676 372376    0    0     0    64  751 1400 17  1 82  0  0
