procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   1292 209004 159232 360480    0    0    19   102  339  644 11  2 87  0  0
 1  0   1292 209444 159336 360532    0    0    40   724 1643 3235 50  4 45  1  0
 3  0   1292 203288 159416 360648    0    0    24   416 1380 2632 63  7 30  1  0
 3  0   1292 196060 159480 360640    0    0     8   492 1549 3545 76 20  5  0  0
 1  0   1292 197440 159496 360644    0    0     0   212  851 1659 14  3 83  0  0
 1  0   1292 197472 159504 360644    0    0     0   116  832 1432 21  2 77  0  0
 0  0   1292 197472 159524 360644    0    0     0   196  722 1309  7  2 91  0  0
 0  0   1292 197472 159532 360644    0    0     0   128  618 1178  4  2 94  0  0
 1  0   1292 197160 159556 360652    0    0     0  7144  831 1745 14  1 84  1  0
 0  0   1292 197160 159568 360656    0    0     0  2068  738 1396 15  2 83  0  0
 0  0   1292 197160 159580 360656    0    0     0    40  643 1247  5  1 94  0  0
 1  0   1292 195512 159612 360652    0    0     4   176 1182 2273 35  2 63  1  0
 0  0   1292 195544 159636 360668    0    0     4    56  686 1297  5  1 94  0  0
 1  0   1292 195544 159636 360672    0    0     4    52  616 1179  6  2 93  0  0
 0  0   1292 195608 159640 360676    0    0     4    68 1048 1834 30  1 69  0  0
 0  0   1292 195608 159640 360676    0    0     0    20  637 1158  5  1 94  0  0
 0  0   1292 195608 159652 360676    0    0     0    52  725 1258  5  1 94  0  0
 1  0   1292 195484 159656 360676    0    0     0    36  644 1195  6  1 93  0  0
 1  0   1292 186864 159660 360676    0    0     0    52 1311 2241 51  3 47  0  0
 1  0   1292 178120 159668 360680    0    0     0    44 1032 1995 48  4 48  0  0
 3  0   1292 177068 159672 360688    0    0     0    72 1383 2468 44  4 51  0  0
 1  0   1292 176884 159672 360692    0    0     0     0 1095 2064 24  4 72  0  0
 0  0   1292 176884 159672 360692    0    0     0     0  584 1174  2  2 97  0  0
 0  0   1292 176884 159696 360668    0    0     4  2028  639 1373  3  1 96  1  0
 0  0   1292 176948 159696 360696    0    0     0     0  548 1100  2  1 96  0  0
 0  0   1292 176948 159716 360696    0    0     0   272  605 1139  3  2 96  0  0
 1  0   1292 176948 159732 360696    0    0     0    36  629 1095  6  1 92  0  0
 2  0   1292 176980 159732 360696    0    0     0     0  590 1094  8  2 91  0  0
 0  0   1292 176820 159740 360700    0    0     4    32  599 1136  6  1 93  0  0
 0  0   1292 176820 159764 360700    0    0     0   340  579 1195  3  0 97  0  0
 0  0   1292 176820 159772 360700    0    0     0    24  632 1217  5  1 94  0  0
 0  0   1292 176440 159772 360700    0    0     0     0  579 1212  4  1 96  0  0
 0  0   1292 176448 159796 360700    0    0     0   240  552 1137  3  1 97  0  0
 0  0   1292 176448 159808 360708    0    0     0   356  575 1111  3  1 96  1  0
 0  0   1292 176448 159808 360708    0    0     0     0  538  935  3  1 97  0  0
 0  0   1292 176448 159832 360712    0    0     0   316  603 1124  3  1 95  0  0
 0  0   1292 176448 159844 360716    0    0     4    40  597 1075  5  1 94  0  1
 0  0   1292 176448 159844 360716    0    0     0     0  539  955  4  0 96  0  0
