procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 180992 229896 174100 218736    0    2     6   102  335  276 10  2 88  0  0
 3  0 180992 230296 174120 218776    0    0    20   388 1342 2778 46  3 51  1  0
 3  0 180992 225204 174148 218800    0    0    20   556 1475 3170 59  8 33  1  0
 3  0 180992 225764 174172 218848   16    0    32   416 1784 3772 71 18 11  0  0
 0  0 180992 228228 174184 218840    0    0     0   164 1070 2038 32  6 62  0  0
 0  0 180992 228260 174184 218852    0    0     0   120  794 1381 12  1 87  0  0
 0  0 180992 228292 174188 218848    0    0     0   108  871 1461 13  2 85  1  0
 0  0 180992 228292 174188 218872    0    0     4   128  924 1580 27  2 70  0  0
 0  0 180992 228292 174188 218872    0    0     0    92  659 1257  4  1 96  0  0
 2  0 180992 228012 174192 218872   16    0    16  6616 1169 2368 21  2 77  1  0
 1  0 180992 227580 174196 218872    0    0     4   448 1209 2136 26  1 73  0  0
 3  0 180992 227580 174196 218876    0    0     0     0  582 1132  4  1 95  0  0
 0  0 180992 227580 174196 218876    0    0     0    84  623 1133  4  1 95  0  0
 0  0 180992 227580 174196 218876    0    0     0  1440  683 1207  3  2 95  1  0
 2  0 180992 227580 174200 218880    0    0     4    60  657 1152  6  1 94  0  0
 1  0 180992 218868 174208 218872    0    0     0   780  989 1694 21  2 76  0  0
 1  0 180992 214868 174208 218880    0    0     0     0 1359 2424 47  4 49  0  0
 1  0 180992 209164 174216 218884    0    0     0    72 1526 2563 48  3 50  0  0
 1  0 180992 209104 174216 218892    0    0     0     0 1278 2137 45  3 52  0  0
 0  0 180992 208788 174216 218892    0    0     0    52  855 1652 16  2 82  0  0
 1  0 180992 208788 174216 218896    0    0     4    84  574 1133  4  1 95  1  0
 0  0 180992 208852 174220 218896    0    0     0  4104  672 1256  4  1 94  0  0
 0  0 180992 208852 174224 218896    0    0     0    36  624 1085  6  1 93  0  0
 3  0 180992 208852 174228 218892    0    0     0   156  569  979  3  0 96  0  0
 0  0 180992 208884 174240 218896    0    0     0    52  646 1182 10  1 89  0  0
 0  0 180992 208692 174240 218896    0    0     4   312  720 1280 10  1 88  1  0
 1  0 180992 208724 174240 218900    0    0     0     0  492 1056  2  0 97  0  1
 0  0 180992 208724 174248 218900    0    0     0   176  504 1072  3  1 95  0  0
 1  0 180992 208724 174248 218900    0    0     0    20  496 1022  2  1 97  0  0
 0  0 180992 208724 174248 218900    0    0     0     0  564 1121  4  1 96  0  0
 2  0 180992 208724 174248 218900    0    0     0     0  487 1046  2  1 97  0  0
 2  0 180992 208724 174248 218900    0    0     0    20  477 1004  3  0 97  0  0
 2  0 180992 208724 174252 218900    0    0     0    44  564 1084  4  1 95  0  0
 0  0 180992 208724 174268 218884    0    0     0   160  508 1074  3  1 96  0  0
 3  0 180992 208724 174276 218900    0    0     0    68  601 1159  5  1 94  0  0
 0  0 180992 208724 174284 218892    0    0     0   284  546 1067  2  1 96  0  0
 0  0 180992 208756 174296 218900    0    0     0    76  551 1096  5  1 94  0  0
 0  0 180992 208756 174296 218900    0    0     0     0  564  992  3  1 96  0  0
 0  0 180992 208756 174300 218900    0    0     0   156  535  937  3  1 97  0  0
 0  0 180992 208756 174304 218900    0    0     0    36  658 1116  4  1 94  0  0
 0  0 180992 208756 174308 218896    0    0     0    20  672 1120  5  1 94  0  0
 0  0 180992 208756 174308 218900    0    0     0     0  566 1020  3  1 96  0  0
 0  0 180992 208756 174308 218900    0    0     0    20  593 1122  4  2 95  0  0
 0  0 180992 208756 174308 218900    0    0     0   320  539 1045  2  1 97  0  0
 0  0 180992 208756 174316 218904    0    0     4    72  627 1244  6  1 93  0  1
 1  0 180992 208756 174320 218904    0    0     0   404  612 1263  4  1 94  0  0
 1  0 180992 208756 174320 218912    0    0     0   436  929 1619 31  3 67  0  0
 0  0 180992 208788 174320 218912    0    0     0    52  734 1335 11  1 89  0  0
 0  0 180992 208788 174332 218900    0    0     0   224  547 1047  3  1 95  0  0
 0  0 180992 208540 174340 218912    0    0     0    20  673 1288  5  1 95  0  0
 0  0 180992 208540 174340 218912    0    0     0     0  582 1125  4  1 95  0  0
 1  0 180992 208540 174340 218912    0    0     0    32  577 1116  3  1 96  0  0
 1  0 180992 208540 174340 218912    0    0     0    68  612 1111  5  0 95  0  0
 1  0 180992 208540 174340 218912    0    0     0   160  535 1096  2  2 97  0  0
 1  0 180992 208540 174344 218916    0    0     4    44  670 1235  6  1 94  0  0
 0  0 180992 208540 174352 218912    0    0     0   300  589 1125  3  2 94  0  0
 0  0 180992 208540 174356 218916    0    0     0    20  527 1105  3  1 96  0  0
 0  0 180992 208540 174356 218916    0    0     0     0  555 1136  3  0 97  0  0
 0  0 180992 208540 174356 218916    0    0     0     0  539 1017  4  1 95  0  0
 0  0 180992 208540 174356 218916    0    0     0     0  587 1118  5  1 94  0  0
 2  0 180992 208540 174356 218916    0    0     0     0  559 1111  4  1 96  0  0
 0  0 180992 208540 174356 218916    0    0     0     8  575 1008  4  0 95  0  0
 1  0 180992 208540 174368 218916    0    0     0    36  622 1100  5  1 94  0  0
 0  0 180992 208540 174376 218908    0    0     0   156  564 1122  2  1 97  1  0
 0  0 180992 208540 174376 218916    0    0     0    36  648 1112  6  1 92  0  0
 0  0 180992 208540 174388 218904    0    0     0   240  618 1179  4  2 95  0  0
 0  0 180992 208540 174392 218916    0    0     0    36  575 1107  5  0 95  1  0
 0  0 180992 208540 174392 218916    0    0     0     0  581 1077  4  1 96  0  0
 0  0 180992 208540 174400 218908    0    0     0   160  588 1162  4  1 95  0  0
 0  0 180992 208416 174412 218916    0    0     0    36  664 1253  6  1 93  0  0
 1  0 180992 208416 174416 218912    0    0     0    20  698 1141  6  1 93  0  0
 0  0 180992 208416 174416 218916    0    0     0     0  570 1027  4  1 95  0  0
 0  0 180992 208416 174416 218916    0    0     0    20  577 1163  5  1 94  0  0
 0  0 180992 208416 174424 218908    0    0     0   320  594 1150  5  1 94  0  0
 0  0 180992 208448 174428 218916    0    0     0    68  665 1257  7  2 91  0  0
 0  0 180992 208448 174440 218908    0    0     0   404  587 1157  4  1 95  0  0
 0  0 180992 208448 174444 218916    0    0     0    20  531 1090  4  0 96  0  0
 0  0 180992 208448 174444 218916    0    0     0   100  591 1165  4  2 94  0  0
 0  0 180992 208448 174444 218916    0    0     0     0  585 1158  5  0 95  0  0
 0  0 180992 208324 174444 218916    0    0     0     0  603 1210  3  2 95  0  0
 0  0 180992 208324 174444 218916    0    0     0     0  590 1172  4  1 94  0  0
 0  0 180992 208324 174444 218916    0    0     0     0  618 1210  4  1 95  0  0
 0  0 180992 208324 174452 218916    0    0     0    28  630 1199  5  1 94  0  0
 0  0 180992 208324 174468 218900    0    0     0   160  583 1138  4  1 95  0  0
 0  0 180992 208324 174484 218916    0    0     0    36  624 1130  5  2 94  0  0
 0  0 180992 208324 174492 218916    0    0     0    20  701 1177  7  1 92  0  0
 1  0 180992 208164 174504 218904    0    0     0   220  746 1368 14  2 83  0  0
 0  0 180992 208196 174504 218920    0    0     0     0  594 1177  5  1 94  0  0
 0  0 180992 208196 174508 218920    0    0     0    28  569 1109  4  2 94  0  0
 0  0 180992 208196 174508 218920    0    0     0     0  577 1230  4  1 95  0  0
 0  0 180992 208196 174508 218920    0    0     0     0  521 1097  4  1 95  0  0
 0  0 180992 208196 174508 218920    0    0     0     0  605 1150  4  2 94  0  0
 0  0 180992 208196 174508 218928    0    0     4    32  576 1140  5  1 95  0  0
 0  0 180992 208196 174512 218928    0    0     0   168  567 1017  3  1 96  0  0
 0  0 180992 208196 174512 218928    0    0     0    36  626 1199  7  1 93  0  0
 0  0 180992 208196 174524 218928    0    0     0   240  593 1126  5  1 93  0  0
 1  0 180992 208196 174536 218928    0    0     0    36  622 1080  9  1 89  0  0
 0  0 180992 208228 174536 218928    0    0     0     0  596 1023  5  0 95  0  0
 0  0 180992 208228 174552 218912    0    0     0   156  543 1044  3  1 95  0  0
 0  0 180992 208228 174556 218928    0    0     0    36  671 1287  5  2 93  0  0
 0  0 180992 208228 174556 218928    0    0     0    20  668 1246  4  2 93  0  0
 0  0 180992 208228 174556 218928    0    0     0     0  657 1249  3  1 96  0  0
 0  0 180992 208228 174556 218928    0    0     0    20  624 1178  5  1 94  0  0
 0  0 180992 208228 174568 218916    0    0     0   324  586 1119  3  2 95  0  0
 0  0 180992 208228 174580 218928    0    0     0    84  716 1237  7  2 91  0  0
 0  0 180992 208228 174588 218920    0    0     0   384  591 1188  3  1 95  0  0
 1  0 180992 208292 174588 218932    0    0     0     0 1061 1909 32  2 66  0  0
