procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 297216 208068 323692 485876    0    1     4    84   64   22  8  1 91  0  0
 0  0 297216 208316 323692 485900    0    0    12   220  729 1567  4  0 96  1  0
 0  0 297216 208348 323692 485900    0    0     0  2736  766 1592  6  2 92  1  0
 0  0 297216 208100 323692 485900    0    0     0     8  567 1187  3  1 97  0  0
 0  0 297216 208100 323692 485904    0    0     4   324  696 1363  6  2 92  0  0
 0  0 297216 208100 323692 485904    0    0     0    20  620 1054  2  0 98  0  0
 0  0 297216 208036 323692 485904    0    0     0  2516  602 1168  2  1 97  1  0
 1  0 297216 208036 323692 485904    0    0     0     0  513 1051  3  0 97  0  0
 0  0 297216 208036 323692 485904    0    0     0   492  486  986  3  1 96  0  0
 0  0 297216 208036 323692 485904    0    0     0     0  519  982  2  0 98  0  0
 0  0 297216 208036 323692 485904    0    0     0     0  468  896  2  1 97  0  0
 0  0 297216 208036 323692 485904    0    0     0     0  484  963  3  1 97  0  0
 0  0 297216 208036 323692 485904    0    0     0    56  520 1006  4  0 96  0  0
 0  0 297216 207912 323692 485904    0    0     0    16  451 1041  2  1 97  0  0
 0  0 297216 207912 323696 485904    0    0     0   220  585 1171  4  1 95  1  0
 0  0 297216 207912 323696 485904    0    0     0     0  587 1077  3  0 97  0  0
 0  0 297216 207912 323696 485904    0    0     0   236  540 1123  3  0 97  0  0
 0  0 297216 207912 323696 485904    0    0     0     0  507 1010  2  1 97  0  0
 0  0 297216 207912 323696 485904    0    0     0     0  461  906  2  0 98  0  0
 0  0 297216 207912 323696 485904    0    0     0     0  614 1093  4  1 95  0  0
 0  0 297216 207944 323696 485904    0    0     0    20  529  976  4  1 96  0  0
 0  0 297216 207944 323696 485904    0    0     0     0  511  978  3  1 97  0  0
 0  0 297216 207944 323696 485904    0    0     0   188  582 1213  5  1 93  1  0
 0  0 297216 207944 323696 485904    0    0     0     0  517 1142  2  1 97  0  0
 0  0 297216 207944 323696 485904    0    0     4   372  625 1243  5  1 94  1  0
 0  0 297216 207944 323696 485908    0    0     0     0  492 1061  3  1 96  0  0
 0  0 297216 207944 323696 485908    0    0     0   340  630 1253  3  1 96  0  0
 0  0 297216 207944 323696 485908    0    0     0     0  601 1189  3  1 96  0  0
 1  0 297216 207944 323696 485908    0    0     0     0  568 1175  2  1 97  0  0
