procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 304640 207596 276380 507152    0    1     4    85   12    2  8  1 90  0  0
 2  0 304640 207696 276384 507220    0    0    32   644 1827 3277 45  3 51  1  0
 3  0 304640 181276 276384 507256    0    0    20   616 1647 3488 76 12 12  1  0
 1  0 304640 195360 276384 507276    0    0     0   244 1442 3156 58 16 26  0  0
 1  0 304640 195484 276384 507276    0    0     0   116  655 1394 11  2 88  0  0
 1  0 304640 195168 276384 507276    0    0     0    84  682 1290 11  1 89  0  0
 1  0 304640 195200 276384 507276    0    0     0   248  647 1355  7  2 92  0  0
 0  0 304640 195200 276384 507276    0    0     0   140  770 1626 16  1 83  1  0
 0  0 304640 195200 276384 507280    0    0     4   152  691 1376  6  1 93  0  0
 0  0 304640 195076 276384 507280    0    0     4   288 1047 1874 26  2 72  1  0
 1  0 304640 195172 276384 507316    0    0     0  6524  849 1746  7  2 91  0  0
 0  0 304640 195076 276384 507316    0    0     0  3524  679 1415  4  2 94  1  0
 0  0 304640 195172 276384 507332    0    0     0    20  592 1191  4  0 96  0  0
 0  0 304640 195132 276384 507332    0    0     0   164  638 1299  3  1 96  0  0
 1  0 304640 195172 276384 507332    0    0     0     0  628 1275 10  0 91  0  0
 1  0 304640 186956 276384 507332    0    0     0    60  888 1753 23  3 74  0  0
 1  0 304640 181280 276384 507332    0    0     0    72 1064 2208 47  4 49  0  0
 2  0 304640 177188 276384 507332    0    0     0     0 1337 2437 53  2 46  0  0
 1  0 304640 177000 276384 507464    0    0     0    84 1429 2456 43  3 53  0  0
 0  0 304640 176844 276384 507468    0    0     4   140  926 1670 14  1 85  1  0
 0  0 304640 176876 276384 507472    0    0     0  3648  626 1399  4  1 95  0  0
 0  0 304640 176876 276384 507472    0    0     0    20  583 1192  3  0 96  0  0
 1  0 304640 176908 276384 507472    0    0     0    20  702 1238  5  1 94  0  0
 0  0 304640 176652 276388 507468    0    0     0   172  606 1128  3  1 96  0  0
 4  0 304640 176660 276388 507472    0    0     0     0  525 1015  3  0 97  0  0
 0  0 304640 176660 276388 507472    0    0     0    20  616 1176  6  0 95  0  0
 0  0 304640 176660 276388 507472    0    0     0   432  567 1188  2  1 97  1  0
 0  0 304640 176660 276388 507472    0    0     0     0  494 1106  2  1 97  0  0
 0  0 304640 176692 276388 507476    0    0     4    84 1180 1998 30  3 68  0  0
 0  0 304640 176500 276388 507480    0    0     0    20  561 1133  2  1 97  0  0
 0  0 304640 176500 276388 507480    0    0     0   440  568 1210  3  0 96  1  0
 0  0 304640 176500 276388 507480    0    0     0     0  607 1201  2  1 97  0  0
 0  0 304640 176500 276388 507480    0    0     0    60  634 1152  3  1 96  0  0
 0  0 304640 176500 276388 507480    0    0     0   176  599 1196  3  0 97  0  0
 0  0 304640 176500 276388 507480    0    0     0     0  533 1031  3  1 97  0  0
