procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 206080 225940 176584 236296    0    1     5   101   31   28 10  2 88  0  0
 2  0 206080 226424 176716 236396   32    0    68   756 1518 3057 49  4 46  1  0
 2  0 206080 207916 176784 236404    0    0    28   536 1486 2660 62  7 31  1  0
 3  0 206080 208104 176820 236444    0    0     4   408 1681 3743 73 22  5  0  0
 0  0 206080 213432 176824 236448    0    0     0   180  933 1877 12  8 81  0  0
 4  0 206080 213432 176840 236452    0    0     0   156  825 1417 12  2 85  0  0
 0  0 206080 213464 176856 236436    0    0     0   192  804 1345 12  1 87  0  0
 1  0 206080 213340 176884 236540    0    0     0  6568  799 1855 11  2 87  1  0
 0  0 206080 213308 176888 236548    0    0     0    20  697 1331  9  1 89  0  0
 0  0 206080 213372 176896 236540    0    0     0  1828  594 1282  3  2 95  1  0
 1  0 206080 211916 176908 236552    0    0     0    36  817 1851 46  1 53  0  0
 0  0 206080 211576 176920 236556    0    0     4   840  768 1404 17  2 82  0  0
 0  0 206080 211576 176928 236556    0    0     0    56  678 1250  5  2 93  0  0
 0  0 206080 211452 176936 236548    0    0     0  1132  713 1407  3  2 95  1  0
 0  0 206080 211452 176944 236560    0    0     4    24  676 1219  4  1 95  0  0
 0  0 206080 211452 176956 236548    0    0     0   240  626 1217  3  1 95  1  0
 1  0 206080 202676 176956 236604    0    0    44    36  876 1660 22  3 76  0  0
 2  0 206080 201408 176960 236600    0    0     0    68 1369 2348 53  2 45  0  0
 1  0 206080 193092 177096 236904    0    0   424   104 1644 3212 67  3 30  0  0
 1  0 206080 192716 177104 236904    0    0     0    56 1587 2653 44  3 53  0  0
 0  0 206080 192748 177120 236920    0    0     4    60 1032 1761 21  2 78  0  0
 0  0 206080 192780 177128 236920    0    0     0   716  689 1365  3  1 96  1  0
 0  0 206080 192812 177140 236912    0    0     0    52  703 1316  6  0 93  0  0
 0  0 206080 192184 177148 236920    0    0     0   336  593 1274  3  2 96  0  0
 0  0 206080 192192 177148 236920    0    0     0     0  543 1109  3  1 97  0  0
 1  0 206080 192192 177156 236912    0    0     4    40  667 1216  6  1 93  0  0
 0  0 206080 192192 177156 236924    0    0     0     0  544 1065  3  0 96  0  0
 0  0 206080 192192 177172 236908    0    0     0   236  552 1141  2  1 97  1  0
 0  0 206080 192192 177172 236924    0    0     0     0  580 1108  4  1 96  0  0
 0  0 206080 192192 177172 236924    0    0     0     0  641 1078  3  1 96  0  0
 0  0 206080 192192 177176 236924    0    0     0    24  533 1082  3  1 96  0  0
 0  0 206080 192192 177196 236904    0    0     0   564  549 1104  2  2 96  1  0
 0  0 205824 192192 177196 236924    0    0     0    80  657 1277  5  1 95  0  0
 0  0 205824 191936 177212 236908    0    0     0   304  714 1415  3  2 95  0  0
 0  0 205824 191944 177212 236924    0    0     0     0  655 1292  3  2 95  0  0
 0  0 205824 191944 177220 236916    0    0     0    20  685 1328  4  1 95  1  0
 0  0 205824 191944 177220 236924    0    0     0     0  667 1322  3  1 95  0  0
 0  0 205824 191944 177236 236908    0    0     0   196  682 1411  3  1 96  0  0
 0  0 205824 191944 177236 236924    0    0     0     0  607 1279  3  1 96  0  0
 0  0 205824 191944 177236 236924    0    0     0     0  621 1281  3  1 96  0  0
 0  0 205824 191944 177240 236936    0    0     8    48  614 1255  3  2 95  0  0
 0  0 205824 191944 177260 236936    0    0     0   272  547 1203  2  1 97  1  0
