procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 508964  48332 344104    0    0   247    81  403  802 14  2 85  0  0
 1  0      0 506856  48396 344200    0    0    20   268 1630 2888 52  2 46  1  0
 2  0      0 505644  48580 344244    0    0    32   628 1412 2707 47  4 48  1  0
 3  0      0 498188  48668 344288    0    0    12   516 1620 3305 80 13  7  0  0
 1  0      0 501012  48692 344336    0    0     0   264 1494 3240 57 13 29  0  0
 0  0      0 500648  48708 344320    0    0     0   180  865 1498 12  1 87  0  0
 0  0      0 499928  48724 344336    0    0     0   156  684 1298 10  2 89  0  0
 0  0      0 499928  48748 344336    0    0     0   144  658 1222  5  1 94  0  0
 1  0      0 499680  48780 344312    0    0     4  3296  623 1388  5  1 94  1  0
 0  0      0 499464  48820 344348    0    0     0  3628  957 1858 24  2 74  1  0
 0  0      0 499464  48836 344332    0    0     0  1736  564 1286  4  1 96  1  0
 1  0      0 499372  48844 344352    0    0     0    20  582 1120  7  1 92  0  0
 1  0      0 490336  48868 344352    0    0     0    52 1160 2147 53  3 44  0  0
 0  0      0 485060  48900 344356    0    0     8   168  786 1500 16  2 82  0  1
 0  0      0 484936  48916 344364    0    0     0  1284  592 1113  3  0 96  1  0
 0  0      0 484936  48924 344364    0    0     0    20  640 1150  3  1 96  0  0
 0  0      0 484936  48924 344364    0    0     0     0  552 1061  3  1 96  0  0
 0  0      0 484936  48932 344356    0    0     0    20  579 1145  5  1 95  0  0
 0  0      0 484844  48972 344332    0    0     0   224  615 1269  6  0 93  1  0
 1  0      0 475944  48980 344364    0    0     0    52 1242 2235 49  3 48  0  0
 1  0      0 467108  48980 344364    0    0     0     0 1125 1832 49  3 48  0  0
 1  0      0 466016  48988 344368    0    0     0    68 1573 2843 46  3 50  0  0
 0  0      0 465676  48996 344372    0    0     0    48 1137 2144 33  3 64  0  0
 0  0      0 465740  49004 344380    0    0     0    44  608 1234  4  0 96  0  0
 0  0      0 465740  49020 344364    0    0     0   520  656 1311  4  1 95  1  0
 0  0      0 465600  49028 344380    0    0     0    20  644 1159  3  1 96  0  0
 1  0      0 463880  49028 344380    0    0     0     0  876 1523 27  2 71  0  0
 0  0      0 463944  49044 344388    0    0     4    68  721 1431 15  1 84  1  0
 0  0      0 463944  49052 344380    0    0     0    20  671 1182  8  1 92  0  0
 0  0      0 463512  49068 344396    0    0     4    76 1177 1946 28  1 71  0  0
 0  0      0 432600  49068 344396    0    0     0     0  640 1156 12  4 85  0  0
 1  0      0 432600  49084 344396    0    0     0    68  689 1287  6  1 93  0  0
 2  0      0 432600  49100 344396    0    0     0   652  637 1276  4  1 95  1  0
 0  0      0 432600  49140 344380    0    0     8   128  652 1298  4  1 95  1  0
 1  0      0 432600  49164 344416    0    0     0   212  696 1329  7  0 93  0  0
 0  0      0 432280  49180 344400    0    0     0  3172  719 1466  6  1 93  0  0
 1  0      0 432288  49188 344416    0    0     0    20  524  977  2  1 97  1  0
 0  0      0 432288  49196 344408    0    0     0    20  590 1063  4  1 96  0  0
 0  0      0 432288  49204 344416    0    0     0    20  542  962  4  0 96  0  0
 0  0      0 432288  49228 344400    0    0     0   536  532 1119  3  1 96  0  0
 0  0      0 432320  49244 344416    0    0     0   288  520  957  3  1 97  0  0
 0  0      0 432320  49252 344416    0    0     0    20  541  982  3  0 97  0  0
 0  0      0 432320  49252 344416    0    0     0     0  478 1086  2  1 96  0  0
 0  0      0 432320  49268 344400    0    0     4    40  494 1161  3  1 96  1  0
 0  0      0 432312  49284 344428    0    0     0   320  526 1140  3  0 97  0  0
 0  0      0 432132  49292 344432    0    0     0    20  555 1125  3  1 96  0  0
 0  0      0 432220  49292 344432    0    0     0     0  567 1073  3  1 96  0  0
 0  0      0 432220  49300 344424    0    0     0    20  585 1021  4  0 95  0  0
 0  0      0 432220  49316 344432    0    0     0    36  610 1113  5  1 94  0  0
