procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 304640 210012 276260 505144    0    1     4    85   11    0  8  1 90  0  0
 2  0 304640 210340 276260 505168    0    0    16   256 1670 3139 50  3 47  1  0
 2  0 304640 206252 276260 505188    0    0    28   576 1505 2711 52  4 43  1  0
 2  0 304640 194080 276260 505228    0    0    12   592 1492 3471 74 21  5  0  0
 0  0 304640 208016 276260 505240    0    0     0   180 1060 2158 35  7 58  0  0
 0  0 304640 208048 276260 505240    0    0     0   120  764 1237 10  2 88  1  0
 0  0 304640 208048 276260 505240    0    0     0   108  771 1461 10  1 89  0  0
 2  0 304640 208048 276260 505240    0    0     0   128  720 1332  7  1 92  1  0
 1  0 304640 208048 276260 505240    0    0     0   128  611 1213  7  2 92  0  0
 0  0 304640 208048 276260 505240    0    0     0   124  776 1396 13  1 86  0  0
 1  0 304640 208048 276260 505240    0    0     0  6568  694 1692  5  2 93  1  0
 1  0 304640 204792 276260 505260    0    0     4   112 1254 2201 56  2 42  0  0
 1  0 304640 194276 276264 505264    0    0     4   120 1012 1800 27  2 70  1  0
 0  0 304640 194308 276264 505264    0    0     0     0  699 1253  7  1 92  0  0
 0  0 304640 194340 276264 505272    0    0     4    28  771 1410 11  1 89  0  0
 0  0 304640 194340 276264 505272    0    0     0  2364  591 1358  2  1 97  1  0
 0  0 304640 194404 276264 505272    0    0     0    24  516 1095  2  1 97  1  0
 1  0 304640 191056 276264 505272    0    0     0    56  760 1464 15  3 82  0  0
 2  0 304640 185784 276264 505272    0    0     0    52 1241 2098 51  2 47  0  0
 1  0 304640 176636 276264 505272    0    0     0     0 1224 2222 48  3 49  0  0
 1  0 304640 175740 276264 505292    0    0    12     0 1220 2271 44  3 53  0  0
 0  0 304640 175772 276268 505292    0    0     0   336  975 1844 26  3 71  1  0
 0  0 304640 175772 276268 505296    0    0     0   620  584 1259  2  1 97  0  0
