r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
-0.41868456776882257,-0.41870463257985113,-0.41870463257985113,1.7415130523768536,1.0087060239918266,3.3821725205600552,-0.41870463257985113,-0.41870463257985113,-0.4184738872530227,-0.4176813272173946,-0.4152835822994818,-0.4122136662121123,-0.41859427611919403,-0.41868456776882257,-0.4178318133001088,-0.41870463257985113,-0.41870463257985113
-0.41869460017433685,-0.41870463257985113,-0.41870463257985113,1.7452451072281656,1.0087862832359409,3.3825738167806265,-0.41870463257985113,-0.41870463257985113,-0.41870463257985113,-0.4177816512725374,-0.4068663940730014,-0.39823852533072107,-0.41820301230413714,-0.41868456776882257,-0.4182230771151657,-0.41870463257985113,-0.41870463257985113
-0.41868456776882257,-0.41870463257985113,-0.41870463257985113,1.7452049776061085,1.0110335420711394,3.3831356314894263,-0.41870463257985113,-0.41870463257985113,-0.41830333635927996,-0.41204311531836957,-0.4037362835525462,-0.38721291167052796,-0.41823310952068,-0.418664502957794,-0.41823310952068,-0.41868456776882257,-0.41870463257985113
-0.418664502957794,-0.41870463257985113,-0.41870463257985113,1.679593045542721,1.0128795046857668,3.38377770544234,-0.41870463257985113,-0.41870463257985113,-0.41834346598133704,-0.41132078212134143,-0.4041375797731174,-0.3852365277842149,-0.4179923317883373,-0.41858424371367975,-0.4185340816861084,-0.41869460017433685,-0.41870463257985113
-0.41870463257985113,-0.41870463257985113,-0.41870463257985113,1.6259397408523546,1.0131202824181096,3.384379649773197,-0.41870463257985113,-0.41870463257985113,-0.418664502957794,-0.4167784107211095,-0.4038867696352604,-0.38713265242641376,-0.4179722669773087,-0.4185641789026512,-0.41857421130816547,-0.41870463257985113,-0.41870463257985113
-0.4186745353633083,-0.41870463257985113,-0.41870463257985113,1.6259397408523546,1.013280800906338,3.384379649773197,-0.41870463257985113,-0.41870463257985113,-0.41870463257985113,-0.4170994476975664,-0.411842467208084,-0.4065152598800016,-0.4186544705522797,-0.41868456776882257,-0.41777161886702313,-0.41870463257985113,-0.41870463257985113
-0.41870463257985113,-0.41870463257985113,-0.41870463257985113,1.62433455597007,1.0135215786386809,3.384379649773197,-0.41870463257985113,-0.41870463257985113,-0.41870463257985113,-0.416617892232881,-0.40904342606960004,-0.4031142744106609,-0.41845382244199414,-0.4186745353633083,-0.417982299382823,-0.41870463257985113,-0.41870463257985113
-0.41870463257985113,-0.41870463257985113,-0.41870463257985113,1.6229300191980707,1.0137623563710234,3.384379649773197,-0.41870463257985113,-0.41870463257985113,-0.41870463257985113,-0.41758100316225183,-0.41091948590077026,-0.40541169527343085,-0.4186544705522797,-0.41869460017433685,-0.41777161886702313,-0.41870463257985113,-0.41870463257985113
-0.41870463257985113,-0.41870463257985113,-0.41870463257985113,1.6230905376862992,1.0140031341033662,3.384379649773197,-0.41870463257985113,-0.41870463257985113,-0.41870463257985113,-0.41762113278430896,-0.41299619384222613,-0.40771914854171515,-0.418664502957794,-0.41869460017433685,-0.4177415216504803,-0.41870463257985113,-0.41870463257985113
-0.41870463257985113,-0.41870463257985113,-0.41870463257985113,1.623732611639213,1.0144846895680517,3.3842191312849685,-0.41870463257985113,-0.41870463257985113,-0.41870463257985113,-0.35265127467383534,-0.40960524077839966,-0.39794758557080695,-0.4185340816861084,-0.41869460017433685,-0.41790204013870874,-0.41869460017433685,-0.41870463257985113
