procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 189440 239420 171752 216736    0    2     6   101  335  289 10  2 88  0  0
 1  0 189184 239612 171800 216932    0    0    40   856 1418 3106 48  3 48  1  0
 4  0 189184 228596 171832 216896    0    0    28   580 1560 3320 71 14 15  1  0
 0  0 189184 227308 171844 217028    0    0    56   304 1515 3263 55 13 32  0  0
 1  0 189184 227240 171856 217020    0    0     0   156  805 1402 13  1 86  0  0
 1  0 189184 227272 171868 217028    0    0     0   152  820 1441 15  2 84  0  0
 0  0 189184 227272 171884 217012    0    0     4   172  969 1812 32  2 65  0  0
 0  0 189184 227336 171888 217036    0    0     0   140  587 1142  3  1 96  0  0
 0  0 189184 227120 171904 217020    0    0     4   280  966 1792 29  3 67  0  0
 1  0 189184 227244 171920 217044    0    0     0   820  627 1245  3  1 96  0  0
 0  0 189184 226776 171928 217412    0    0     0  6516  776 1672  4  2 94  1  0
 0  0 189184 226532 171948 217764    0    0     0  2768  732 1536  5  2 93  1  0
 0  0 189184 226532 171956 217756    0    0     4    28  588 1185  4  1 95  0  0
 1  0 189184 226532 171964 217768    0    0     0    20  586 1179  5  1 95  0  0
 1  0 189184 217944 171976 217768    0    0     0   348  899 1600 19  3 78  0  0
 2  0 189184 217416 171976 217768    0    0     0    52  943 1962 51  2 47  1  0
 1  0 189184 209012 171976 217768    0    0     0     0 1075 2155 50  4 47  0  0
 1  0 189184 208048 171976 217772    0    0     0     0 1366 2351 43  2 55  0  0
 1  0 189184 207956 171976 217900    0    0     0    68  955 1711 26  2 72  0  0
 0  0 189184 207692 171980 217900    0    0     0    56  709 1456  8  2 90  0  0
 0  0 189184 207708 171980 217900    0    0     0     0  530 1106  3  1 96  0  0
 0  0 189184 207708 171988 217892    0    0     0   728  598 1290  5  1 95  0  0
 0  0 189184 207708 171988 217900    0    0     0     0  567 1134  3  1 96  0  0
 0  0 189184 207740 172000 217900    0    0     0    52  661 1204  5  1 93  0  0
 0  0 189184 207740 172004 217900    0    0     0    20  601 1318  7  1 92  0  0
 1  0 189184 207740 172004 217900    0    0     0   452  515 1221  4  1 95  0  0
 0  0 189184 207740 172004 217900    0    0     0    20  551 1291  4  1 95  0  0
 0  0 189184 207548 172004 217900    0    0     0     0 1001 1768 30  2 68  0  0
 0  0 189184 207580 172004 217908    0    0     4    56  760 1168 21  1 78  0  0
 0  0 189184 207580 172012 217900    0    0     0   224  635 1229  4  1 95  0  0
 0  0 189184 207580 172016 217908    0    0     0    20  572 1134  4  0 96  0  0
 0  0 189184 207580 172020 217904    0    0     0    36  598 1240  2  2 96  1  0
 0  0 189184 207580 172020 217908    0    0     0     0  614 1182  3  1 95  0  0
 0  0 189184 207580 172020 217912    0    0     0    20  686 1317  4  1 94  0  0
 0  0 189184 207580 172028 217908    0    0     0    20  632 1231  4  1 95  0  0
 0  0 189184 207580 172032 217904    0    0     0   484  577 1174  2  1 97  0  0
 0  0 189184 207580 172036 217924    0    0     0    20  564 1111  3  1 95  0  0
 0  0 189184 207580 172036 217924    0    0     0     0  464 1021  2  0 98  0  0
 0  0 189184 207580 172036 217924    0    0     0     0  509 1004  3  1 97  0  0
 0  0 189184 207580 172036 217924    0    0     0     0  568 1066  3  2 96  0  0
 0  0 189184 207580 172036 217924    0    0     0    16  516 1000  3  1 95  0  0
 0  0 189184 207580 172040 217920    0    0     4    68  609 1183  4  1 95  0  0
