procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 200704 234120 177948 224448    0    2     6   101   17    1 10  2 88  0  0
 0  0 200704 234672 178080 224432   32    0    60   764 1632 3192 54  3 43  1  0
 4  0 200704 231368 178140 224552    0    0    24   480 1394 2766 61  9 29  0  0
 1  0 200704 226636 178172 224700    0    0   104   396 1549 3348 68 21 11  0  0
 0  0 200704 232096 178184 224676    0    0     0   208  898 1940 16  6 77  1  0
 1  0 200704 232128 178196 224684    0    0     0   176  774 1328 15  1 84  0  0
 2  0 200704 232160 178200 224680    0    0     0   124  786 1385  9  1 90  0  0
 0  0 200704 232160 178204 224684    0    0     0   132  640 1099  4  2 95  0  0
 1  0 200704 232160 178220 224668    0    0     0  6524  785 1609 10  2 88  1  0
 0  0 200704 232224 178220 224716    0    0     0    20  729 1336 19  1 80  0  0
 0  0 200704 232224 178228 224708    0    0     0  1948  573 1295  3  2 95  1  0
 0  0 200704 220128 178260 224752    0    0     4   188 1093 1949 36  2 62  0  0
 1  0 200704 220128 178264 224748    0    0     0   904  607 1278  3  1 95  0  0
 0  0 200704 220128 178268 224756    0    0     4    32  526 1095  4  1 96  0  0
 0  0 200704 219880 178276 224760    0    0     4    24  611 1167  4  1 95  0  0
 0  0 200704 219880 178288 224756    0    0     0    36  569 1182  4  0 96  0  0
 0  0 200704 219880 178300 224760    0    0     0   516  603 1223  2  2 96  1  0
 1  0 200704 211260 178308 224756    0    0     0    68  831 1581 17  3 80  0  0
 1  0 200704 203104 178308 224764    0    0     0     0 1305 2420 48  3 49  0  0
 1  0 200704 202144 178312 224760    0    0     0    72 1306 2228 46  3 50  0  0
 0  0 200704 201984 178312 224772    0    0     0     0 1315 2341 44  4 51  0  0
 0  0 200704 202016 178312 224776    0    0     0     0  653 1336  9  0 91  0  0
 0  0 200704 202016 178324 224764    0    0     0   264  636 1277  3  1 96  0  0
 0  0 200704 202016 178328 224776    0    0     0    24  534 1037  3  1 96  0  0
 1  0 200704 201768 178340 224764    0    0     4    72  645 1178  4  1 95  1  0
 0  0 200704 201768 178356 224780    0    0     0    76  609 1039  4  1 92  2  0
 0  0 200704 201672 178380 224756    0    0     0  4032  686 1332  3  2 95  1  0
 0  0 200704 201768 178388 224780    0    0     0    36  625 1186  6  1 93  0  0
 0  0 200704 201768 178400 224768    0    0     0   272  556 1067  3  1 96  0  0
 0  0 200704 201768 178404 224780    0    0     0   288  566 1013  3  1 97  0  0
 0  0 200704 201768 178404 224780    0    0     0    20  583 1107  4  1 95  0  0
 0  0 200704 201768 178412 224780    0    0     0    20  647 1068  4  0 95  0  0
 0  0 200704 201768 178412 224780    0    0     0     0  579 1112  4  1 96  0  0
 0  0 200704 201768 178424 224788    0    0     8    44  624 1143  3  2 96  0  0
 0  0 200704 201644 178440 224792    0    0     4   720  678 1317  5  2 93  0  0
 0  0 200704 201644 178448 224792    0    0     0    20  578 1053  4  1 95  0  0
 0  0 200704 201644 178460 224780    0    0     0   776  635 1115  3  1 95  0  0
 0  0 200704 201644 178460 224792    0    0     0    24  610 1187  4  1 96  0  0
 0  0 200704 201644 178468 224784    0    0     0   236  551 1132  4  1 95  0  0
 0  0 200704 201644 178468 224792    0    0     0     0  520  976  4  0 96  0  0
 0  0 200704 201644 178476 224784    0    0     0    20  562  992  2  2 95  0  0
 0  0 200704 201644 178476 224792    0    0     0     0  694 1087  7  1 93  0  0
 0  0 200704 201708 178484 224788    0    0     4    32  755 1249 11  1 88  0  0
 0  0 200704 201708 178488 224800    0    0     4    28  528  991  2  1 97  0  0
 1  0 200704 201708 178492 224800    0    0     0    20  502 1098  3  2 95  0  0
 0  0 200704 201708 178496 224804    0    0     0    20  513 1047  4  1 96  0  0
 0  0 200704 201708 178508 224792    0    0     0   520  577 1018  2  1 97  0  0
 0  0 200704 201740 178512 224804    0    0     0    20  559 1072  4  2 95  0  0
 0  0 200704 201740 178520 224796    0    0     0   172  586 1108  2  1 96  1  0
 0  0 200704 201740 178528 224804    0    0     0    36  506  969  2  1 98  0  0
 0  0 200704 201740 178528 224804    0    0     0     0  519  999  3  1 97  0  0
 0  0 200704 201740 178528 224804    0    0     0     0  528 1015  3  1 97  0  0
 0  0 200704 201740 178528 224804    0    0     0     0  550  976  2  1 97  0  0
 0  0 200704 201740 178540 224808    0    0     4    68  526  988  3  1 96  0  0
 0  0 200704 201608 178544 224804    0    0     0    24  589 1198  4  1 95  0  0
 1  0 200704 201616 178544 224808    0    0     0    20  508 1087  4  1 96  1  0
 0  0 200704 201616 178560 224792    0    0     0   480  596 1219  3  1 95  0  0
 0  0 200704 201616 178572 224808    0    0     0    56  722 1417  5  2 93  0  0
 0  0 200704 201616 178580 224800    0    0     0   320  610 1231  3  1 95  0  0
 0  0 200704 201616 178580 224808    0    0     0    20  541 1113  3  0 97  0  0
 0  0 200704 201616 178588 224800    0    0     0   152  609 1217  5  1 95  0  0
 0  0 200704 201616 178588 224812    0    0     4    24  591 1118  4  2 94  0  0
 0  0 200704 201616 178604 224796    0    0     0   224  565 1109  2  1 97  0  0
 1  0 200704 201456 178604 224816    0    0     0    48  839 1453 27  2 71  1  0
 0  0 200704 201488 178620 224800    0    0     4    80  893 1683 23  1 76  0  0
 0  0 200704 201488 178624 224820    0    0     0    36  526 1099  4  2 95  0  0
 0  0 200704 201488 178632 224812    0    0     0   612  580 1077  3  1 96  1  0
 0  0 200704 201488 178636 224820    0    0     0    20  587 1081  4  1 95  0  0
 0  0 200704 201488 178644 224812    0    0     0   172  586 1068  2  2 96  0  0
 0  0 200704 201488 178644 224820    0    0     0    20  499  988  4  1 95  0  0
 0  0 200704 201488 178644 224820    0    0     0     0  503 1004  3  1 97  0  0
 0  0 200704 201520 178644 224820    0    0     0     0  585 1043  4  0 96  0  0
 0  0 200704 201520 178644 224820    0    0     0     0  576 1093  3  1 96  0  0
 0  0 200704 201520 178644 224820    0    0     0     0  458 1018  2  1 97  0  0
 0  0 200704 201520 178644 224820    0    0     0    24  635 1163  4  2 94  0  0
 0  0 200704 201520 178652 224820    0    0     0    28  643 1045  6  1 93  0  0
 0  0 200704 201520 178656 224816    0    0     0   352  606 1010  4  2 94  0  0
 2  0 200704 201520 178656 224820    0    0     0    20  572 1023  3  1 96  0  0
 0  0 200704 201520 178664 224812    0    0     0   236  601 1170  3  1 96  0  0
 0  0 200704 201520 178664 224820    0    0     0    20  546 1007  4  0 95  0  0
 0  0 200704 201520 178664 224820    0    0     0     0  606 1119  3  1 96  0  0
 0  0 200704 201520 178664 224820    0    0     0     0  493 1001  3  1 96  0  0
 0  0 200704 201520 178664 224820    0    0     0     0  492 1017  3  1 96  0  0
 0  0 200704 201520 178664 224820    0    0     0     0  448 1010  2  1 97  0  0
 0  0 200704 201388 178676 224808    0    0     0    36  526 1194  5  1 94  0  0
 0  0 200704 201396 178684 224820    0    0     0    20  566  990  5  1 94  0  0
 0  0 200704 201396 178696 224808    0    0     0   288  604 1044  3  1 97  0  0
 0  0 200704 201396 178708 224824    0    0     4    40  607 1052  5  0 94  1  0
 0  0 200704 201396 178716 224816    0    0     0   272  560 1062  2  1 97  0  0
 0  0 200704 201396 178724 224824    0    0     0    20  547 1064  3  1 96  0  0
 0  0 200704 201396 178732 224816    0    0     0    20  540 1095  4  0 96  0  0
 0  0 200704 201396 178740 224824    0    0     0    20  614 1017  3  1 96  0  0
 0  0 200704 201396 178748 224820    0    0     0   220  567 1082  3  1 96  1  0
 0  0 200704 201272 178756 224828    0    0     0    20  540 1070  2  1 97  0  0
 0  0 200704 201140 178776 224808    0    0     0    52  604 1211  5  1 94  0  0
 0  0 200704 201180 178784 224828    0    0     0    84  574 1078  4  1 95  1  0
 0  0 200704 201180 178796 224816    0    0     0   404  595 1132  3  1 97  0  0
 0  0 200704 201180 178820 224832    0    0     4    96  581 1111  3  1 96  1  0
 0  0 200704 201084 178836 224816    0    0     0  3688  593 1208  4  1 95  0  0
 0  0 200704 201116 178836 224832    0    0     0    20  491  982  2  1 97  0  0
 0  0 200704 201116 178836 224832    0    0     0     8  535  922  3  0 97  0  0
 0  0 200704 201116 178836 224832    0    0     0     0  530  921  3  0 97  0  0
 0  0 200704 201116 178836 224832    0    0     0     0  643 1153  7  1 92  0  0
 0  0 200704 201148 178836 224832    0    0     0     0  839 1694 24  1 76  0  0
 0  0 200704 200892 178836 224832    0    0     0    56  655 1304  3  2 95  1  0
 0  0 200704 200932 178836 224832    0    0     0    20  578 1188  5  1 95  0  0
 0  0 200704 200932 178844 224824    0    0     0   284  608 1293  4  1 94  0  0
 0  0 200704 200932 178852 224832    0    0     0    36  552 1120  4  0 96  0  0
 0  0 200704 200932 178860 224824    0    0     0   300  571 1109  2  2 97  1  0
 0  0 200704 200932 178868 224832    0    0     0    20  528  994  3  1 96  0  0
 0  0 200704 200932 178868 224832    0    0     0     0  518 1071  3  1 97  0  0
 0  0 200704 200932 178868 224832    0    0     0     0  520  935  3  1 97  0  0
 0  0 200704 200932 178868 224832    0    0     0     0  630 1048  4  1 94  0  0
 0  0 200704 200932 178868 224832    0    0     0     0  504  918  3  0 96  0  0
 0  0 200704 200884 178876 224824    0    0     4    40  628 1161  4  0 96  0  0
 0  0 200704 200932 178884 224836    0    0     0    20  614 1183  4  1 95  0  0
 2  0 200704 200932 178900 224820    0    0     0   352  561 1169  3  1 96  0  0
 0  0 200704 200932 178916 224836    0    0     0    52  622 1232  5  1 94  0  0
 1  0 200704 200932 178932 224820    0    0     0   336  537 1182  3  0 96  0  0
 1  0 200704 200932 178940 224836    0    0     0    20  559 1157  4  0 95  0  0
 0  0 200704 200932 178948 224828    0    0     0    20  569 1192  3  1 96  0  0
 1  0 200704 200932 178948 224836    0    0     0    20  609 1190  4  2 95  0  0
 0  0 200704 200932 178964 224820    0    0     0   220  559 1131  3  1 97  0  0
 0  0 200704 200932 178972 224836    0    0     0    20  540 1050  3  1 95  0  0
 0  0 200704 200800 178980 224828    0    0     0    36  643 1193  6  1 94  0  0
 3  0 200704 200680 178980 224840    0    0     0    20  924 1660 29  2 69  0  0
 0  0 200704 200680 178980 224840    0    0     0     0  667 1245  8  0 91  0  0
 1  0 200704 200680 178984 224840    0    0     0    48  581 1112  4  1 95  0  0
 0  0 200704 200680 178992 224832    0    0     0   384  575 1027  4  1 95  0  0
 0  0 200704 200680 178996 224840    0    0     0    20  458  996  3  1 96  0  0
 0  0 200704 200680 178996 224840    0    0     0     0  518 1025  3  1 96  0  0
 0  0 200704 200680 178996 224840    0    0     0    76  470  999  3  1 97  0  0
 0  0 200704 200680 178996 224840    0    0     0     0  513 1014  2  2 97  0  0
 0  0 200704 200680 178996 224840    0    0     0     0  509 1010  3  1 96  0  0
 0  0 200704 200680 179000 224836    0    0     4    40  577 1189  5  1 95  0  0
 0  0 200704 200712 179004 224844    0    0     0    20  631 1136  4  2 93  0  0
 0  0 200704 200712 179004 224844    0    0     0   296  579 1103  2  2 97  0  0
 1  0 200704 200712 179004 224844    0    0     0    20  596 1125  4  1 94  0  0
 1  0 200704 200712 179028 224848    0    0     0   176  564 1145  3  1 96  0  0
 1  0 200704 200588 179036 224840    0    0     0    20  535  926  2  1 97  0  0
 1  0 200704 200588 179036 224848    0    0     0     0  520 1005  4  1 95  0  0
 1  0 200704 200588 179036 224848    0    0     0     0  518  941  3  1 97  0  0
 1  0 200704 200588 179036 224848    0    0     0     0  500 1024  2  1 98  0  0
 1  0 200704 200588 179036 224848    0    0     0     0  492  851  3  1 97  0  0
 1  0 200704 231188 179548 225264    0    1     6   101   18    3 10  2 88  0  0
 1  0 200704 231316 179688 225260    0    0    36   776 1732 3433 52  3 44  2  0
 4  0 200704 208732 179752 225332    0    0    36   732 1638 3435 70 13 17  0  0
 0  0 200704 218952 179760 225412    0    0     4   276 1480 3167 50 16 34  0  0
 0  0 200704 218872 179764 225408    0    0     0   236  808 1299  9  1 90  0  0
 0  0 200704 218792 179780 225412   32    0    32   184  784 1610 14  3 83  1  0
 0  0 200704 218792 179784 225408    0    0     0   160  625 1263  3  1 96  0  0
 0  0 200704 218792 179808 225444    0    0     0  6556  754 1855  5  2 92  1  0
 0  0 200704 218792 179824 225432    0    0     0    52  900 1546 20  2 79  0  0
 0  0 200704 218856 179828 225444    0    0     0   708  566 1004  3  1 96  0  0
 1  0 200704 218732 179844 225428    0    0     0  2284  693 1446 12  1 87  1  0
 0  0 200704 216748 179868 225480    0    0     4   152 1153 1992 34  2 64  0  0
 0  0 200704 216748 179880 225468    0    0     0   904  611 1254  4  1 95  0  0
 0  0 200704 216748 179888 225480    0    0     0    20  550 1074  3  1 97  0  0
 4  0 200704 216748 179888 225480    0    0     0    12  679 1255 11  1 88  0  0
 0  0 200704 216640 179900 225484    0    0     4    80  806 1455 10  2 87  0  0
 0  0 200704 216688 179900 225484    0    0     0     0  598 1107  4  1 96  0  0
 1  0 200704 208256 179900 225484    0    0     0    56  990 1636 30  2 68  0  0
 1  0 200704 207356 179908 225492    0    0     4    56 1350 2256 50  3 48  0  0
 1  0 200704 199820 179908 225492    0    0     0     0 1005 2026 50  3 47  0  0
 2  0 200704 199324 179908 225496    0    0     0    84 1285 2197 45  4 52  0  0
 0  0 200704 199328 179912 225500    0    0     0    40 1124 2003 26  2 72  0  0
 0  0 200704 199328 179916 225496    0    0     0   604  662 1261  5  2 93  0  0
 0  0 200704 199328 179916 225500    0    0     0    20  584 1050  4  1 95  0  0
 0  0 200704 199328 179916 225500    0    0     0     0  553 1040  3  1 96  0  0
 0  0 200704 198932 179920 225496    0    0     0    52  669 1323  6  1 92  0  0
 0  0 200704 198956 179920 225500    0    0     0     0  570 1130  3  1 96  0  0
 1  0 200704 198956 179932 225488    0    0     0   304  650 1227  4  2 94  0  0
 0  0 200704 198956 179936 225500    0    0     0    20  669 1210  6  1 94  0  0
 0  0 200704 198956 179944 225492    0    0     0   532  627 1142  5  0 94  0  0
 0  0 200704 198956 179952 225500    0    0     0    24  623 1191  4  1 94  0  0
 0  0 200704 198956 179956 225496    0    0     4    40  703 1316  6  1 93  0  0
 0  0 200704 198956 179956 225504    0    0     0     0  611 1214  3  1 97  0  0
 1  0 200704 198956 179964 225496    0    0     0   288  638 1288  4  1 95  0  0
 0  0 200704 198956 179964 225504    0    0     0    20  615 1193  3  1 96  0  0
 0  0 200704 198740 179976 225500    0    0     0    96  703 1286  7  2 92  1  0
 0  0 200704 198740 179976 225504    0    0     0     0  552  984  3  1 96  0  0
 0  0 200704 198740 179980 225500    0    0     0   324  560 1089  3  1 96  0  0
 1  0 200704 198580 179988 225508    0    0     4    68 1070 1811 36  3 62  0  0
 0  0 200704 198580 179988 225512    0    0     0     0  551 1110  2  2 96  0  0
 0  0 200704 198580 180004 225496    0    0     0   336  525 1090  3  1 96  1  0
 0  0 200704 198612 180008 225512    0    0     0    20  596 1034  3  1 96  0  0
 0  0 200704 198612 180008 225512    0    0     0     0  486  973  3  1 97  0  0
 1  0 200704 198612 180008 225512    0    0     0     0  475 1019  3  1 97  0  0
 0  0 200704 198612 180008 225512    0    0     0     0  486  977  2  1 97  0  0
 0  0 200704 198620 180020 225504    0    0     0    88  644 1263  5  1 94  0  0
 2  0 200704 198612 180020 225516    0    0     0     0  563 1111  3  1 97  0  0
 0  0 200704 198612 180036 225500    0    0     0   224  540  999  3  1 96  0  0
 0  0 200704 198612 180048 225516    0    0     0   384  607 1156  4  1 96  0  0
 1  0 200704 198612 180056 225508    0    0     0   176  597 1202  4  1 95  0  0
 0  0 200704 198612 180060 225516    0    0     0    52  585 1081  3  1 96  0  0
 0  0 200704 198612 180060 225516    0    0     0     0  576 1150  5  1 94  0  0
 0  0 200704 198612 180060 225516    0    0     0     0  583 1116  3  1 96  0  0
 0  0 200704 198612 180060 225516    0    0     0     0  514 1112  4  0 96  0  0
 0  0 200704 198612 180060 225516    0    0     0     0  495 1020  1  2 98  0  0
 0  0 200704 198364 180072 225504    0    0     0    36  625 1140  5  1 94  0  0
 0  0 200704 198364 180072 225516    0    0     0     0  523 1000  3  1 97  0  0
 0  0 200704 198364 180084 225504    0    0     0   240  614 1096  5  1 94  0  0
 0  0 200704 198364 180084 225516    0    0     0    36  594 1095  5  1 95  0  0
 0  0 200704 198364 180100 225500    0    0     0   256  541 1108  3  1 95  0  0
 0  0 200704 198364 180100 225516    0    0     0   128  600 1247  3  1 96  0  0
 0  0 200704 198364 180104 225512    0    0     0    36  647 1185  7  1 92  0  0
 0  0 200704 198364 180104 225516    0    0     0     0  614 1052  2  1 97  0  0
 1  0 200704 198364 180108 225512    0    0     0   220  602 1128  4  0 96  0  0
 0  0 200704 198364 180116 225516    0    0     0    20  571 1125  2  1 97  0  0
 0  0 200704 198364 180132 225500    0    0     4   116  612 1285  7  2 92  0  0
 0  0 200704 198396 180140 225520    0    0     0    60  545 1035  3  1 97  0  0
 0  0 200704 198300 180152 225508    0    0     0  3560  640 1313  1  2 96  1  0
 0  0 200704 198364 180152 225520    0    0     0    20  597 1095  5  1 95  0  0
 0  0 200704 198364 180172 225500    0    0     0   172  488 1032  2  1 96  1  0
 0  0 200704 198364 180172 225520    0    0     0    28  497  957  2  1 97  0  0
 0  0 200704 198364 180172 225520    0    0     0     0  530 1026  3  1 97  0  0
 1  0 200704 198364 180172 225520    0    0     0     0  511  991  4  1 95  0  0
 0  0 200704 198364 180172 225520    0    0     0     0  572 1030  3  1 96  0  0
