r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
-0.4088893288465124,-0.4088963446339419,-0.4088963446339419,1.6113698035737893,0.7375394476508509,3.426073380096264,-0.4088963446339419,-0.4088963446339419,-0.4087139341607741,-0.40817371852870027,-0.40643380324617656,-0.40417471969386765,-0.4087700604602104,-0.4088823130590829,-0.4083350816395795,-0.4088963446339419,-0.4088963446339419
-0.4088893288465124,-0.4088963446339419,-0.4088963446339419,1.5521846208182664,0.737567510800569,3.4261575695454183,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.40827895534014325,-0.3996846157389678,-0.392591654647712,-0.40855958683732446,-0.40887529727165334,-0.40855257104989495,-0.4088963446339419,-0.4088963446339419
-0.4088893288465124,-0.4088963446339419,-0.4088963446339419,1.548704790253219,0.7375955739502872,3.4261575695454183,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.4085315236876063,-0.39987404199956517,-0.39363700697471216,-0.40855257104989495,-0.4088823130590829,-0.40855257104989495,-0.4088963446339419,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.5441304968491647,0.7376517002497234,3.4262417589945726,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.40855958683732446,-0.3998529946372766,-0.39214264425222206,-0.40858063419961305,-0.4088823130590829,-0.4085245079001768,-0.4088893288465124,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.5441304968491647,0.7376797633994415,3.4262136958448544,-0.4088963446339419,-0.4088963446339419,-0.40886828148422383,-0.40847539738817007,-0.4045325248527737,-0.4001336261344578,-0.40887529727165334,-0.4088893288465124,-0.408222829040707,-0.4088963446339419,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.5441304968491647,0.7376797633994415,3.426269822144291,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.4053323246197402,-0.401431546808921,-0.40887529727165334,-0.4088963446339419,-0.40821581325327744,-0.4088963446339419,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.5441304968491647,0.7376797633994415,3.426269822144291,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.40550070351804895,-0.4049745194608341,-0.40084923645226994,-0.40887529727165334,-0.4088893288465124,-0.4082298448281365,-0.4088893288465124,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.5441304968491647,0.7377358896988777,3.426269822144291,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.40875602888535134,-0.4048833142242502,-0.4005405418053706,-0.40887529727165334,-0.4088893288465124,-0.408222829040707,-0.4088963446339419,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.5441304968491647,0.7377358896988777,3.426269822144291,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.4051499141465724,-0.4009474574762834,-0.40887529727165334,-0.4088893288465124,-0.40821581325327744,-0.4088963446339419,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.5441304968491647,0.7378200791480322,3.426269822144291,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.40864377628647885,-0.40494645631111603,-0.40072996806596795,-0.40886828148422383,-0.4088893288465124,-0.4082298448281365,-0.4088893288465124,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.543260539207903,0.7379042685971865,3.4261856326951365,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.40735287139944515,-0.40439220910418305,-0.4000634682601625,-0.40885424990936475,-0.4088893288465124,-0.4082438764029956,-0.4088963446339419,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.543709549603393,0.738016521196059,3.4262978852940087,-0.4088963446339419,-0.4088963446339419,-0.40886828148422383,-0.4085876499870426,-0.40381691453496155,-0.4000003261732967,-0.4088191709722171,-0.4088893288465124,-0.4082719395527137,-0.4088963446339419,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.543709549603393,0.7381568369446496,3.4261575695454183,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.4068477347045189,-0.4049675036734046,-0.40062473125452497,-0.40885424990936475,-0.4088893288465124,-0.4082508921904251,-0.4088893288465124,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.5430640971598761,0.738241026393804,3.426325948443727,-0.4088963446339419,-0.4088963446339419,-0.40886828148422383,-0.4086157131367607,-0.40382393032239106,-0.40008451562245106,-0.4088402183345057,-0.4088823130590829,-0.4082579079778546,-0.4088963446339419,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.5432324760581848,0.738241026393804,3.426325948443727,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.4050025826105523,-0.40075101542825653,-0.4088823130590829,-0.4088893288465124,-0.40821581325327744,-0.4088963446339419,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.5432324760581848,0.7383813421423946,3.4261856326951365,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.40606196651241144,-0.40484121949967306,-0.4009755206260015,-0.40886828148422383,-0.4088893288465124,-0.408222829040707,-0.4088893288465124,-0.4088963446339419
-0.4088893288465124,-0.4088963446339419,-0.4088963446339419,1.5432324760581848,0.7384935947412671,3.426325948443727,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.4082508921904251,-0.40446938276590794,-0.4004282892064981,-0.40885424990936475,-0.4088893288465124,-0.408236860615566,-0.4088893288465124,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.5432324760581848,0.7386619736395759,3.4262136958448544,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.3853513620204361,-0.40390811977154545,-0.398260410890773,-0.40886828148422383,-0.4088893288465124,-0.4082298448281365,-0.4088893288465124,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.542362518416923,0.7386619736395759,3.426354011593445,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.408222829040707,-0.40508677205970667,-0.40082117330255185,-0.4088823130590829,-0.4088893288465124,-0.40820879746584793,-0.4088963446339419,-0.4088963446339419
-0.4088893288465124,-0.4088963446339419,-0.4088963446339419,1.542362518416923,0.7387461630887302,3.426354011593445,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.40864377628647885,-0.4044413196161898,-0.3999091209367128,-0.4088612656967943,-0.4088893288465124,-0.4082298448281365,-0.4088963446339419,-0.4088963446339419
-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,1.542362518416923,0.7388303525378845,3.426269822144291,-0.4088963446339419,-0.4088963446339419,-0.4088963446339419,-0.407324808249727,-0.4038590092595387,-0.3995022052658,-0.4088191709722171,-0.4088963446339419,-0.40827895534014325,-0.4088893288465124,-0.4088963446339419
-0.40887529727165334,-0.4088963446339419,-0.4088963446339419,1.542587023614668,0.7388864788373208,3.4264101378928813,-0.4088963446339419,-0.4088963446339419,-0.40886828148422383,-0.4084192710887338,-0.40204192031529024,-0.3964082430093769,-0.4087069183733446,-0.4088893288465124,-0.40839120793901573,-0.4088963446339419,-0.4088963446339419
