r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
-0.4514070897012442,-0.45141640838648833,-0.2700002440534455,1.1653009319909653,2.0721208304693435,2.974505034771508,-0.45141640838648833,-0.45141640838648833,-0.45139777101600004,-0.45089456201281614,-0.45139777101600004,-0.4511182104586757,-0.45137913364551174,-0.4514070897012442,-0.4505311332882944,-0.45141640838648833,-0.45141640838648833
-0.4514070897012442,-0.45141640838648833,-0.2700002440534455,1.083818348216149,2.0721208304693435,2.974616858994438,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.4502236166752376,-0.44089561274584704,-0.43004866312166057,-0.450950474124281,-0.4513884523307559,-0.4509784301800135,-0.45141640838648833,-0.45141640838648833
-0.45137913364551174,-0.45141640838648833,-0.2700002440534455,1.0757297294242298,2.0721208304693435,2.9746541337354144,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.4510063862357459,-0.44151996465720483,-0.4320242243934196,-0.4509597928095252,-0.45139777101600004,-0.4509597928095252,-0.45141640838648833,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.0731577722968453,2.0721208304693435,2.97525052959104,-0.45141640838648833,-0.45141640838648833,-0.45089456201281614,-0.4510436609767225,-0.4378670400414994,-0.4282687942400286,-0.45099706755050173,-0.4513698149602676,-0.450950474124281,-0.45141640838648833,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.0731577722968453,2.0721208304693435,2.9752878043320163,-0.45141640838648833,-0.45141640838648833,-0.45137913364551174,-0.45070818830793324,-0.4451262958466895,-0.4392648428281214,-0.45134185890453515,-0.4514070897012442,-0.450568408029271,-0.45141640838648833,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.0731577722968453,2.0721208304693435,2.9752878043320163,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.4462259007054988,-0.44139882174903095,-0.4513884523307559,-0.45139777101600004,-0.4505218146030503,-0.45141640838648833,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.073455970224658,2.0721208304693435,2.9752878043320163,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.4452288013843751,-0.44545244983023463,-0.4393300736248304,-0.4513884523307559,-0.45139777101600004,-0.4505311332882944,-0.4514070897012442,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.073455970224658,2.0721208304693435,2.9752878043320163,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.45123003468160544,-0.4456201861646293,-0.4397680518313053,-0.45139777101600004,-0.4514070897012442,-0.4505124959178061,-0.45141640838648833,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.073455970224658,2.0721208304693435,2.9752878043320163,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.44981359452449515,-0.44598361488915095,-0.43993578816569995,-0.45139777101600004,-0.4514070897012442,-0.4505124959178061,-0.4514070897012442,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.073455970224658,2.0721208304693435,2.9752878043320163,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.44638431835464926,-0.4402153487230243,-0.45139777101600004,-0.4514070897012442,-0.4505124959178061,-0.45141640838648833,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.073455970224658,2.0721208304693435,2.9752878043320163,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.4462259007054988,-0.44040172242790726,-0.45137913364551174,-0.45141640838648833,-0.4505124959178061,-0.45141640838648833,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.0709958373202033,2.0721208304693435,2.9752878043320163,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.45123003468160544,-0.4445578560467966,-0.437773853189058,-0.45139777101600004,-0.45139777101600004,-0.4505311332882944,-0.4514070897012442,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.0711449362841097,2.0721208304693435,2.9752878043320163,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.45123003468160544,-0.44585315329573294,-0.43954440338544576,-0.4513884523307559,-0.45141640838648833,-0.4505124959178061,-0.45141640838648833,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.0711449362841097,2.0721208304693435,2.9752878043320163,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.45123003468160544,-0.44534062560730486,-0.4400103376476531,-0.45137913364551174,-0.4514070897012442,-0.4505311332882944,-0.45141640838648833,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.0711449362841097,2.0721208304693435,2.9752878043320163,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.4461606699087898,-0.44040172242790726,-0.4513884523307559,-0.4514070897012442,-0.4505218146030503,-0.45141640838648833,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.0711449362841097,2.0721208304693435,2.9752878043320163,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.44824805540347856,-0.4469527581545422,-0.44108198645072993,-0.45139777101600004,-0.4514070897012442,-0.4505124959178061,-0.4514070897012442,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.0711449362841097,2.0721208304693435,2.975325079072993,-0.45141640838648833,-0.45141640838648833,-0.45137913364551174,-0.45119275994062885,-0.4462538567612312,-0.4405321840213253,-0.45139777101600004,-0.45141640838648833,-0.4505124959178061,-0.4514070897012442,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.0711449362841097,2.0721208304693435,2.975325079072993,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.4469341207840539,-0.44153860202769313,-0.4513884523307559,-0.4514070897012442,-0.4505124959178061,-0.45141640838648833,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.0711449362841097,2.0721208304693435,2.975325079072993,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.4491799239278932,-0.446747747079171,-0.44104471170975335,-0.45139777101600004,-0.45141640838648833,-0.450503177232562,-0.4514070897012442,-0.45141640838648833
-0.4514070897012442,-0.45141640838648833,-0.2700002440534455,1.0711449362841097,2.0721208304693435,2.975325079072993,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.4462538567612312,-0.4420324923456329,-0.45139777101600004,-0.4514070897012442,-0.4505124959178061,-0.45141640838648833,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.0711449362841097,2.0721208304693435,2.975325079072993,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.4490308249639869,-0.4461327138530573,-0.44156655808342554,-0.4513884523307559,-0.45141640838648833,-0.4505124959178061,-0.45141640838648833,-0.45141640838648833
-0.45141640838648833,-0.45141640838648833,-0.2700002440534455,1.0687593528616082,2.0721208304693435,2.975325079072993,-0.45141640838648833,-0.45141640838648833,-0.45141640838648833,-0.45089456201281614,-0.4458065598695122,-0.4404110411131514,-0.4513884523307559,-0.4514070897012442,-0.4505218146030503,-0.4514070897012442,-0.45141640838648833
