procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  37644 221244 221808 378716    0    0     4    68   50  113  6  1 93  0  0
 0  0  37644 221556 221816 378724    0    0     0   116  574 1144  3  1 97  1  0
 0  0  37644 221384 221836 378736    0    0     4   104  596 1289  3  1 96  0  0
 0  0  37644 221464 221864 378732    0    0     0  3704  600 1400  4  1 95  1  0
 1  0  37644 213340 221864 378736    0    0     0    52  858 1459 31  2 67  0  0
 1  0  37644 204564 221864 378736    0    0     0    56 1118 2160 50  2 47  0  0
 2  0  37644 203604 221864 378740    0    0     0    68 1320 2357 46  4 49  0  0
 2  0  37644 203700 221864 378744    0    0     0     0 1399 2358 45  4 51  0  0
 1  0  37644 203700 221864 378744    0    0     0     0  642 1315  6  0 94  0  0
 0  0  37644 203700 221876 378744    0    0     0   328  540 1124  3  1 97  0  0
 0  0  37644 203700 221876 378744    0    0     0     0  565 1158  3  1 97  0  0
 0  0  37644 203700 221876 378744    0    0     0     0  576 1114  4  0 96  0  0
 0  0  37644 203320 221880 378748    0    0     4    40  644 1344  3  2 95  1  0
 0  0  37644 203360 221888 378748    0    0     0   288  614 1232  5  1 94  1  0
 0  0  37644 203360 221896 378748    0    0     0    36  547 1054  3  1 96  0  0
 0  0  37644 203360 221896 378748    0    0     0    20  594 1237  4  1 95  0  0
 0  0  37644 203360 221896 378748    0    0     0     0  520 1141  3  0 97  0  0
 0  0  37644 203360 221904 378748    0    0     0   432  540 1202  3  1 96  0  0
 0  0  37644 203360 221904 378748    0    0     0     0  473 1075  2  1 98  0  0
 0  0  37644 203360 221904 378748    0    0     0     0  539 1147  2  0 98  0  0
 1  0  37644 203360 221904 378748    0    0     0     0  527 1146  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  37644 203360 221904 378748    0    0     0     0  520 1115  3  0 97  0  0
 0  0  37644 203360 221904 378748    0    0     0     0  583 1224  2  1 97  0  0
 0  0  37644 203360 221908 378748    0    0     0    72  631 1320  5  1 93  0  0
 0  0  37644 203360 221924 378748    0    0     0    36  737 1339 10  1 89  1  0
 0  0  37644 203424 221932 378752    0    0     4    48 1114 1988 24  2 74  0  0
 1  0  37644 203424 221932 378752    0    0     0     0  648 1302  7  1 92  0  0
 0  0  37644 203424 221932 378752    0    0     0     0  581 1213  4  1 96  0  0
 0  0  37644 203424 221944 378752    0    0     0   844  552 1210  3  1 96  1  0
 0  0  37644 203424 221944 378752    0    0     0     0  535 1140  3  0 97  0  0
 0  0  37644 203424 221960 378752    0    0     0   192  748 1468  4  1 94  1  0
 0  0  37644 203424 221960 378752    0    0     0     0  618 1273  1  0 99  0  0
 1  0  37644 203424 221964 378752    0    0     0   176  506 1146  3  0 97  1  0
 0  0  37644 203456 221968 378752    0    0     4    88  510 1177  4  1 95  0  0
 2  0  37644 203456 221976 378756    0    0     0    20  550 1154  5  1 94  0  0
 0  0  37644 203456 221980 378756    0    0     0    20  540 1133  4  0 95  0  0
 0  0  37644 203456 221980 378756    0    0     0     0  514 1008  2  0 98  0  0
 1  0  37644 203456 222004 378756    0    0     0   304  536  977  3  0 97  1  0
 1  0  37644 203456 222004 378756    0    0     0   332  501 1056  3  1 97  0  0
 0  0  37644 203488 222004 378756    0    0     0     0  524  977  3  1 97  0  0
 0  0  37644 203488 222004 378756    0    0     0     0  476 1009  1  0 99  0  0
 1  0  37644 203488 222004 378756    0    0     0     0  704 1306 16  1 83  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  37644 203296 222008 378760    0    0     0    88  766 1400 26  1 73  0  0
 0  0  37644 203296 222008 378760    0    0     0    20  590 1251  4  1 95  1  0
 0  0  37644 203328 222016 378760    0    0     0    20  547 1204  4  0 96  0  0
 0  0  37644 203328 222020 378764    0    0     0    20  609 1134  4  1 96  0  0
 0  0  37644 203328 222020 378764    0    0     0     0  499  917  2  1 97  0  0
 0  0  37644 203328 222036 378764    0    0     0   468  564 1140  3  1 95  1  0
 1  0  37644 203328 222036 378764    0    0     0     0  514 1090  3  1 97  0  0
 0  0  37644 203328 222036 378764    0    0     0     0  495 1069  3  0 96  0  0
 0  0  37644 203328 222036 378764    0    0     0     0  552 1158  3  1 96  0  0
 0  0  37644 203328 222036 378764    0    0     0     0  540 1101  3  0 97  0  0
 1  0  37644 203328 222036 378764    0    0     0     0  518 1049  3  0 96  0  0
 0  0  37644 203452 222048 378768    0    0     4    48  670 1265  5  1 94  1  0
 0  0  37644 203452 222064 378768    0    0     0    36  683 1308  5  1 94  0  0
 0  0  37644 203484 222072 378768    0    0     0    20  659 1309  4  0 96  0  0
 0  0  37644 203484 222072 378768    0    0     0     0  581 1221  1  1 98  0  0
 0  0  37644 203484 222076 378768    0    0     0   532  671 1396  2  1 96  1  0
 0  0  37644 203484 222080 378768    0    0     0    20  574 1247  4  1 96  0  0
 0  0  37644 203484 222080 378768    0    0     0   100  521 1170  1  1 98  0  0
