procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   9996 220488 127988 341048    0    1    27    81  357  683 19  2 79  0  0
 0  0   9996 220548 127988 341052    0    0     0   176  569 1106  3  1 96  0  0
 0  0   9996 220488 128012 341092    0    0     4  6560  628 1623  4  1 94  1  0
 0  0   9996 220488 128012 341092    0    0     0     0  553 1065  3  0 97  0  0
 0  0   9996 220488 128020 341092    0    0     0    28  545 1138  3  1 96  0  0
 1  0   9996 211712 128032 341096    0    0     0  2192 1089 2002 34  2 64  1  0
 4  0   9996 210008 128032 341096    0    0     0     0 1250 2171 47  5 48  0  0
 1  0   9996 202504 128036 341100    0    0     0    68 1203 2052 52  2 46  1  0
 2  0   9996 201440 128044 341112    0    0     4   152 1507 2972 66  4 30  0  0
 1  0   9996 201380 128044 341244    0    0     0     0  887 1713 11  1 88  0  0
 0  0   9996 201380 128052 341244    0    0     0   452  612 1285  3  1 97  0  0
 0  0   9996 201412 128060 341244    0    0     0    20  558 1202  3  1 96  0  0
 0  0   9996 201412 128068 341244    0    0     0   180  654 1306  2  1 97  1  0
 0  0   9996 201156 128068 341244    0    0     0    20  589 1213  3  1 96  1  0
 2  0   9996 201164 128068 341244    0    0     0    20  550 1156  4  0 96  0  0
 0  0   9996 201164 128076 341244    0    0     0   372  618 1156  3  1 96  1  0
 0  0   9996 201164 128076 341244    0    0     0     0  498 1083  4  0 97  0  0
 0  0   9996 201164 128088 341248    0    0     4   128  553 1146  4  0 96  1  0
 0  0   9996 201132 128108 341244    0    0     0  3468  597 1370  4  2 94  1  0
 0  0   9996 201132 128108 341248    0    0     0    20  519  999  4  0 96  0  0
 0  0   9996 201132 128120 341248    0    0     0   224  658 1198  5  1 93  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   9996 201132 128120 341248    0    0     0     0  514 1115  3  1 96  0  0
 0  0   9996 201132 128132 341252    0    0     4   256  604 1274  3  0 97  0  0
 0  0   9996 201016 128136 341252    0    0     0    36  656 1242  5  1 94  1  0
 0  0   9996 200760 128144 341252    0    0     0    20  623 1278  4  1 95  0  0
 0  0   9996 200792 128148 341252    0    0     0  1100  547 1204  3  1 96  1  0
 3  0   9996 200792 128148 341252    0    0     0     0  498 1027  3  0 97  0  0
 0  0   9996 200824 128148 341252    0    0     0    20  656 1084  5  1 95  0  0
 0  0   9996 200824 128164 341252    0    0     0   192  579 1190  4  1 95  1  0
 0  0   9996 200824 128164 341252    0    0     0     0  535  977  3  1 96  0  0
 0  0   9996 200824 128164 341252    0    0     0   252  793 1590 23  2 75  1  0
 0  0   9996 200888 128172 341256    0    0     4    52  595 1129  6  1 94  0  0
 2  0   9996 200888 128180 341256    0    0     0   340  569 1153  4  1 95  0  0
 0  0   9996 200888 128180 341256    0    0     0     0  512 1072  2  1 97  0  0
 0  0   9996 200888 128188 341256    0    0     0    20  589 1123  4  0 96  1  0
 0  0   9996 200888 128200 341256    0    0     0   192  548 1131  2  1 97  0  0
 3  0   9996 200888 128200 341256    0    0     0     0  553 1165  3  0 97  0  0
 0  0   9996 200888 128200 341256    0    0     0    20  571 1202  3  1 97  0  0
 0  0   9996 200888 128212 341256    0    0     0   192  660 1304  4  2 94  1  0
 0  0   9996 200888 128212 341256    0    0     0     0  511 1110  3  0 97  0  0
 0  0   9996 200888 128236 341256    0    0     0   192  503 1092  3  1 96  1  0
 0  0   9996 200888 128236 341260    0    0     4    40  567 1073  4  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   9996 200888 128240 341260    0    0     0   240  628 1221  4  1 96  1  0
 0  0   9996 200748 128240 341260    0    0     0     0  535 1115  3  1 97  0  0
 0  0   9996 200764 128240 341260    0    0     0    20  548 1118  4  1 95  0  0
 0  0   9996 200764 128256 341264    0    0     0   176  479 1125  2  1 97  0  0
 0  0   9996 200764 128256 341264    0    0     0     0  496 1006  3  0 96  0  0
 0  0   9996 200764 128264 341264    0    0     0    20  618 1172  3  1 96  1  0
 0  0   9996 200764 128268 341264    0    0     0   192  602 1183  3  2 95  1  0
 0  0   9996 200764 128268 341264    0    0     0     0  495 1120  3  0 97  0  0
 0  0   9996 200764 128280 341264    0    0     0   272  699 1290  6  1 92  1  0
 0  0   9996 200764 128280 341264    0    0     0     0  539 1058  2  1 98  0  0
 0  0   9996 200764 128296 341264    0    0     0   240  534 1208  2  1 97  1  0
 0  0   9996 200764 128300 341264    0    0     0    20  602 1195  4  2 94  0  0
 0  0   9996 200764 128300 341264    0    0     0    20  622 1149  4  1 96  0  0
 0  0   9996 200764 128312 341264    0    0     0   280  522 1091  3  1 96  1  0
 0  0   9996 200764 128312 341264    0    0     0     0  583 1115  4  1 95  0  0
 0  0   9996 200796 128312 341264    0    0     0    20  620 1241  4  1 95  1  0
 0  0   9996 200796 128324 341260    0    0     0   192  569 1257  3  1 95  1  0
 0  0   9996 200796 128324 341264    0    0     0     0  466 1098  2  1 97  0  0
