procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  15884 225280 168344 291828    0    1    19    91  355  688 17  2 81  0  0
 0  0  15884 225460 168344 291832    0    0     0    24  544 1122  4  1 95  0  0
 0  0  15884 225460 168344 291832    0    0     0     0  523 1131  3  0 97  0  0
 0  0  15884 225492 168348 291832    0    0     0    80  629 1306  5  0 95  0  0
 0  0  15884 225492 168352 291832    0    0     0   224  588 1229  2  1 96  1  0
 0  0  15884 225492 168360 291836    0    0     4    40  607 1246  3  1 96  1  0
 0  0  15884 225460 168368 291836    0    0     0   488  653 1217  5  1 95  0  0
 0  0  15884 225460 168368 291836    0    0     0     0  521 1096  3  1 97  0  0
 0  0  15884 225212 168372 291836    0    0     0   324  590 1281  3  1 95  1  0
 1  0  15884 225212 168372 291836    0    0     0    36  576 1132  4  0 96  0  0
 0  0  15884 225212 168376 291836    0    0     0   176  623 1222  4  1 95  1  0
 0  0  15884 225212 168376 291836    0    0     0     0  482 1119  3  0 97  0  0
 0  0  15884 225212 168392 291836    0    0     0   172  532 1107  2  1 97  1  0
 0  0  15884 225212 168392 291836    0    0     0    20  631 1120  3  1 96  0  0
 1  0  15884 225088 168408 291840    0    0     0   176  584 1149  3  1 96  1  0
 0  0  15884 225088 168412 291840    0    0     0    36  544 1129  4  0 95  0  0
 0  0  15884 225088 168412 291840    0    0     0    12  490 1153  2  1 98  0  0
 0  0  15884 225088 168428 291840    0    0     0   172  494 1188  3  1 96  1  0
 0  0  15884 224964 168436 291840    0    0     0    20  545 1285  2  1 97  0  0
 0  0  15884 224964 168436 291840    0    0     0     0  462 1154  3  0 97  0  0
 0  0  15884 224964 168444 291840    0    0     0    20  549 1116  4  1 96  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  15884 224964 168444 291840    0    0     0     0  471 1154  2  1 97  0  0
 0  0  15884 224964 168456 291840    0    0     0   160  455 1158  2  1 98  0  0
 0  0  15884 224772 168464 291840    0    0     0    20  553 1280  3  1 96  1  0
 0  0  15884 224772 168484 291840    0    0     0   176  560 1213  3  1 96  0  0
 0  0  15884 224772 168496 291840    0    0     0    36  620 1212  5  1 94  1  0
 0  0  15884 224772 168504 291840    0    0     0    20  663 1280  4  1 95  0  0
 0  0  15884 224772 168504 291840    0    0     0    12  495 1166  2  1 98  0  0
 0  0  15884 224764 168512 291840    0    0     0   276  715 1409  4  1 94  0  0
 1  0  15884 224772 168516 291840    0    0     0    20  546 1086  3  1 97  0  0
 0  0  15884 224772 168524 291840    0    0     0    20  648 1203  4  1 95  1  0
 0  0  15884 224772 168524 291840    0    0     0     0  488 1016  2  0 98  0  0
 0  0  15884 224772 168536 291840    0    0     0   168  470 1026  3  1 96  0  0
 0  0  15884 224772 168544 291840    0    0     0    20  570 1032  4  1 96  0  0
 0  0  15884 224772 168568 291840    0    0     0   236  535 1088  3  1 96  0  0
 0  0  15884 224772 168584 291848    0    0     4    40  530 1036  3  1 96  1  0
 0  0  15884 224772 168588 291848    0    0     0    36  631 1257  5  1 94  0  0
 0  0  15884 224772 168588 291848    0    0     0    52  493 1085  2  1 97  0  0
 0  0  15884 224772 168600 291848    0    0     0   324  505 1002  3  0 96  1  0
 0  0  15884 224524 168604 291848    0    0     0    20  601 1252  4  2 95  0  0
 0  0  15884 224524 168624 291848    0    0     0   188  585 1257  5  1 93  1  0
 0  0  15884 224524 168624 291848    0    0     0     0  474 1096  3  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  15884 224524 168640 291848    0    0     0   176  493 1152  3  1 96  1  0
 0  0  15884 224556 168660 291852    0    0     4   132  752 1378  7  2 92  0  0
 0  0  15884 224836 168672 291852    0    0     0    60  684 1278  8  1 91  1  0
 0  0  15884 224836 168684 291856    0    0     0    84  605 1189  3  0 97  0  0
 0  0  15884 224836 168688 291856    0    0     0    60  607 1112  3  1 96  0  0
 0  0  15884 224836 168696 291856    0    0     0  3324  602 1349  3  1 95  1  0
 0  0  15884 224836 168700 291856    0    0     0    20  509 1105  3  0 97  0  0
 0  0  15884 224868 168700 291856    0    0     0     0  511 1120  2  1 97  0  0
 0  0  15884 224868 168704 291856    0    0     0    20  514 1089  3  1 96  1  0
 1  0  15884 224868 168704 291856    0    0     0     0  503 1099  3  1 96  0  0
 0  0  15884 224868 168712 291860    0    0     0   224  523 1121  3  1 96  1  0
 0  0  15884 224868 168712 291860    0    0     0    20  539 1150  4  0 96  0  0
 0  0  15884 224868 168728 291844    0    0     0   172  534 1095  3  1 96  1  0
 0  0  15884 224868 168744 291860    0    0     0    36  614 1194  4  1 95  0  0
 1  0  15884 224868 168752 291860    0    0     0    20  552 1192  4  0 96  0  0
 0  0  15884 224868 168752 291860    0    0     0     0  528 1011  2  1 97  0  0
 0  0  15884 224868 168764 291860    0    0     0   260  555 1190  2  1 97  1  0
 0  0  15884 224744 168772 291860    0    0     0    20  576 1233  4  0 96  0  0
