procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 216220 194384 564648    0    0    20   105  347  672 16  2 82  0  0
 2  0      0 216352 194408 564648    0    0     4   180  670 1367  4  1 96  0  0
 1  0      0 216352 194420 564660    0    0     0    60  585 1190  2  1 97  1  0
 0  0      0 216384 194444 564656    0    0     0  2908  701 1497  3  1 95  1  0
 0  0      0 216384 194444 564660    0    0     0     0  587 1106  4  1 96  0  0
 1  0      0 207828 194444 564660    0    0     0    40 1267 2118 46  3 52  0  0
 1  0      0 198680 194444 564664    0    0     0     0 1199 2146 49  3 48  0  0
 1  0      0 197844 194448 564664    0    0     0    68 1417 2591 45  5 50  0  0
 0  0      0 197376 194452 564668    0    0     0   256 1060 1915 29  3 68  1  0
 0  0      0 197376 194452 564668    0    0     0     0  512  984  3  1 97  0  0
 0  0      0 197376 194460 564668    0    0     0    40  568 1070  4  1 95  0  0
 0  0      0 197184 194468 564668    0    0     0    20  481 1039  3  1 96  0  0
 0  0      0 197184 194480 564668    0    0     0   404  530 1047  4  0 96  1  0
 0  0      0 197184 194480 564668    0    0     0     0  425 1022  3  1 97  0  0
 0  0      0 197184 194480 564668    0    0     0     0  487 1098  3  1 97  0  0
 0  0      0 197184 194480 564668    0    0     0     0  507 1111  1  1 98  0  0
 0  0      0 197216 194480 564668    0    0     0     0  520 1154  4  1 96  0  0
 1  0      0 197248 194480 564672    0    0     0    20 1006 1796 41  3 57  0  0
 0  0      0 197000 194488 564676    0    0     4    56  615 1314  4  1 95  1  0
 0  0      0 197000 194496 564676    0    0     0   340  546 1087  3  1 97  0  0
 0  0      0 197000 194500 564676    0    0     0    20  586 1139  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 197000 194500 564676    0    0     0    20  559 1170  4  0 96  0  0
 0  0      0 197000 194504 564672    0    0     0   240  510 1154  3  1 96  1  0
 0  0      0 197000 194504 564676    0    0     0    36  533 1157  3  0 97  0  0
 0  0      0 197000 194504 564676    0    0     0     0  518 1171  3  1 97  0  0
 0  0      0 197000 194504 564676    0    0     0     0  601 1258  2  0 98  0  0
 0  0      0 197000 194504 564676    0    0     0     0  596 1259  3  1 97  0  0
 0  0      0 196876 194504 564680    0    0     0    56  595 1168  4  1 95  1  0
 0  0      0 197124 194512 564680    0    0     0   180  561 1175  3  1 96  0  0
 0  0      0 197124 194512 564680    0    0     0     0  512 1085  3  0 97  0  0
 0  0      0 197156 194528 564680    0    0     0    68  640 1245  7  1 92  1  0
 0  0      0 197156 194536 564684    0    0     4    40  606 1230  4  1 95  0  0
 0  0      0 197156 194556 564684    0    0     0   468  555 1170  3  1 96  1  0
 0  0      0 197156 194560 564680    0    0     0    20  563 1187  7  0 93  0  0
 1  0      0 197156 194568 564684    0    0     0    96  545 1180  2  1 96  1  0
 0  0      0 197060 194588 564680    0    0     0  3560  649 1415  3  1 95  0  0
 0  0      0 197060 194588 564684    0    0     0     0  505 1114  3  1 96  0  0
 0  0      0 197060 194596 564684    0    0     0    20  543 1155  4  1 96  0  0
 0  0      0 196688 194608 564684    0    0     0   204  595 1237  3  1 96  1  0
 0  0      0 196720 194608 564684    0    0     0   536  524 1033  3  0 97  0  0
 0  0      0 196720 194612 564684    0    0     0    48  521 1105  3  1 96  0  0
 0  0      0 196720 194616 564688    0    0     4    24  526 1192  3  1 96  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 196720 194620 564688    0    0     0   240  553 1201  2  1 97  1  0
 0  0      0 196720 194620 564688    0    0     0     0  516 1118  3  1 97  0  0
 0  0      0 196720 194620 564688    0    0     0     0  520 1090  2  1 97  0  0
 0  0      0 196720 194620 564692    0    0     0     0  488  975  2  1 98  0  0
 2  0      0 196720 194620 564692    0    0     0     0  594 1130  4  0 96  0  0
 0  0      0 196752 194628 564692    0    0     0    20  591 1210  4  1 96  0  0
 0  0      0 196876 194648 564692    0    0     0   176  596 1305  2  1 97  1  0
 0  0      0 196876 194648 564692    0    0     0     0  491 1127  2  0 98  0  0
 0  0      0 196876 194656 564692    0    0     0    20  647 1344  4  2 95  0  0
 0  0      0 196876 194664 564692    0    0     0    20  564 1195  3  0 97  0  0
 0  0      0 196876 194672 564692    0    0     0   240  577 1152  3  1 96  1  0
 0  0      0 196876 194672 564692    0    0     0     0  512 1077  2  1 97  0  0
 0  0      0 196876 194672 564692    0    0     0     0  522 1097  3  1 97  0  0
 1  0      0 196876 194672 564692    0    0     0     0  514 1049  2  1 97  0  0
 2  0      0 196876 194672 564692    0    0     0     0  523 1169  2  1 97  0  0
 0  0      0 196876 194680 564692    0    0     0    20  623 1293  3  1 96  1  0
 1  0      0 196908 194680 564692    0    0     0     0  827 1562 15  2 83  0  0
 0  0      0 196908 194688 564684    0    0     4    28 1017 1900 40  2 57  0  0
