procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   3596 187836 210884 480924    0    0    17   105  347  674 16  2 83  0  0
 0  0   3596 188248 210888 480920    0    0     0   124  682 1398  5  1 94  0  0
 0  0   3596 188180 210900 480992    0    0     0  6360  803 1819  4  1 94  1  0
 0  0   3596 188180 210912 480996    0    0     4    40  684 1417  6  0 94  0  0
 0  0   3596 188180 210912 480996    0    0     0     0  497 1109  3  1 96  0  1
 0  0   3596 188180 210916 480996    0    0     0   248  514 1153  3  0 96  1  0
 0  0   3596 188180 210916 480996    0    0     0     0  487 1101  3  1 97  0  0
 1  0   3596 188060 210916 481000    0    0     4     0  588 1224  2  1 96  1  0
 0  0   3596 188060 210916 481000    0    0     0     0  519 1122  3  0 96  0  0
 0  0   3596 188060 210924 480992    0    0     0    52  590 1202  4  1 95  0  0
 0  0   3596 188060 210924 481000    0    0     0     4  610 1242  2  1 97  0  0
 1  0   3596 188092 210940 481000    0    0     0   264  720 1349  8  1 91  1  0
 0  0   3596 188092 210940 481000    0    0     0     0  555 1221  3  1 96  0  0
 0  0   3596 188092 210940 481000    0    0     0    40  648 1390  5  1 94  1  0
 0  0   3596 188092 210940 481000    0    0     0     0  537 1167  4  0 96  0  0
 0  0   3596 188092 210948 481000    0    0     0   240  592 1265  3  1 97  0  0
 0  0   3596 188092 210948 481000    0    0     0     0  601 1228  4  1 95  0  0
 0  0   3596 188092 210948 481000    0    0     0     0  563 1270  3  1 96  0  0
 0  0   3596 188092 210948 481000    0    0     0     0  531 1095  3  0 97  0  0
 0  0   3596 188092 210948 481000    0    0     0    36  509 1157  3  0 96  1  0
 0  0   3596 188092 210948 481000    0    0     0     0  536 1191  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3596 188092 210952 481000    0    0     0   240  474 1179  3  0 96  0  0
 4  0   3596 187900 210956 481000    0    0     0    20  606 1259  5  1 93  0  0
 1  0   3596 187932 210960 481004    0    0     4    72  698 1399  8  1 91  1  0
 0  0   3596 187932 210960 481004    0    0     0     0  653 1346  3  1 96  0  0
 0  0   3596 187932 210972 481004    0    0     0   532  634 1348  2  2 96  1  0
 0  0   3596 187932 210980 481004    0    0     0    20  649 1346  5  1 94  0  0
 0  0   3596 187932 210980 481004    0    0     0     0  613 1338  3  1 95  0  0
 0  0   3596 187932 210984 481004    0    0     0   176  677 1421  4  0 96  1  0
 0  0   3596 187932 210996 480992    0    0     0    36  623 1322  4  1 94  0  0
 0  0   3596 187932 210996 480992    0    0     0     0  612 1206  5  0 95  0  0
 0  0   3596 187964 211004 481004    0    0     0   668  615 1287  4  1 95  1  0
 0  0   3596 187964 211004 481004    0    0     0     0  579 1217  2  0 98  0  0
 0  0   3596 187964 211008 481004    0    0     0    36  625 1293  5  2 93  0  0
 0  0   3596 187964 211008 481004    0    0     0     0  495 1120  3  0 97  0  0
 0  0   3596 187964 211020 481004    0    0     0   240  508 1184  3  1 96  0  0
 0  0   3596 187964 211020 481004    0    0     0     0  461 1089  2  1 97  0  0
 0  0   3596 187964 211020 481004    0    0     0     0  669 1359  4  1 95  0  0
 0  0   3596 187964 211020 481004    0    0     0     0  524 1086  2  1 97  0  0
 0  0   3596 187996 211032 481004    0    0     0    36  668 1204  6  0 94  1  0
 0  0   3596 187996 211032 481004    0    0     0     0  512 1130  3  1 96  0  0
 0  0   3596 187996 211040 481004    0    0     0   244  597 1273  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   3596 187996 211040 481004    0    0     0     0  551 1162  3  1 97  0  0
 0  0   3596 187996 211044 481004    0    0     0    52  662 1273  4  2 94  1  0
 0  0   3596 187996 211044 481004    0    0     0     0  543 1101  3  1 97  0  0
 0  0   3596 187996 211060 481008    0    0     0   304  527 1209  3  0 96  1  0
 0  0   3596 187996 211060 481008    0    0     0     0  489 1047  2  1 97  0  0
 0  0   3596 187940 211060 481008    0    0     0     0  438 1129  3  1 97  0  0
 0  0   3596 187996 211060 481008    0    0     0     0  464 1093  3  1 96  0  0
 0  0   3596 187996 211068 481000    0    0     0    36  541 1204  4  0 95  0  0
 0  0   3596 187996 211068 481008    0    0     0     0  558 1115  2  0 98  0  0
 0  0   3596 187996 211076 481008    0    0     0   240  525 1197  3  1 96  0  0
 1  0   3596 187996 211080 481008    0    0     0    20  640 1349  6  1 93  0  0
 0  0   3596 187996 211092 481012    0    0     4    72  701 1422  6  1 92  1  0
 0  0   3596 187996 211092 481012    0    0     0     0  625 1302  2  1 97  0  0
 0  0   3596 187996 211096 481012    0    0     0   468  641 1356  3  0 96  1  0
 0  0   3596 187996 211100 481012    0    0     0    20  646 1249  5  1 94  0  0
 1  0   3596 187996 211100 481012    0    0     0     0  569 1261  3  1 95  0  0
 0  0   3596 187996 211108 481012    0    0     0   176  582 1258  3  1 96  1  0
 0  0   3596 187996 211108 481012    0    0     0    36  624 1286  5  1 95  0  0
