procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  18956 175748 291496 362888    0    0     2    56    2   31  4  1 95  0  0
 0  0  18956 176064 291496 362900    0    0     0    88  660 1308  5  1 94  0  0
 1  0  18956 167320 291496 362904    0    0     0  2500 1055 1809 41  2 57  0  0
 1  0  18956 157956 291496 362912    0    0     0   124 1401 2177 49  3 48  0  0
 2  0  18956 156748 291496 362916    0    0     4    24 1176 2109 51  2 47  0  0
 1  0  18956 156340 291496 362920    0    0     0     0 1307 2405 44  3 53  0  0
 0  0  18956 156404 291496 362988    0    0     4   104  647 1316  5  1 94  1  0
 0  0  18956 155776 291496 363424    0    0     0  2128  579 1369  2  1 97  1  0
 0  0  18956 155848 291496 363424    0    0     0    20  543 1190  2  1 97  0  0
 0  0  18956 155848 291496 363424    0    0     0     0  538 1134  1  1 98  0  0
 0  0  18956 155848 291496 363424    0    0     0     0  428 1098  2  1 97  0  0
 0  0  18956 155848 291496 363424    0    0     0    20  510 1108  4  0 95  1  0
 0  0  18956 155848 291500 363420    0    0     0    32  522 1135  3  1 96  0  0
 0  0  18956 155848 291500 363504    0    0     0   400  654 1328  4  0 95  1  0
 1  0  18956 155848 291500 363504    0    0     0     0  506 1141  4  1 96  0  0
 1  0  18956 155848 291500 363504    0    0     0   140  531 1156  3  0 97  1  0
 0  0  18956 155848 291500 363524    0    0     4    88  651 1337  4  1 95  0  0
 1  0  18956 155460 291500 363648    0    0     0   516  498 1183  2  1 97  0  0
 1  0  18956 155476 291500 363652    0    0     0    20  490 1100  2  1 97  1  0
 0  0  18956 155476 291500 363652    0    0     0     0  499 1009  4  0 96  0  0
 0  0  18956 155476 291500 363652    0    0     0     0  484 1003  3  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  18956 155476 291500 363652    0    0     0    20  546 1126  4  1 95  0  0
 0  0  18956 155476 291500 363652    0    0     0   156  501 1103  3  0 97  1  0
 1  0  18956 155508 291500 363684    0    0     0    36  613 1251  5  1 95  0  0
 0  0  18956 155508 291500 363684    0    0     0     0  536 1074  3  1 96  0  0
 0  0  18956 155508 291500 363684    0    0     0   160  617 1232  3  0 96  1  0
 0  0  18956 155508 291500 363728    0    0     4    64  568 1191  4  1 95  0  0
 1  0  18956 155508 291500 363728    0    0     0   388  567 1183  5  0 95  1  0
 0  0  18956 155408 291500 363792    0    0     0   460  623 1389  3  1 96  0  0
 0  0  18956 155416 291500 363792    0    0     0    20  573 1297  4  1 95  0  0
 0  0  18956 155416 291500 363792    0    0     0     0  509 1097  2  0 98  0  0
 0  0  18956 155224 291500 363792    0    0     0    36  621 1213  4  1 94  0  0
 0  0  18956 155224 291500 363792    0    0     0   260  544 1144  3  1 96  0  0
 0  0  18956 155224 291500 363792    0    0     0    72  599 1230  5  1 94  1  0
 0  0  18956 155224 291500 363792    0    0     0    20  594 1144  4  1 96  0  0
 0  0  18956 155224 291500 363792    0    0     0   324  556 1192  2  1 97  1  0
 0  0  18956 155224 291500 363808    0    0     0    52  580 1235  2  1 97  0  0
 0  0  18956 155224 291500 363808    0    0     0   220  546 1172  3  0 97  0  0
 0  0  18956 155224 291500 363808    0    0     0   188  587 1255  3  1 96  1  0
 2  0  18956 155224 291500 363808    0    0     0     0  556 1171  2  1 97  0  0
 0  0  18956 155224 291500 363808    0    0     0     0  621 1244  2  1 97  0  0
 0  0  18956 155224 291500 363808    0    0     0    36  613 1242  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  18956 155224 291500 363808    0    0     0    20  529 1072  4  1 95  0  0
 0  0  18956 155224 291500 363808    0    0     0    20  600 1228  3  1 96  1  0
 1  0  18956 155348 291500 363808    0    0     0     0  543 1144  4  1 96  0  0
 0  0  18956 155348 291500 363812    0    0     0   324  539 1153  4  1 96  1  0
 0  0  18956 155348 291500 363848    0    0     4    56  665 1346  4  1 95  0  0
 0  0  18956 155348 291500 363848    0    0     0   224  609 1227  2  0 97  1  0
 0  0  18956 155092 291500 363880    0    0     0    20  606 1272  3  1 96  0  0
 0  0  18956 155100 291500 363880    0    0     0     0  537 1115  3  0 97  0  0
 0  0  18956 155100 291500 363880    0    0     0     0  477  970  2  1 98  0  0
 0  0  18956 155100 291500 363880    0    0     0    20  579 1093  3  1 96  1  0
 0  0  18956 155132 291500 363912    0    0     0   156  509 1051  3  0 97  0  0
 0  0  18956 155164 291500 363912    0    0     0    40  851 1536 19  2 79  0  0
 0  0  18956 155164 291500 363912    0    0     0    48  673 1322 17  1 82  1  0
 3  0  18956 155196 291500 363912    0    0     0   324  564 1169  3  1 96  0  0
 0  0  18956 155196 291500 363912    0    0     0    40  552 1128  4  1 95  1  0
 0  0  18956 155196 291500 363912    0    0     4    84  603 1220  5  1 94  1  0
 0  0  18956 155196 291500 363948    0    0     0  3660  632 1510  4  2 94  1  0
 0  0  18956 155196 291500 363948    0    0     0    20  654 1169  7  1 93  0  0
