procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  25868 242340 214696 368536    0    0     2    57   10   46  5  1 94  0  0
 1  0  25868 234016 214708 368536    0    0     0    92 1023 1924 49  3 48  0  0
 1  0  25868 224992 214720 368532    0    0     4    96 1102 2235 50  3 47  0  0
 1  0  25868 224404 214720 368548    0    0     0     0 1451 2634 46  2 51  0  0
 1  0  25868 224308 214720 368560    0    0     0     0 1133 1941 32  2 66  0  0
 0  0  25868 224184 214736 368548    0    0     4    88  645 1252  5  0 95  1  0
 2  0  25868 224216 214736 368564    0    0     0     0  517 1137  3  1 96  0  0
 0  0  25868 224216 214756 368564    0    0     0   792  584 1312  4  1 95  1  0
 0  0  25868 224216 214756 368564    0    0     0     0  533 1195  2  0 98  0  0
 0  0  25868 223960 214756 368564    0    0     0     0  566 1300  3  1 96  0  0
 0  0  25868 223968 214756 368564    0    0     0     0  510 1179  3  1 97  0  0
 0  0  25868 223968 214764 368556    0    0     0    20  583 1177  4  1 96  0  0
 0  0  25868 223968 214772 368564    0    0     0    20  637 1325  5  1 94  1  0
 0  0  25868 223968 214772 368564    0    0     0     0  486 1104  3  1 97  0  0
 0  0  25868 223968 214796 368564    0    0     0   240  570 1211  3  1 96  0  0
 0  0  25868 223968 214812 368548    0    0     4    64  549 1270  5  0 94  0  0
 0  0  25868 223968 214812 368576    0    0     0    20  542 1226  5  1 95  0  0
 0  0  25868 223968 214812 368576    0    0     0     0  615 1317  3  1 96  0  0
 0  0  25868 223968 214824 368576    0    0     0   520  611 1362  3  1 96  1  0
 0  0  25868 223844 214824 368576    0    0     0     0  628 1407  3  1 96  0  0
 0  0  25868 223844 214832 368576    0    0     0    52  630 1374  3  1 96  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  25868 223844 214836 368572    0    0     0    20  622 1389  4  1 95  1  0
 0  0  25868 223844 214840 368572    0    0     0    20  664 1404  4  0 96  0  0
 0  0  25868 223844 214848 368580    0    0     4   240  671 1376  4  1 95  0  0
 1  0  25868 223844 214864 368580    0    0     0   468  687 1445  3  2 95  1  0
 0  0  25868 223844 214876 368568    0    0     0    40  695 1438  6  1 93  1  0
 0  0  25868 223844 214876 368580    0    0     0     0  518 1058  3  0 97  0  0
 0  0  25868 223844 214900 368580    0    0     0   372  594 1266  2  1 97  1  0
 0  0  25868 223844 214900 368580    0    0     0     0  534 1183  4  1 95  0  0
 0  0  25868 223844 214900 368580    0    0     0     0  557 1126  3  0 97  0  0
 0  0  25868 223720 214900 368580    0    0     0     0  558 1177  3  1 97  0  0
 0  0  25868 223720 214928 368576    0    0     0   436  668 1264  5  2 93  1  0
 0  0  25868 223720 214932 368580    0    0     0    20  550 1176  5  0 95  1  0
 0  0  25868 223752 214932 368580    0    0     0    32  588 1209  2  2 97  0  0
 0  0  25868 223752 214952 368580    0    0     0   360  669 1343  3  2 95  0  0
 0  0  25868 223752 214960 368572    0    0     0    20  615 1281  4  1 94  1  0
 0  0  25868 223752 214988 368584    0    0     4    96  611 1330  4  1 96  0  0
 0  0  25868 223688 215008 368584    0    0     0  3676  819 1703  4  1 95  1  0
 0  0  25868 223688 215008 368584    0    0     0     0  626 1321  3  0 97  0  0
 1  0  25868 223720 215008 368584    0    0     0     0  593 1230  3  1 96  0  0
 0  0  25868 223596 215008 368584    0    0     0     0  592 1302  3  2 96  0  0
 0  0  25868 223596 215008 368584    0    0     0    20  538 1198  4  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  25868 223596 215012 368580    0    0     0    20  630 1325  4  0 96  1  0
 0  0  25868 223596 215012 368584    0    0     0     0  553 1179  3  1 96  0  0
 0  0  25868 223596 215028 368584    0    0     0   240  549 1197  5  1 95  0  0
 0  0  25868 223596 215032 368584    0    0     0    20  600 1180  4  1 94  0  0
 0  0  25868 223596 215040 368588    0    0     0    20  599 1236  4  1 95  1  0
 0  0  25868 223596 215064 368588    0    0     0   276  635 1342  3  1 96  0  0
 0  0  25868 223596 215064 368588    0    0     0     0  549 1203  4  1 96  0  0
 1  0  25868 223628 215064 368588    0    0     0     0 1087 1921 38  2 60  0  0
 0  0  25868 223536 215080 368592    0    0     4    68  835 1646 13  1 85  1  0
 0  0  25868 223536 215088 368584    0    0     0    20  703 1399  5  1 95  1  0
 0  0  25868 223344 215096 368592    0    0     0    20  574 1258  4  2 95  0  0
 0  0  25868 223344 215104 368592    0    0     0    20  623 1270  4  1 95  0  0
 1  0  25868 223344 215124 368592    0    0     0   656  673 1379  4  1 95  1  0
 0  0  25868 223344 215124 368592    0    0     0    20  633 1298  4  2 93  0  0
 0  0  25868 223344 215124 368592    0    0     0     0  499 1151  3  0 97  0  0
 0  0  25868 223344 215144 368592    0    0     0   176  622 1300  3  1 96  1  0
 1  0  25868 223344 215144 368592    0    0     0     0  823 1515 11  2 87  0  0
 0  0  25868 223376 215144 368592    0    0     0     0  854 1535 13  1 86  0  0
