procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  61952 215900 274628 332324    0    0     2    57    8   43  5  1 95  0  0
 0  0  61952 216064 274628 332328    0    0     0    76  618 1081  3  1 96  1  0
 0  0  61952 216064 274628 332332    0    0     4   120  631 1349  4  1 94  1  0
 0  0  61952 216096 274628 332332    0    0     0    80  566 1105  2  1 98  0  0
 0  0  61952 216096 274628 332332    0    0     0  5016  657 1482  5  1 94  1  0
 1  0  61952 207972 274628 332332    0    0     0    56 1123 1945 43  2 55  0  0
 1  0  61952 198700 274628 332332    0    0     0    96 1557 2554 49  2 48  0  0
 1  0  61952 198112 274628 332332    0    0     0     0 1385 2342 47  3 50  0  0
 0  0  61952 197804 274628 332472    0    0     0     0 1220 2237 35  3 62  0  0
 1  0  61952 197712 274628 332472    0    0     0   204  664 1340  5  0 96  0  0
 1  0  61952 197712 274632 332468    0    0     0    36  587 1199  4  1 96  0  0
 1  0  61952 197712 274632 332472    0    0     0     0  589 1073  3  0 97  0  0
 0  0  61952 197712 274632 332472    0    0     4    72  559 1170  4  2 94  1  0
 0  0  61952 197712 274632 332476    0    0     0     0  467 1051  3  0 97  0  0
 0  0  61952 197744 274632 332476    0    0     0   484  484 1071  3  1 96  1  0
 0  0  61952 197744 274632 332476    0    0     0    20  587 1221  3  0 97  0  0
 0  0  61952 197744 274632 332476    0    0     0     0  429 1027  3  1 96  0  0
 4  0  61952 197744 274632 332476    0    0     0     0  477 1005  2  0 98  0  0
 0  0  61952 197744 274632 332476    0    0     0     0  448 1038  3  1 96  0  0
 0  0  61952 197744 274632 332476    0    0     0    20  551 1193  5  1 94  1  0
 0  0  61952 197744 274632 332480    0    0     4   180  560 1206  4  1 95  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  61952 197744 274632 332480    0    0     0    44  604 1215  5  1 94  0  0
 0  0  61952 197744 274632 332480    0    0     4   120  666 1302  4  1 95  1  0
 0  0  61952 197744 274632 332492    0    0     0     0  515 1128  4  2 95  0  0
 0  0  61952 197744 274632 332492    0    0     0   596  534 1213  3  1 96  1  0
 0  0  61952 197744 274632 332492    0    0     0    20  528 1153  2  2 96  1  0
 1  0  61952 197648 274632 332492    0    0     0   756  657 1194  7  1 92  0  0
 1  0  61952 197520 274632 332492    0    0     0    56  691 1278 25  1 74  0  0
 0  0  61952 197520 274632 332492    0    0     4    36 1154 2098 31  4 65  0  1
 0  0  61952 197428 274632 332496    0    0     0   268  511 1150  3  1 96  1  0
 0  0  61952 197428 274632 332496    0    0     0    36  618 1086  4  1 95  1  0
 0  0  61952 197460 274632 332496    0    0     0     4  472 1053  2  1 97  0  0
 0  0  61952 197460 274632 332496    0    0     0    60  631 1185  5  1 94  0  0
 0  0  61952 197460 274632 332496    0    0     0     0  489 1103  2  1 98  0  0
 0  0  61952 197460 274632 332496    0    0     0   404  545 1229  4  0 95  1  0
 0  0  61952 197460 274632 332496    0    0     0     0  572 1188  4  0 96  0  0
 0  0  61952 197460 274632 332496    0    0     0   228  486 1164  3  1 96  0  0
 1  0  61952 197460 274632 332496    0    0     0    20  481 1124  2  2 96  0  0
 0  0  61952 197460 274632 332496    0    0     0     0  508 1133  3  1 97  0  0
 1  0  61952 197460 274632 332496    0    0     0     0  586 1269  3  1 96  0  0
 0  0  61952 197460 274632 332496    0    0     0    20  537 1071  4  0 96  1  0
 3  0  61952 197460 274632 332496    0    0     0     0  570 1177  8  2 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  61952 197524 274632 332496    0    0     0    88 1008 1797 48  3 49  0  0
 0  0  61952 197524 274632 332500    0    0     4    28  571 1110  5  0 95  0  0
 0  0  61952 197524 274632 332500    0    0     0   452  473 1006  4  1 96  0  0
 0  0  61952 197524 274632 332504    0    0     0    20  498 1055  3  0 97  1  0
 0  0  61952 197524 274632 332504    0    0     0     0  509 1100  4  0 96  0  0
 0  0  61952 197524 274632 332504    0    0     0     0  490 1067  1  1 98  0  0
 0  0  61952 197524 274632 332504    0    0     0     0  516 1103  3  1 96  0  0
 0  0  61952 197524 274632 332504    0    0     0    20  574 1197  4  2 95  0  0
 0  0  61952 197524 274632 332504    0    0     0   176  583 1130  5  0 94  1  0
 0  0  61952 197524 274632 332504    0    0     0     0  517  955  3  1 96  0  0
 0  0  61952 197524 274632 332504    0    0     0    52  596 1229  4  1 95  1  0
 0  0  61952 197524 274632 332504    0    0     0     0  491 1053  3  1 96  0  0
 0  0  61952 197524 274632 332504    0    0     0   428  560 1174  3  1 96  1  0
 0  0  61952 197556 274632 332504    0    0     0    20  589 1190  3  1 96  0  0
 0  0  61952 197556 274632 332504    0    0     0     0  618 1203  3  1 96  0  0
 0  0  61952 197556 274632 332504    0    0     0    20  522 1087  4  1 95  0  0
 0  0  61952 197556 274632 332504    0    0     0   160  524 1152  3  1 96  1  0
 0  0  61952 197556 274632 332504    0    0     0    20  447 1128  3  1 96  0  0
