procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 145152 226124  99400 259100    0    0     0    54    6    1  4  1 95  0  0
 0  0 145152 226372  99400 259104    0    0     0     0  596 1117  3  1 97  0  0
 1  0 145152 217256  99416 259108    0    0     0    92 1159 1982 42  1 57  0  0
 1  0 145152 208108  99424 259112    0    0     0    52 1389 2330 47  5 48  0  0
 1  0 145152 206956  99424 259112    0    0     0     0 1141 2160 49  3 49  0  0
 0  0 145152 207052  99436 259192    0    0    32    88 1267 2158 45  5 50  0  0
 0  0 145152 207052  99436 259220    0    0     0     0  682 1204  8  1 91  0  0
 0  0 145152 207052  99448 259236    0    0     0  2312  690 1357  3  2 95  1  0
 1  0 145152 206892  99452 259236    0    0     0    20  891 1451 28  1 71  1  0
 0  0 145152 206924  99464 259240    0    0     0    84  919 1504 32  2 67  0  0
 0  0 145152 206800  99480 259232    0    0     4    40  714 1164  9  2 89  0  0
 0  0 145152 206800  99496 259244    0    0     0    60  710 1244 10  1 89  1  0
 1  0 145152 206552  99524 259236    0    0     0   100  813 1535 10  2 88  0  0
 0  0 145152 206584  99540 259244    0    0     0    60  643 1168  4  1 94  1  0
 0  0 145152 206552  99572 259244    0    0     0  4428  736 1393  4  1 96  0  0
 0  0 145152 206552  99572 259244    0    0     0    36  552 1079  5  1 94  1  0
 0  0 145152 206552  99580 259248    0    0     4    24  574 1081  5  1 94  0  0
 0  0 145152 206552  99580 259248    0    0     0     0  582 1168  3  0 97  0  0
 0  0 145152 206552  99592 259248    0    0     0   156  530 1184  4  1 96  0  0
 0  0 145152 206552  99608 259248    0    0     0    56  593 1266  4  0 96  0  0
 0  0 145152 206552  99612 259244    0    0     0    36  598 1081  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 145152 206552  99612 259248    0    0     0     0  553  991  4  0 96  0  0
 0  0 145152 206428  99616 259248    0    0     0    20  578 1107  4  1 95  1  0
 2  0 145152 206428  99628 259248    0    0     0   288  568 1018  2  2 96  0  0
 0  0 145152 206428  99636 259248    0    0     0    20  545 1044  4  0 97  0  0
 0  0 145152 206428  99636 259248    0    0     0    16  503 1010  2  0 98  0  0
 0  0 145152 206428  99636 259248    0    0     0     0  524 1111  4  0 96  0  0
 0  0 145152 206428  99636 259248    0    0     0     0  605 1242  2  1 97  0  0
 1  0 145152 206428  99644 259248    0    0     0    48  610 1186  3  1 96  1  0
 0  0 145152 206428  99664 259248    0    0     0   172  658 1215  6  1 94  0  0
 0  0 145152 206428  99668 259248    0    0     0    20  605 1066  3  1 96  0  0
 0  0 145152 206428  99668 259248    0    0     0     0  547 1050  3  1 97  0  0
 0  0 145152 206428  99676 259248    0    0     0    20  612 1247  4  1 96  0  0
 0  0 145152 206428  99692 259248    0    0     0   300  511 1061  2  1 97  1  0
 0  0 145152 206428  99700 259248    0    0     0    20  517 1023  2  0 98  0  0
 0  0 145152 206492  99700 259248    0    0     0   400  556 1092  2  0 98  0  0
 0  0 145152 206492  99700 259248    0    0     0     0  487  979  2  1 98  0  0
 0  0 145152 206492  99700 259248    0    0     0     0  537  913  2  1 97  0  0
 0  0 145152 206524  99700 259248    0    0     0     0  535  899  2  1 97  0  0
 0  0 145152 206524  99708 259248    0    0     0    56  629 1075  4  0 96  0  0
 0  0 145152 206524  99720 259244    0    0     0    36  606 1075  6  0 93  0  0
 0  0 145152 206524  99720 259248    0    0     0     0  502 1062  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 145152 206400  99732 259244    0    0     4    40  645 1135  6  1 94  0  0
 0  0 145152 206400  99732 259252    0    0     0     0  590 1038  3  1 97  0  0
 0  0 145152 206400  99748 259252    0    0     0   512  593 1172  4  1 95  0  0
 2  0 145152 206400  99756 259256    0    0     0   112  574 1147  3  2 96  0  0
 0  0 145152 206400  99764 259256    0    0     0    20  606 1116  5  0 95  0  0
 1  0 145152 206400  99764 259256    0    0     0     0  635 1200  3  1 95  0  0
 0  0 145152 206400  99776 259256    0    0     0   156  576 1134  2  0 97  1  0
 0  0 145152 206400  99788 259256    0    0     0    36  629 1237  4  1 95  0  0
 0  0 145152 206400  99796 259248    0    0     0    20  614 1100  6  1 94  0  0
 0  0 145152 206432  99796 259256    0    0     0     0  549 1096  3  1 96  0  0
 0  0 145152 206432  99804 259256    0    0     0    20  729 1357 10  2 89  0  0
 0  0 145152 206372  99812 259260    0    0     4    28  852 1356 17  2 81  1  0
 0  0 145152 206372  99812 259260    0    0     0     0  544 1051  3  0 97  0  0
 1  0 145152 206372  99824 259260    0    0     0   392  548 1059  4  1 96  0  0
 0  0 145152 206372  99832 259260    0    0     0    20  546 1023  4  1 96  0  0
 0  0 145152 206372  99832 259260    0    0     0     0  516 1099  3  1 97  0  0
 0  0 145152 206372  99840 259260    0    0     0    20  590 1117  3  1 96  0  0
 0  0 145152 206372  99856 259260    0    0     0   172  662 1254  3  1 95  1  0
