procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 180480 207356 139612 263716    0    0     0    54    9    6  4  1 95  0  0
 1  0 180480 200748 139612 263732    0    0     0     0 1498 2567 48  3 50  0  0
 2  0 180480 197400 139620 263732    0    0     0    84 1102 1903 51  2 47  0  0
 2  0 180480 197248 139620 263736    0    0     0    48 1384 2377 46  4 51  0  0
 0  0 180480 197312 139628 263732    0    0     4    44  870 1588 14  1 85  0  0
 0  0 180480 197312 139648 263748    0    0     0   368  553 1186  4  1 95  1  0
 0  0 180480 197312 139656 263740    0    0     4    40  576 1148  6  0 94  1  0
 0  0 180480 197312 139656 263752    0    0     0     0  566 1002  3  1 97  0  0
 0  0 180480 197312 139656 263768    0    0     0   568  549  989  2  1 97  1  0
 0  0 180480 197312 139660 263768    0    0     0    36  547 1075  3  1 93  3  0
 0  0 180480 197312 139668 263768    0    0     0    20  605 1085  5  1 95  0  0
 0  0 180480 197312 139684 263752    0    0     0   256  679 1085  4  0 96  0  0
 0  0 180480 196940 139688 263800    0    0     0    20  572 1101  3  1 96  0  0
 0  0 180480 196940 139688 263800    0    0     0    20  587 1110  5  0 95  1  0
 0  0 180480 196940 139688 263800    0    0     0     0  553 1027  4  0 96  0  0
 0  0 180480 196940 139720 263768    0    0     0   188  530 1135  3  0 97  0  0
 0  0 180480 196940 139732 263800    0    0     0    36  613 1127  4  2 95  0  0
 0  0 180480 196940 139740 263804    0    0     4    68  592 1092  3  1 96  1  0
 1  0 180480 196972 139756 263804    0    0     0  3756  644 1348  3  2 95  1  0
 0  0 180480 196972 139772 263788    0    0     0    44  567 1139  3  2 96  0  0
 0  0 180480 196972 139772 263804    0    0     0     0  540 1095  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 180480 196972 139784 263792    0    0     0   172  597 1197  4  0 96  0  0
 0  0 180480 196600 139800 263804    0    0     0    36  642 1262  5  1 95  0  0
 0  0 180480 196600 139804 263800    0    0     0    20  559 1074  4  1 95  1  0
 0  0 180480 196600 139804 263804    0    0     0    16  475  972  2  1 98  0  0
 0  0 180480 196600 139824 263784    0    0     0   296  634 1162  4  1 94  0  0
 1  0 180480 196632 139828 263804    0    0     0    20  620 1199  9  1 90  0  0
 0  0 180480 196472 139828 263812    0    0     4    72  854 1623 28  1 71  0  0
 0  0 180480 196472 139828 263812    0    0     0     0  553 1175  3  0 97  0  0
 0  0 180480 196472 139848 263792    0    0     0   520  579 1167  3  1 95  1  0
 0  0 180480 196472 139848 263812    0    0     0     0  522 1088  4  1 96  0  0
 0  0 180480 196472 139872 263812    0    0     0   172  516 1098  3  0 97  0  0
 0  0 180480 196600 139872 263812    0    0     0     0  516 1075  2  0 98  0  0
 0  0 180480 196628 139880 263812    0    0     0    20  534 1035  3  1 96  0  0
 0  0 180480 196628 139888 263804    0    0     0    20  559 1017  4  0 96  0  0
 0  0 180480 196628 139904 263812    0    0     0   808  556 1135  3  1 96  1  0
 0  0 180480 196628 139920 263828    0    0     4    40  566 1108  5  0 95  1  0
 0  0 180480 196628 139920 263848    0    0     0     0  568 1052  3  1 96  0  0
 0  0 180480 196628 139936 263880    0    0     0   272  504 1097  3  0 97  0  0
 1  0 180480 196628 139944 263872    0    0     0    20  575 1078  3  0 97  0  0
 0  0 180480 196628 139952 263880    0    0     0    20  646 1213  7  0 93  0  0
 0  0 180480 196628 139964 263868    0    0     0   276  615 1221  2  0 97  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 180480 196380 139964 263880    0    0     0     0  507 1154  3  1 97  0  0
 0  0 180480 196380 139972 263872    0    0     0    20  593 1193  5  0 95  0  0
 0  0 180480 196380 139972 263880    0    0     0     0  532  992  3  1 97  0  0
 1  0 180480 196380 139996 263860    0    0     0   176  639 1173  7  1 92  0  0
 0  0 180480 196444 140000 263904    0    0     4    44  814 1440  9  1 89  1  0
 0  0 180480 196444 140000 263904    0    0     0     0  581 1151  3  1 96  0  0
 0  0 180480 196444 140024 263880    0    0     0   272  568 1196  3  1 97  0  0
 0  0 180480 196444 140032 263904    0    0     0    20  533 1106  4  1 96  0  0
 0  0 180480 196444 140032 263904    0    0     0     0  528 1030  4  0 96  0  0
 0  0 180480 196444 140048 263888    0    0     0   176  588 1117  5  1 94  0  0
 0  0 180480 196476 140056 263904    0    0     0    20  574  999  4  1 96  0  0
 1  0 180480 196476 140056 263904    0    0     0    20  567 1022  5  0 95  1  0
 0  0 180480 196476 140056 263904    0    0     0     0  500 1055  2  1 97  0  0
 0  0 180480 196476 140072 263888    0    0     0   276  583 1042  3  0 97  0  0
 0  0 180480 196476 140072 263904    0    0     0    20  645 1152  4  1 95  0  0
 0  0 180480 196476 140072 263904    0    0     0     0  497  953  2  0 98  0  0
 0  0 180480 196476 140084 263892    0    0     0   172  543 1075  2  1 98  0  0
 0  0 180480 196476 140092 263936    0    0     0    20  592 1082  3  1 95  0  0
