procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 196864 242168 148452 245216    0    0     0    54    9    7  4  1 95  0  0
 0  0 196864 242480 148452 245220    0    0     0     0  552 1087  2  0 98  0  0
 0  0 196864 242356 148468 245228    0    0     8    80  679 1254  4  1 95  0  0
 0  0 196864 242356 148484 245212    0    0     0  1988  659 1286  4  1 95  1  0
 1  0 196864 239288 148500 245228    0    0     0    60  841 1396 12  2 86  0  0
 2  0 196864 233676 148508 245220    0    0     4    76 1405 2349 56  4 41  0  0
 1  0 196864 224716 148524 245240    0    0     0   124 1103 2096 49  3 48  0  0
 4  0 196864 224252 148532 245236    0    0     0    88 1501 2453 44  4 53  0  0
 0  0 196864 224000 148548 245252    0    0     4    88  970 1726 21  2 77  0  1
 0  0 196864 224000 148556 245244    0    0     0    76  572 1149  3  1 95  0  0
 0  0 196864 224000 148576 245252    0    0     0  3628  645 1381  2  1 96  1  0
 0  0 196864 223876 148584 245244    0    0     0    20  582 1103  3  1 96  0  0
 0  0 196864 223908 148600 245252    0    0     0    56  640 1172  4  1 95  0  0
 2  0 196864 223908 148612 245240    0    0     0   456  543 1067  3  0 96  0  0
 0  0 196864 223908 148616 245252    0    0     0   276  537 1024  2  1 97  0  0
 0  0 196864 223940 148628 245248    0    0     0    36  662 1139  5  1 94  0  0
 0  0 196864 223940 148640 245252    0    0     0   260  510 1099  3  0 97  0  0
 1  0 196864 223940 148644 245252    0    0     0    20  542 1075  3  1 95  0  0
 0  0 196864 223940 148652 245244    0    0     4    40  635 1146  5  0 95  0  0
 1  0 196864 223940 148652 245256    0    0     0     0  583 1187  3  1 97  0  0
 0  0 196864 223940 148668 245240    0    0     0   256  522 1125  2  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 196864 223940 148672 245256    0    0     0    20  604 1219  3  1 96  0  0
 0  0 196864 223724 148684 245264    0    0     4    48  602 1139  4  2 94  1  0
 0  0 196864 223724 148688 245260    0    0     0   356  562 1137  2  1 97  0  0
 0  0 196864 223724 148688 245264    0    0     0    40  523 1040  2  1 97  0  0
 0  0 196864 223104 148968 245268    0    0   276    88  645 1194  5  1 94  1  0
 0  0 196864 223104 148980 245276    0    0     0   160  531 1094  2  0 98  0  0
 0  0 196864 223104 148988 245276    0    0     0    20  508 1017  2  1 96  0  0
 0  0 196864 223104 148992 245272    0    0     4    24  516 1015  2  0 98  0  0
 0  0 196864 223104 148992 245280    0    0     0    20  586 1116  4  1 96  0  0
 0  0 196864 223104 149008 245264    0    0     0   264  586 1130  4  1 95  1  0
 0  0 196864 223104 149008 245280    0    0     0     0  495  972  3  0 97  0  0
 0  0 196864 222788 149012 245280    0    0     0    20  581 1027  4  1 95  0  0
 0  0 196864 222788 149024 245268    0    0     0   276  576 1152  3  1 96  0  0
 0  0 196864 222788 149032 245280    0    0     0   552  603 1105  2  1 97  1  0
 0  0 196864 222788 149044 245268    0    0     0    60  566 1094  3  1 96  0  0
 0  0 196864 222788 149052 245280    0    0     0   224  599 1172  4  1 95  1  0
 0  0 196864 222788 149060 245280    0    0     0    20  571 1046  2  1 98  0  0
 1  0 196864 222820 149068 245272    0    0     0    20  593 1076  5  1 95  0  0
 0  0 196864 222852 149076 245288    0    0     4    52  999 1712 34  2 65  0  0
 0  0 196864 222852 149076 245288    0    0     0    20  586 1086  3  1 96  0  0
 0  0 196864 222852 149084 245280    0    0     0   348  574 1107  3  1 96  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 196864 222852 149096 245288    0    0     0    36  633 1176  5  1 95  0  0
 0  0 196864 222852 149112 245272    0    0     0   256  542 1050  3  1 96  0  0
 0  0 196864 222852 149112 245288    0    0     0    20  580 1104  3  1 97  0  0
 0  0 196864 222884 149120 245284    0    0     0   180  632 1127  5  1 94  1  0
 0  0 196864 222884 149136 245292    0    0     0   256  561  981  3  1 96  0  0
 0  0 196864 222884 149140 245288    0    0     0    20  538  958  3  1 97  0  0
 0  0 196864 222884 149144 245292    0    0     0    36  642 1186  7  1 92  1  0
 1  0 196864 222884 149144 245292    0    0     0     0  681 1272  4  1 96  0  0
 0  0 196864 222884 149156 245280    0    0     0   260  564 1100  4  1 96  0  0
 0  0 196864 222884 149160 245292    0    0     0    20  583 1138  3  1 96  0  0
 0  0 196864 222884 149160 245292    0    0     0    20  571 1132  6  1 94  0  0
 0  0 196864 222884 149172 245280    0    0     0   156  554 1100  3  1 96  1  0
 0  0 196864 222884 149176 245292    0    0     0    20  525 1033  3  1 96  0  0
 0  0 196864 222884 149184 245292    0    0     0    24  625 1210  5  1 95  0  0
 0  0 196864 222884 149192 245284    0    0     0   160  523 1084  3  1 97  0  0
 2  0 196864 222884 149196 245292    0    0     0    20  600 1130  6  0 93  0  0
 0  0 196864 222884 149196 245292    0    0     0    20  565 1034  3  1 96  0  0
 0  0 196864 222884 149196 245292    0    0     0     0  586 1075  2  1 97  0  0
